Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,ROK,61.85,62.09,61.0,61.08,1044400
2007-01-03,ROK,61.1,61.61,60.54,60.93,1242200
2007-01-04,ROK,60.93,60.96,59.81,60.15,1606100
2007-01-05,ROK,60.1,60.15,59.32,59.8,1445900
2007-01-08,ROK,59.68,60.43,59.46,59.99,946800
2007-01-09,ROK,60.0,60.19,59.69,59.94,821600
2007-01-10,ROK,59.49,60.18,59.45,60.0,1231400
2007-01-11,ROK,60.05,60.94,60.02,60.72,958500
2007-01-12,ROK,60.6,61.64,60.59,61.18,1127000
2007-01-16,ROK,60.99,61.47,60.66,61.09,813300
2007-01-17,ROK,61.09,62.1,60.81,61.93,713500
2007-01-18,ROK,62.2,62.37,61.82,61.82,1059200
2007-01-19,ROK,61.95,62.56,61.57,62.46,783800
2007-01-22,ROK,62.39,62.55,61.36,61.5,825600
2007-01-23,ROK,61.51,63.01,61.51,63.0,1088000
2007-01-24,ROK,62.0,62.03,57.53,60.5,4352200
2007-01-25,ROK,60.5,60.74,57.62,58.03,4539900
2007-01-26,ROK,58.42,58.64,56.73,58.33,2851000
2007-01-29,ROK,58.58,59.35,58.53,59.25,1552500
2007-01-30,ROK,59.15,60.71,58.81,60.32,2564400
2007-01-31,ROK,60.1,61.46,60.0,61.21,1634000
2007-02-01,ROK,61.21,62.35,61.01,62.2,1613000
2007-02-02,ROK,62.2,62.58,61.86,62.1,916300
2007-02-05,ROK,61.99,62.33,61.73,61.97,1178900
2007-02-06,ROK,61.9,62.64,61.71,62.42,1295600
2007-02-07,ROK,62.8,63.36,62.65,63.17,1118900
2007-02-08,ROK,63.17,63.65,62.8,63.4,1181600
2007-02-09,ROK,63.2,63.63,62.95,63.06,1544300
2007-02-12,ROK,63.65,63.94,63.16,63.63,1775313
2007-02-13,ROK,63.98,64.96,63.88,64.62,1344107
2007-02-14,ROK,64.52,65.31,64.47,65.16,956873
2007-02-15,ROK,64.88,65.26,64.5,65.12,1147600
2007-02-16,ROK,64.75,65.23,64.33,64.65,1051500
2007-02-20,ROK,64.65,64.98,64.25,64.79,794100
2007-02-21,ROK,64.64,64.76,64.31,64.42,1126100
2007-02-22,ROK,64.6,65.08,64.42,64.77,1109600
2007-02-23,ROK,64.52,64.71,64.04,64.31,902200
2007-02-26,ROK,64.29,64.34,63.29,63.5,1159441
2007-02-27,ROK,63.0,63.23,61.17,61.46,1340000
2007-02-28,ROK,61.81,63.05,61.5,62.05,1714900
2007-03-01,ROK,62.09,62.45,60.51,62.07,1526181
2007-03-02,ROK,61.97,62.15,60.78,60.79,1242600
2007-03-05,ROK,60.79,61.52,60.32,60.78,1174700
2007-03-06,ROK,61.25,61.8,61.08,61.62,1001100
2007-03-07,ROK,61.63,61.97,60.4,60.46,2942100
2007-03-08,ROK,60.9,61.61,60.81,61.0,1416100
2007-03-09,ROK,61.4,61.53,61.01,61.39,1310600
2007-03-12,ROK,61.25,61.79,61.01,61.24,746700
2007-03-13,ROK,61.04,61.2,59.82,59.89,1613000
2007-03-14,ROK,59.95,60.7,59.45,60.47,1414500
2007-03-15,ROK,60.48,60.8,59.92,60.04,1072300
2007-03-16,ROK,60.07,60.42,59.71,60.04,1618500
2007-03-19,ROK,60.04,61.13,60.62,61.0,1016100
2007-03-20,ROK,61.01,61.42,60.81,61.3,663805
2007-03-21,ROK,61.41,62.32,61.07,62.15,643917
2007-03-22,ROK,62.15,62.19,61.25,61.51,984700
2007-03-23,ROK,61.51,61.93,60.6,61.53,903400
2007-03-26,ROK,61.53,61.64,60.41,61.23,779100
2007-03-27,ROK,60.85,61.14,60.7,60.79,996600
2007-03-28,ROK,60.69,60.8,60.03,60.41,626100
2007-03-29,ROK,60.7,60.93,59.7,60.07,1054146
2007-03-30,ROK,60.2,60.67,59.61,59.87,1022355
2007-04-02,ROK,59.99,61.03,59.83,60.95,1303200
2007-04-03,ROK,61.2,61.87,61.13,61.43,736900
2007-04-04,ROK,61.32,61.95,61.27,61.53,623984
2007-04-05,ROK,60.25,60.26,57.57,58.07,8210000
2007-04-09,ROK,58.12,58.61,57.9,58.16,1638100
