Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,SHW,21.4667,21.47,21.17,21.1933,973500.000000001
2007-01-03,SHW,21.03,21.39,20.94,21.12,894600.0
2007-01-04,SHW,21.13,21.19,20.89,21.01,690700.0
2007-01-05,SHW,20.93,20.94,20.56,20.65,1049000.0
2007-01-08,SHW,20.67,20.68,20.42,20.56,1043800.0
2007-01-09,SHW,20.66,20.93,20.64,20.76,924700.0
2007-01-10,SHW,20.66,21.06,20.65,21.01,677700.0
2007-01-11,SHW,21.09,21.36,21.07,21.3,754700.0
2007-01-12,SHW,21.0,21.33,21.0,21.28,783800.0
2007-01-16,SHW,21.28,21.33,21.1,21.11,695700.0
2007-01-17,SHW,21.08,21.38,21.08,21.3,787400.0
2007-01-18,SHW,21.22,21.36,21.2,21.22,618300.0
2007-01-19,SHW,21.22,21.54,21.15,21.43,885400.0
2007-01-22,SHW,21.42,21.46,21.26,21.43,729000.0
2007-01-23,SHW,21.4,21.88,21.37,21.79,755400.0
2007-01-24,SHW,21.63,21.83,21.48,21.8,640500.0
2007-01-25,SHW,22.16,22.9,22.08,22.56,1410100.0
2007-01-26,SHW,22.44,22.46,22.09,22.23,1208100.0
2007-01-29,SHW,22.28,22.5,22.22,22.35,911700.0
2007-01-30,SHW,21.61,22.57,21.61,22.53,1047100.0
2007-01-31,SHW,22.5,23.09,22.34,23.03,1309500.0
2007-02-01,SHW,23.0,23.21,22.95,23.14,905000.0
2007-02-02,SHW,23.1,23.1,22.76,22.79,1072400.0
2007-02-05,SHW,22.83,22.93,22.68,22.9,575000.0
2007-02-06,SHW,22.99,23.03,22.81,22.98,569100.0
2007-02-07,SHW,23.0,23.28,22.92,23.27,581100.0
2007-02-08,SHW,23.31,23.47,23.04,23.43,1070900.0
2007-02-09,SHW,23.33,23.39,23.2,23.25,867600.0
2007-02-12,SHW,23.25,23.26,22.96,23.06,861229.0
2007-02-13,SHW,23.0,23.16,22.93,22.98,876364.0
2007-02-14,SHW,23.0,23.15,22.86,22.96,834564.0
2007-02-15,SHW,23.0,23.11,22.97,23.07,754600.0
2007-02-16,SHW,22.98,23.06,22.78,22.89,754200.0
2007-02-20,SHW,22.85,23.7,22.78,23.65,997900.0
2007-02-21,SHW,23.45,23.55,23.29,23.33,1189400.0
2007-02-22,SHW,23.33,23.37,22.89,22.99,1258100.0
2007-02-23,SHW,23.03,23.44,22.87,23.33,1191200.0
2007-02-26,SHW,22.99,23.41,21.8,22.59,3919461.0
2007-02-27,SHW,22.3,22.49,21.55,22.05,1891200.0
2007-02-28,SHW,21.96,22.31,21.62,22.18,1525300.0
2007-03-01,SHW,22.46,22.46,21.3,21.83,1485419.0
2007-03-02,SHW,21.83,22.0,21.58,21.62,1134400.0
2007-03-05,SHW,21.91,21.91,21.17,21.24,1191800.0
2007-03-06,SHW,21.43,21.73,21.34,21.58,933000.0
2007-03-07,SHW,21.58,21.77,21.44,21.6,653100.0
2007-03-08,SHW,21.81,22.08,21.76,21.89,785900.0
2007-03-09,SHW,22.25,22.25,21.85,22.14,708900.0
2007-03-12,SHW,22.14,22.84,22.17,22.68,1805900.0
2007-03-13,SHW,22.68,22.56,22.17,22.2,1438700.0
2007-03-14,SHW,22.2,22.32,21.4,21.88,1558100.0
2007-03-15,SHW,21.84,22.12,21.63,21.89,971700.0
2007-03-16,SHW,21.93,22.09,21.76,21.9,831500.0
2007-03-19,SHW,21.9,22.25,22.0,22.21,765194.0
2007-03-20,SHW,22.21,22.46,22.08,22.4,709815.0
2007-03-21,SHW,22.35,22.69,22.23,22.67,793413.0
2007-03-22,SHW,22.67,22.8,22.45,22.64,732335.0
2007-03-23,SHW,22.64,22.83,22.6,22.73,660876.0
2007-03-26,SHW,22.69,22.69,22.23,22.6,841610.0
2007-03-27,SHW,22.49,22.49,22.04,22.11,1187500.0
2007-03-28,SHW,22.11,22.11,21.7,21.85,1098799.0
2007-03-29,SHW,22.07,22.08,21.71,21.88,774495.0
2007-03-30,SHW,21.85,22.03,21.76,22.01,1141100.0
2007-04-02,SHW,22.05,22.1,21.84,22.06,995100.0
2007-04-03,SHW,22.13,22.38,22.03,22.32,1274500.0
2007-04-04,SHW,22.22,22.22,21.9,21.92,969133.0
2007-04-05,SHW,21.92,22.04,21.77,21.94,965200.0
2007-04-09,SHW,22.01,22.18,21.95,22.12,669912.0
2007-04-10,SHW,21.83,21.86,21.53,21.63,1698760.0
2007-04-11,SHW,21.7,21.81,21.51,21.72,1507200.0
2007-04-12,SHW,21.65,21.83,21.47,21.75,869300.0
2007-04-13,SHW,21.75,21.81,21.51,21.64,699800.0
2007-04-16,SHW,21.81,21.92,21.51,21.81,579049.0
2007-04-17,SHW,21.81,21.89,21.5,21.62,1222600.0
2007-04-18,SHW,21.46,21.75,21.43,21.68,993500.0
2007-04-19,SHW,22.09,22.09,20.74,21.84,1678812.0
2007-04-20,SHW,21.84,22.01,21.72,21.86,1281605.0
2007-04-23,SHW,21.86,21.98,21.71,21.76,835200.0
2007-04-24,SHW,21.83,21.84,21.45,21.54,1650100.0
2007-04-25,SHW,21.54,22.06,21.52,21.57,1155100.0
2007-04-26,SHW,21.57,21.73,21.23,21.67,1889217.0
2007-04-27,SHW,21.58,21.91,21.41,21.88,1172500.0
2007-04-30,SHW,21.84,21.98,21.2,21.25,1184400.0
2007-05-01,SHW,21.25,21.25,20.97,21.14,1871600.0
2007-05-02,SHW,21.08,21.51,21.08,21.46,936800.0
2007-05-03,SHW,21.63,21.9,21.37,21.54,2383200.0
2007-05-04,SHW,21.54,21.64,21.14,21.63,1751300.0
