Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,STT,67.75,67.89,67.2,67.44,826600
2007-01-03,STT,68.01,68.26,67.31,68.11,2753300
2007-01-04,STT,68.1,68.71,67.55,68.61,1582200
2007-01-05,STT,68.54,68.56,68.07,68.4,1992800
2007-01-08,STT,68.48,69.16,68.07,69.12,1978000
2007-01-09,STT,69.12,69.34,68.27,68.85,2003500
2007-01-10,STT,68.47,69.56,68.32,69.43,1574600
2007-01-11,STT,69.85,70.81,69.62,70.69,2030100
2007-01-12,STT,70.69,71.29,70.44,71.15,2163800
2007-01-16,STT,71.25,71.39,70.62,71.02,1977500
2007-01-17,STT,71.22,72.82,70.49,72.06,3966700
2007-01-18,STT,71.83,72.28,71.22,71.58,2116200
2007-01-19,STT,71.83,71.92,70.96,71.54,1296500
2007-01-22,STT,71.45,71.45,70.24,70.6,1912900
2007-01-23,STT,70.6,71.33,70.5,70.79,1640000
2007-01-24,STT,70.01,71.71,70.01,71.71,1302200
2007-01-25,STT,71.61,71.67,70.15,70.22,1260800
2007-01-26,STT,70.4,70.6,69.58,70.07,1808500
2007-01-29,STT,69.95,70.05,69.38,69.64,1393900
2007-01-30,STT,69.74,70.42,69.32,70.24,1308500
2007-01-31,STT,69.95,71.3,69.69,71.05,1479500
2007-02-01,STT,71.71,72.14,71.3,71.77,1831500
2007-02-02,STT,72.02,72.06,71.21,71.75,1169400
2007-02-05,STT,68.0,68.69,66.64,67.08,17863700
2007-02-06,STT,67.38,68.65,67.38,68.17,8211700
2007-02-07,STT,68.51,68.82,68.2,68.67,3591600
2007-02-08,STT,68.46,68.59,67.82,68.23,3210400
2007-02-09,STT,68.45,68.74,67.98,68.35,4450100
2007-02-12,STT,68.5,68.59,68.1,68.33,2140082
2007-02-13,STT,68.49,69.06,68.27,68.9,2053196
2007-02-14,STT,69.1,70.19,68.8,70.08,2697651
2007-02-15,STT,70.07,70.72,69.66,70.59,1982100
2007-02-16,STT,70.56,70.87,69.94,70.17,1898300
2007-02-20,STT,70.87,70.97,69.8,70.65,1135700
2007-02-21,STT,70.26,70.26,69.48,70.1,1721500
2007-02-22,STT,69.84,70.16,69.42,70.11,1581600
2007-02-23,STT,70.18,70.18,68.79,69.22,2120500
2007-02-26,STT,69.28,69.75,67.91,68.4,1852363
2007-02-27,STT,67.71,67.8,64.86,65.2,4203700
2007-02-28,STT,65.3,66.35,64.78,65.51,3512700
2007-03-01,STT,65.51,66.15,63.97,65.83,4060248
2007-03-02,STT,65.69,66.59,65.04,65.08,2968600
2007-03-05,STT,65.97,65.97,63.44,64.39,2597900
2007-03-06,STT,65.05,65.93,64.72,65.88,3010200
