Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,TER,15.11,15.17,14.93,14.96,1808400
2007-01-03,TER,0.0,0.0,0.0,16.05,0
2007-01-04,TER,0.0,0.0,0.0,16.05,0
2007-01-05,TER,0.0,0.0,0.0,16.05,0
2007-01-08,TER,0.0,0.0,0.0,16.05,0
2007-01-09,TER,0.0,0.0,0.0,16.05,0
2007-01-10,TER,0.0,0.0,0.0,16.05,0
2007-01-11,TER,0.0,0.0,0.0,16.05,0
2007-01-12,TER,0.0,0.0,0.0,16.05,0
2007-01-16,TER,0.0,0.0,0.0,16.05,0
2007-01-17,TER,0.0,0.0,0.0,16.05,0
2007-01-18,TER,15.39,15.94,14.9,14.97,7412300
2007-01-19,TER,0.0,0.0,0.0,16.05,0
2007-01-22,TER,0.0,0.0,0.0,16.05,0
2007-01-23,TER,0.0,0.0,0.0,16.05,0
2007-01-24,TER,0.0,0.0,0.0,16.05,0
2007-01-25,TER,0.0,0.0,0.0,16.05,0
2007-01-26,TER,0.0,0.0,0.0,16.05,0
2007-01-29,TER,0.0,0.0,0.0,16.05,0
2007-01-30,TER,0.0,0.0,0.0,16.05,0
2007-01-31,TER,0.0,0.0,0.0,16.05,0
2007-02-01,TER,0.0,0.0,0.0,16.05,0
2007-02-02,TER,0.0,0.0,0.0,16.05,0
2007-02-05,TER,0.0,0.0,0.0,16.05,0
2007-02-06,TER,0.0,0.0,0.0,16.05,0
2007-02-07,TER,0.0,0.0,0.0,16.05,0
2007-02-08,TER,0.0,0.0,0.0,16.05,0
2007-02-09,TER,0.0,0.0,0.0,16.05,0
2007-02-12,TER,15.39,15.4,15.04,15.25,498363
2007-02-13,TER,15.32,15.46,15.2,15.39,372147
2007-02-14,TER,15.55,15.69,15.41,15.59,508967
2007-02-15,TER,15.57,15.8,15.53,15.64,747100
2007-02-16,TER,15.61,15.98,15.52,15.89,836800
2007-02-20,TER,15.83,16.1,15.67,16.06,580400
2007-02-21,TER,16.0,16.09,15.88,16.04,233800
2007-02-22,TER,16.14,16.4,16.11,16.35,445800
2007-02-23,TER,16.14,16.4,16.11,16.35,445800
2007-02-26,TER,16.72,16.74,16.37,16.61,274000
2007-02-27,TER,16.33,16.67,15.99,16.0,700100
2007-02-28,TER,15.89,16.16,15.68,16.11,529100
