Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,TGT,57.21,57.6952,56.91,57.05,1901800
2007-01-03,TGT,57.85,58.32,56.75,57.18,5691700
2007-01-04,TGT,57.08,57.83,56.61,57.59,3284000
2007-01-05,TGT,57.5,58.1,57.15,57.27,2962000
2007-01-08,TGT,57.19,57.42,56.93,57.35,2874700
2007-01-09,TGT,57.45,58.45,57.45,58.26,3820300
2007-01-10,TGT,57.94,58.44,57.85,58.31,3369900
2007-01-11,TGT,58.35,59.91,58.25,59.81,4874200
2007-01-12,TGT,59.8,60.46,59.51,60.31,5134200
2007-01-16,TGT,60.22,61.0,60.08,60.84,4575800
2007-01-17,TGT,60.93,61.0,60.08,60.36,5104600
2007-01-18,TGT,60.66,61.6,59.57,61.51,6335800
2007-01-19,TGT,61.87,62.96,61.53,62.35,5996700
2007-01-22,TGT,62.35,62.48,61.29,61.5,5511500
2007-01-23,TGT,61.37,62.09,60.99,61.43,4265400
2007-01-24,TGT,61.37,61.92,61.16,61.48,4031900
2007-01-25,TGT,61.45,61.5,60.57,60.68,3644600
2007-01-26,TGT,60.68,60.86,59.97,60.19,3237700
2007-01-29,TGT,60.19,60.53,59.91,60.07,3067200
2007-01-30,TGT,60.49,61.08,59.88,60.44,4402500
2007-01-31,TGT,60.49,61.59,60.35,61.36,3228300
2007-02-01,TGT,61.29,62.21,61.07,61.8,3858000
2007-02-02,TGT,61.9,62.25,61.48,62.03,3276400
2007-02-05,TGT,62.03,62.48,61.8,62.12,3096300
2007-02-06,TGT,62.12,62.9,62.01,62.71,3118400
2007-02-07,TGT,62.94,63.14,62.36,62.8,1858600
2007-02-08,TGT,63.1,63.2,62.06,62.26,2856800
2007-02-09,TGT,62.24,62.4,61.13,61.67,4963400
2007-02-12,TGT,61.64,62.28,61.51,61.8,2929858
2007-02-13,TGT,62.02,62.35,61.77,62.13,2265772
2007-02-14,TGT,62.1,62.6,61.9,62.44,3264376
2007-02-15,TGT,62.22,62.99,62.08,62.67,2074900
2007-02-16,TGT,62.4,62.95,62.15,62.91,3454700
2007-02-20,TGT,63.15,64.74,63.0,64.32,4695200
2007-02-21,TGT,64.0,64.18,63.37,63.61,3050000
2007-02-22,TGT,63.36,63.39,62.68,63.12,2945000
2007-02-23,TGT,63.15,63.35,62.8,63.1,3237200
2007-02-26,TGT,63.12,63.43,62.23,62.55,3421818
2007-02-27,TGT,61.7,62.0,59.4,59.4,6529900
2007-02-28,TGT,60.43,61.85,59.88,61.53,7804700
2007-03-01,TGT,60.8,61.4,60.0,60.9,5343609
2007-03-02,TGT,60.9,61.83,60.3,61.03,5700400
2007-03-05,TGT,60.5,61.09,59.77,59.79,4904000
2007-03-06,TGT,59.79,60.93,60.06,60.73,5542800
2007-03-07,TGT,60.73,61.09,60.29,60.6,4269000
2007-03-08,TGT,62.7,63.0,61.51,61.69,4517900
2007-03-09,TGT,62.35,62.43,61.68,61.88,4119200
2007-03-12,TGT,61.88,62.27,61.25,62.23,3345200
2007-03-13,TGT,61.27,61.41,60.0,60.47,7382800
2007-03-14,TGT,60.82,60.9,58.3,59.3,10753800
2007-03-15,TGT,59.16,59.98,58.92,59.58,7780900
2007-03-16,TGT,59.84,60.17,59.31,59.77,5526400
2007-03-19,TGT,59.77,60.71,59.85,60.44,3813804
2007-03-20,TGT,60.44,61.33,60.36,61.14,3721700
2007-03-21,TGT,61.02,62.26,60.67,61.59,5185280
2007-03-22,TGT,60.74,61.8,60.74,61.23,3045937
2007-03-23,TGT,61.23,61.94,61.07,61.51,2726956
2007-03-26,TGT,61.39,61.8,60.29,61.56,4053115
2007-03-27,TGT,61.21,61.56,60.1,60.54,4154880
2007-03-28,TGT,60.54,60.33,59.54,59.95,4502600
2007-03-29,TGT,60.3,60.62,59.16,59.75,3486916
2007-03-30,TGT,59.75,60.0,58.81,59.26,5042203
2007-04-02,TGT,59.26,59.96,58.85,59.93,4571696
2007-04-03,TGT,60.43,61.38,60.11,60.82,4542306
