Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,UNP,23.0,23.0925,22.9225,23.005,3623600
2007-01-03,UNP,23.12,23.5,22.95,23.12,1384200
2007-01-04,UNP,23.09,23.14,22.88,22.95,1496300
2007-01-05,UNP,22.93,22.95,22.64,22.66,1610800
2007-01-08,UNP,22.61,22.82,22.54,22.7,1220700
2007-01-09,UNP,22.75,22.86,22.61,22.71,1706400
2007-01-10,UNP,22.6,22.64,22.39,22.53,2207500
2007-01-11,UNP,22.56,22.74,22.56,22.63,2172500
2007-01-12,UNP,22.63,23.12,22.63,22.99,2081200
2007-01-16,UNP,22.99,23.97,22.92,23.86,3710600
2007-01-17,UNP,23.77,23.8,23.45,23.51,1662700
2007-01-18,UNP,23.66,24.54,23.31,24.18,5205600
2007-01-19,UNP,24.18,24.36,23.95,24.08,2544800
2007-01-22,UNP,24.11,24.16,23.7,23.83,1629100
2007-01-23,UNP,23.52,24.77,23.48,24.55,4717500
2007-01-24,UNP,24.38,24.7,24.05,24.24,2640850
2007-01-25,UNP,24.11,24.49,24.05,24.12,2762000
2007-01-26,UNP,24.18,24.25,23.76,23.86,2029600
2007-01-29,UNP,23.86,24.23,23.64,23.89,2999200
2007-01-30,UNP,24.05,24.27,23.79,24.25,2098500
2007-01-31,UNP,24.32,25.31,24.29,25.25,3611000
2007-02-01,UNP,25.25,25.85,25.25,25.71,4268500
2007-02-02,UNP,25.71,25.77,25.5,25.6,2093700
2007-02-05,UNP,25.5,25.76,25.44,25.61,1622500
2007-02-06,UNP,25.15,25.36,24.96,24.98,2494300
2007-02-07,UNP,25.09,25.55,24.98,25.04,2045100
2007-02-08,UNP,25.06,25.29,24.93,25.14,1575400
2007-02-09,UNP,25.3,25.3,24.77,24.91,1643600
2007-02-12,UNP,24.97,25.05,24.7,24.94,1214403
2007-02-13,UNP,25.0,25.75,25.0,25.7,1545819
2007-02-14,UNP,25.77,28.55,25.54,26.12,3767126
2007-02-15,UNP,25.9,26.02,25.31,25.56,3164000
2007-02-16,UNP,25.58,25.68,25.09,25.43,1596500
2007-02-20,UNP,25.38,25.74,25.27,25.68,1700700
2007-02-21,UNP,25.57,26.14,25.45,26.08,1781900
2007-02-22,UNP,26.22,26.46,25.88,26.03,2079700
2007-02-23,UNP,25.88,26.08,25.72,25.97,1668400
2007-02-26,UNP,25.99,25.99,25.38,25.43,2496399
2007-02-27,UNP,25.45,25.61,24.13,24.5,4053400
2007-02-28,UNP,24.71,24.95,24.46,24.64,2733900
2007-03-01,UNP,24.38,24.88,24.18,24.72,3020047
2007-03-02,UNP,24.72,24.81,24.34,24.45,2127000
2007-03-05,UNP,24.16,24.3,23.9,24.03,2687906
2007-03-06,UNP,24.03,24.34,23.99,24.05,2725200
2007-03-07,UNP,23.96,24.47,23.95,24.38,2380000
2007-03-08,UNP,24.5,24.96,24.5,24.77,2352100
2007-03-09,UNP,24.95,25.13,24.63,24.68,1638800
2007-03-12,UNP,24.67,25.51,24.65,25.34,2888200
2007-03-13,UNP,25.1,25.14,24.47,24.52,2119400
2007-03-14,UNP,24.58,24.72,23.88,24.39,3165500
2007-03-15,UNP,24.39,24.9,24.36,24.67,1726000
2007-03-16,UNP,24.73,25.09,24.31,24.99,3151700
2007-03-19,UNP,24.9,25.1,24.72,24.9,2635100
2007-03-20,UNP,24.9,25.22,24.82,25.11,3161400
2007-03-21,UNP,25.05,25.37,24.94,25.32,2421633
2007-03-22,UNP,25.31,25.32,24.93,25.09,1783500
2007-03-23,UNP,25.09,26.16,25.05,26.05,3992351
2007-03-26,UNP,26.27,26.43,25.55,25.66,2379850
2007-03-27,UNP,25.63,25.65,25.19,25.23,1673700
2007-03-28,UNP,25.23,25.26,24.84,25.01,1532100
2007-03-29,UNP,25.01,25.54,25.0,25.32,2267000
2007-03-30,UNP,25.31,25.88,25.25,25.39,3468908
2007-04-02,UNP,25.35,25.53,25.1,25.49,1466200
2007-04-03,UNP,25.6,25.86,25.53,25.77,1383000
2007-04-04,UNP,25.87,25.97,25.71,25.75,1180279
2007-04-05,UNP,25.37,25.85,25.26,25.8,1839275
