Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2008-05-29,V,20.86,21.74,20.75,21.31,25153257
2008-05-30,V,21.5,21.89,21.45,21.59,18012046
2008-06-02,V,21.55,21.74,21.15,21.52,9213955
2008-06-03,V,21.75,21.99,21.51,21.89,12121063
2008-06-04,V,21.77,22.02,21.32,21.37,10176128
2008-06-24,V,20.02,20.73,19.63,20.66,12477092
2008-06-25,V,20.84,21.11,20.46,20.52,12681160
2008-06-26,V,20.15,20.18,19.5,19.77,19145922
2008-06-27,V,19.7,20.72,19.64,20.65,44011594
2008-06-30,V,20.5,20.71,20.07,20.33,12332415
2008-07-01,V,19.91,20.35,19.8,20.35,11232653
2008-07-02,V,20.48,20.6,19.82,19.86,8460983
2008-07-03,V,19.84,19.95,19.31,19.52,7189465
2008-07-07,V,19.63,19.98,18.5,18.91,19989289
2008-07-08,V,18.72,19.88,18.06,19.77,23953132
2008-07-09,V,19.75,19.77,18.85,18.97,13832529
2008-07-10,V,18.94,19.41,18.47,19.31,13212757
2008-07-11,V,18.9,19.36,18.5,18.64,13661299
2008-07-14,V,19.02,19.05,18.13,18.14,10673519
2008-07-15,V,17.82,17.83,16.82,17.11,21074684
2008-07-16,V,17.08,18.14,16.63,18.06,23122191
2008-07-17,V,18.43,18.77,17.84,18.77,16823018
2008-07-18,V,18.56,18.62,18.03,18.35,11658339
2008-07-21,V,18.48,18.73,17.89,17.98,13234270
2008-07-22,V,17.4,18.56,16.98,18.51,16355726
2008-07-23,V,18.38,18.75,18.15,18.31,12488398
2008-07-24,V,18.23,18.43,17.49,17.52,9157989
2008-07-25,V,17.64,18.09,17.27,17.99,9672606
2008-07-28,V,18.1,18.4,17.56,17.64,8927799
2008-07-29,V,17.76,18.99,17.75,18.99,12269426
2008-07-30,V,19.31,19.73,18.57,19.61,19022279
2008-07-31,V,19.05,19.54,17.87,18.27,37227383
2008-08-01,V,18.32,18.52,17.59,17.93,15433918
2008-08-04,V,17.94,18.4,17.88,18.13,10673092
2008-08-05,V,18.3,18.56,18.08,18.4,8591677
2008-08-06,V,18.2,18.2,17.77,17.87,10230919
2008-08-07,V,17.7,17.81,17.34,17.38,10970932
2008-08-08,V,17.44,18.21,17.28,18.15,9089675
2008-08-11,V,18.11,19.13,17.99,18.7,13822469
2008-08-12,V,18.55,18.7,18.15,18.2,8435425
2008-08-13,V,18.19,18.54,18.12,18.48,7483743
2008-08-14,V,18.47,18.95,18.4,18.95,6463482
2008-08-15,V,19.0,19.13,18.71,18.95,6502303
2008-08-18,V,18.91,19.06,18.54,18.73,6464820
2008-08-19,V,18.61,18.81,18.4,18.43,5280776
2008-08-20,V,18.52,18.68,18.41,18.64,4529850
2008-08-21,V,18.49,18.66,18.3,18.59,3887625
2008-08-22,V,18.84,18.95,18.46,18.52,5240453
2008-08-25,V,18.38,18.72,18.28,18.33,4509976
2008-08-26,V,18.42,18.57,18.22,18.34,4669656
2008-08-27,V,18.26,18.63,18.21,18.61,4786490
2008-08-28,V,18.69,18.95,18.54,18.91,6686624
2008-08-29,V,18.74,19.0,18.68,18.98,4831984
2008-09-02,V,19.21,19.38,18.6,18.75,7474946
2008-09-03,V,18.64,18.84,18.02,18.26,8850120
2008-09-04,V,18.13,18.16,17.44,17.63,9418984
2008-09-05,V,17.49,18.0,17.31,17.94,10160885
2008-09-08,V,18.38,18.57,17.17,17.52,14169017
2008-09-09,V,17.59,17.59,16.8,16.87,12470404
2008-09-10,V,16.82,17.48,16.66,17.26,10988844
2008-09-11,V,16.85,17.84,16.76,17.74,11784418
2008-09-12,V,17.48,17.91,17.31,17.91,7060553
2008-09-15,V,17.16,17.75,17.07,17.34,9685532
2008-09-16,V,16.66,17.24,16.25,16.59,20899045
2008-09-17,V,16.45,16.99,16.0,16.02,16884754
2008-09-18,V,16.05,16.81,14.6,16.73,21047273
2008-09-19,V,17.75,17.79,16.76,17.39,17237280
2008-09-22,V,17.23,17.25,16.23,16.3,11031379
2008-09-23,V,16.46,16.87,16.03,16.73,10962466
2008-09-24,V,16.76,16.93,16.38,16.42,6135802
2008-09-25,V,16.44,16.62,16.14,16.15,5973797
2008-09-26,V,15.68,15.85,15.2,15.51,12797715
2008-09-29,V,15.07,15.12,13.97,14.45,19609713
2008-09-30,V,14.1,15.36,14.1,15.35,9683061
2008-10-01,V,15.19,15.53,14.8,15.33,6774358
2008-10-02,V,15.37,15.37,14.33,14.4,8805330
2008-10-03,V,14.77,15.04,14.08,14.21,15119332
2008-10-06,V,13.36,14.01,12.56,13.85,21841625
2008-10-07,V,14.0,14.11,12.65,12.79,18964939
2008-10-08,V,12.25,13.61,11.94,13.16,18807001
2008-10-09,V,13.45,13.98,12.35,12.46,10637327
2008-10-10,V,11.75,13.49,11.75,13.0,18787795
2008-10-13,V,13.75,14.75,13.4,14.72,12361687
2008-10-14,V,15.5,15.53,13.81,14.4,13287275
2008-10-15,V,13.88,14.0,12.13,12.44,19180778
2008-10-16,V,12.54,13.33,12.01,13.27,14021045
2008-10-17,V,12.88,13.77,12.88,13.05,8778974
2008-10-20,V,13.33,13.46,12.78,13.0,8993636
2008-10-21,V,12.84,13.27,12.57,12.68,7253485
2008-10-22,V,12.49,13.0,12.0,12.13,10063277
2008-10-23,V,12.19,12.39,11.44,12.08,11993042
2008-10-24,V,10.95,12.13,10.94,11.99,10200028
2008-10-27,V,11.75,12.3,11.61,11.65,10482332
2008-10-28,V,11.97,12.89,11.76,12.49,14610890
2008-10-29,V,12.6,13.38,12.38,12.67,14009938
2008-10-30,V,12.65,14.04,12.64,13.56,18729591
2008-10-31,V,13.47,14.02,13.25,13.84,10093477
2008-11-03,V,13.98,14.03,12.98,13.12,7127635
2008-11-04,V,13.6,15.11,13.47,14.95,18471831
2008-11-05,V,14.57,14.8,14.11,14.12,11254338
2008-11-06,V,13.76,14.0,12.69,12.88,13025190
2008-11-07,V,13.11,13.7,12.83,13.38,7728706
2008-11-10,V,13.82,13.82,12.8,13.0,6630351
2008-11-11,V,12.75,13.75,12.59,13.45,8098949
2008-11-12,V,13.11,13.91,12.79,12.94,10688339
2008-11-13,V,12.97,13.64,12.47,13.61,9686822
2008-11-14,V,13.28,14.25,13.11,13.56,9352554
2008-11-17,V,13.27,13.56,12.91,13.19,7329370
2008-11-18,V,13.25,13.77,13.15,13.66,7886304
2008-11-19,V,13.5,13.96,12.81,12.89,8739025
2008-11-20,V,12.55,12.82,12.0,12.04,12749256
2008-11-21,V,12.4,12.4,10.88,11.6,21194904
2008-11-24,V,11.9,12.5,11.45,12.43,11213481
2008-11-25,V,12.59,12.74,12.25,12.38,11240592
2008-11-26,V,12.2,13.0,12.05,13.0,6917918
2008-11-28,V,12.93,13.19,12.79,13.14,3177904
2008-12-01,V,12.75,12.79,11.92,12.01,7742224
2008-12-02,V,12.17,12.44,11.88,12.42,6643334
2008-12-03,V,12.03,13.19,12.03,13.11,9101232
2008-12-04,V,12.98,13.19,12.55,12.7,7621801
2008-12-05,V,12.44,13.37,12.13,13.29,10284221
2008-12-08,V,13.6,14.42,13.49,14.04,13274176
2008-12-09,V,13.88,14.11,13.28,13.38,8031858
2008-12-10,V,13.29,13.46,12.74,13.29,7546611
2008-12-11,V,13.1,13.65,12.93,13.02,7504632
2008-12-12,V,12.63,13.48,12.63,13.24,6297838
2008-12-15,V,13.2,13.44,12.94,13.19,5464661
2008-12-16,V,13.32,13.7,13.19,13.69,7681432
2008-12-17,V,13.57,14.0,13.52,13.84,6263247
2008-12-18,V,13.84,14.05,13.52,13.68,7593689
2008-12-19,V,13.63,14.06,13.45,13.74,8897643
2008-12-22,V,13.71,13.81,13.24,13.44,3521011
2008-12-23,V,13.38,13.6,13.28,13.41,2674595
2008-12-24,V,13.36,13.44,13.16,13.22,1632304
2008-12-26,V,13.2,13.37,12.98,13.31,1619206
