Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,AMP,54.6,54.89,54.31,54.5,774500
2007-01-03,AMP,54.68,55.57,54.68,55.22,1858900
2007-01-04,AMP,55.34,55.75,55.07,55.58,1586900
2007-01-05,AMP,55.45,55.66,55.02,55.5,1045100
2007-01-08,AMP,55.51,56.3,55.27,56.19,1227600
2007-01-09,AMP,56.36,56.71,56.09,56.53,1161200
2007-01-10,AMP,56.54,56.87,56.13,56.76,1047800
2007-01-11,AMP,56.72,57.93,56.5,57.81,1149200
2007-01-12,AMP,57.56,58.18,57.54,57.98,1236100
2007-01-16,AMP,58.2,58.5,57.5,58.07,1371900
2007-01-17,AMP,58.06,58.29,57.79,58.04,1117000
2007-01-18,AMP,58.02,58.4,57.54,57.65,1019200
2007-01-19,AMP,57.97,57.97,57.23,57.6,1106600
2007-01-22,AMP,57.47,57.87,56.8,56.91,1287600
2007-01-23,AMP,56.93,57.75,56.4,57.6,1237500
2007-01-24,AMP,57.6,58.94,57.04,58.86,1145700
2007-01-25,AMP,58.87,58.87,57.42,57.45,1063200
2007-01-26,AMP,58.45,59.35,56.95,58.48,2641900
2007-01-29,AMP,58.67,58.7,57.5,57.53,1511800
2007-01-30,AMP,57.4,58.76,57.32,58.73,1060300
2007-01-31,AMP,58.27,59.24,58.0,58.96,964400
2007-02-01,AMP,58.96,59.29,58.53,59.04,990600
2007-02-02,AMP,59.26,59.85,59.19,59.76,1147900
2007-02-05,AMP,59.76,60.1,59.51,59.99,1191800
2007-02-06,AMP,60.24,61.3,60.14,61.21,1408300
2007-02-07,AMP,61.46,61.8,60.95,61.37,1051700
2007-02-08,AMP,61.48,61.75,61.06,61.33,1177100
2007-02-09,AMP,61.12,61.73,59.47,60.1,1293800
2007-02-12,AMP,60.11,60.42,59.74,60.25,888916
2007-02-13,AMP,60.35,61.53,60.28,61.12,1318398
2007-02-14,AMP,61.18,63.07,61.16,62.56,1503003
