Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,BBWI,29.29,29.49,28.89,28.94,2269000
2007-01-03,BBWI,30.0,30.03,29.12,29.58,7509000
2007-01-04,BBWI,27.89,28.15,27.08,27.35,14156700
2007-01-05,BBWI,27.19,27.75,26.16,27.33,8060000
2007-01-08,BBWI,27.25,27.79,26.56,26.8,7443200
2007-01-09,BBWI,27.02,27.79,27.0,27.2,8740500
2007-01-10,BBWI,27.08,27.08,26.64,26.94,4218300
2007-01-11,BBWI,27.07,28.19,27.04,28.02,7090200
2007-01-12,BBWI,28.0,28.75,27.87,28.62,4806700
2007-01-16,BBWI,28.44,28.68,28.1,28.15,4507200
2007-01-17,BBWI,28.1,28.1,27.61,27.73,5199000
2007-01-18,BBWI,28.0,28.99,27.9,28.35,3240200
2007-01-19,BBWI,27.76,28.5,27.69,28.39,3976300
2007-01-22,BBWI,28.8,28.99,28.17,28.29,3738000
2007-01-23,BBWI,28.07,28.6,28.05,28.27,3296700
2007-01-24,BBWI,28.19,28.56,28.12,28.3,2730200
2007-01-25,BBWI,28.38,28.38,27.68,27.79,2706200
2007-01-26,BBWI,27.78,27.91,27.33,27.62,3291200
2007-01-29,BBWI,27.5,27.71,27.37,27.56,1855500
2007-01-30,BBWI,27.52,27.84,27.52,27.8,3691300
2007-01-31,BBWI,27.67,28.16,27.67,27.94,2141700
2007-02-01,BBWI,28.1,28.51,27.78,28.48,3816500
2007-02-02,BBWI,28.71,28.76,28.36,28.56,3292800
2007-02-05,BBWI,28.52,28.74,28.36,28.61,2884400
2007-02-06,BBWI,28.6,29.29,28.58,29.17,5432800
2007-02-07,BBWI,29.06,29.88,28.87,29.29,4043700
2007-02-08,BBWI,29.24,29.39,28.77,29.05,2640700
2007-02-09,BBWI,29.15,29.24,28.48,28.5,4130900
2007-02-12,BBWI,28.37,28.58,28.14,28.29,3978127
2007-02-13,BBWI,28.43,28.86,28.3,28.8,2161402
2007-02-14,BBWI,28.79,29.16,28.66,29.09,2571119
2007-02-15,BBWI,29.11,29.45,28.93,29.3,2330400
2007-02-16,BBWI,29.26,29.26,28.98,29.22,1975300
2007-02-20,BBWI,29.2,29.75,28.89,29.54,2390100
