Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,BBY,49.35,50.09,49.0,49.19,3159100
2007-01-03,BBY,49.15,50.3,48.53,49.06,6608400
2007-01-04,BBY,48.62,50.11,48.53,49.84,8753900
2007-01-05,BBY,51.35,51.8,49.77,50.0,14648700
2007-01-08,BBY,50.5,50.5,48.95,49.42,8388800
2007-01-09,BBY,49.4,49.47,48.6,49.04,8346700
2007-01-10,BBY,49.03,49.46,48.7,49.41,5196300
2007-01-11,BBY,50.23,50.74,49.11,50.04,7318000
2007-01-12,BBY,49.87,50.12,49.31,49.66,3756700
2007-01-16,BBY,49.47,49.98,48.9,48.96,5493600
2007-01-17,BBY,48.99,49.29,48.55,48.65,4090900
2007-01-18,BBY,48.3,49.43,48.01,49.18,5427000
2007-01-19,BBY,49.43,49.53,48.69,49.4,5503700
2007-01-22,BBY,49.4,49.54,48.85,49.38,5491700
2007-01-23,BBY,49.38,49.48,48.9,49.31,4941200
2007-01-24,BBY,49.3,50.81,49.3,50.36,6057100
2007-01-25,BBY,51.4,51.62,49.55,49.88,7157100
2007-01-26,BBY,49.89,50.24,49.26,49.52,3158500
2007-01-29,BBY,49.57,50.41,49.52,50.08,3582600
2007-01-30,BBY,50.25,50.41,49.34,49.62,3338600
2007-01-31,BBY,49.62,50.68,49.49,50.4,3430100
2007-02-01,BBY,50.41,51.0,50.16,50.85,3196300
2007-02-02,BBY,50.95,51.48,50.75,51.19,2757700
2007-02-05,BBY,51.1,51.65,50.9,50.98,2528200
2007-02-06,BBY,50.98,51.21,50.41,50.84,2246500
2007-02-07,BBY,50.78,50.98,50.12,50.79,3029200
2007-02-08,BBY,50.7,51.34,50.36,51.12,3027600
2007-02-09,BBY,51.22,51.8,50.66,51.0,3632200
2007-02-12,BBY,50.87,51.36,50.2,50.46,2383614
2007-02-13,BBY,50.46,51.14,50.25,50.52,3046280
2007-02-14,BBY,50.7,50.72,49.81,50.07,5146876
2007-02-15,BBY,49.93,50.34,49.9,50.24,3427400
2007-02-16,BBY,50.25,50.33,49.76,50.0,3064700
2007-02-20,BBY,50.0,50.75,49.8,50.65,3012800
2007-02-21,BBY,50.23,51.05,50.19,50.39,4727200
2007-02-22,BBY,50.31,50.68,49.57,50.05,4100200
2007-02-23,BBY,50.19,50.4,49.2,49.3,4996400
2007-02-26,BBY,50.05,49.64,48.56,48.64,3979923
2007-02-27,BBY,48.3,48.43,46.11,46.9,7863900
2007-02-28,BBY,47.1,47.29,46.25,46.48,7887800
2007-03-01,BBY,45.95,47.08,45.08,46.79,8836398
2007-03-02,BBY,46.91,47.2,45.93,46.35,7080200
