Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2014-08-11,CHTR,152.16,153.74,151.73,152.43,659588
2014-08-13,CHTR,153.47,156.27,153.47,155.01,1155733
2014-08-15,CHTR,160.98,160.99,155.18,155.61,1259937
2014-08-19,CHTR,157.52,158.21,155.6,156.15,555428
2014-08-21,CHTR,156.24,156.83,155.47,156.75,413776
2014-08-25,CHTR,155.8,156.17,154.47,155.06,299714
2014-08-29,CHTR,156.85,156.96,154.94,156.87,901807
2014-09-08,CHTR,157.82,159.18,156.89,157.74,334512
2014-09-09,CHTR,156.99,157.21,155.06,156.52,556714
2014-09-10,CHTR,157.22,157.99,156.12,157.63,775903
2014-09-15,CHTR,157.48,160.01,157.48,159.89,716451
2014-09-16,CHTR,159.82,161.58,159.82,161.42,840633
2014-09-23,CHTR,160.85,161.24,156.29,156.37,847765
2014-09-24,CHTR,156.13,156.71,153.39,155.16,1323343
2014-09-26,CHTR,154.4,157.0,153.69,156.84,910311
2014-10-03,CHTR,150.14,153.69,149.67,152.67,1161158
2014-10-06,CHTR,153.38,153.96,152.63,153.53,820337
2014-10-07,CHTR,152.25,153.07,151.49,151.66,698999
2014-10-10,CHTR,150.53,151.9,147.8,148.12,808982
2014-10-16,CHTR,140.75,142.34,137.51,140.25,1861370
2014-10-29,CHTR,157.0,157.0,151.93,153.71,1308720
2016-05-03,CHTR,215.56,216.5,212.24,212.67,1884761
2016-05-06,CHTR,211.03,213.62,209.91,212.92,2489187
2016-05-18,CHTR,224.91,228.29,222.5,227.41,4352733
2016-05-19,CHTR,225.8,230.49,225.73,227.57,4343440
2016-05-20,CHTR,227.46,233.7,227.16,233.11,5519402
2016-05-23,CHTR,232.2,233.19,223.61,225.0,6529408
2016-05-24,CHTR,224.21,229.0,223.09,228.38,3480946
2016-05-25,CHTR,227.46,229.37,224.05,225.6,3951694
2016-05-26,CHTR,222.89,226.19,218.46,219.04,3299765
2016-05-27,CHTR,217.01,222.02,217.01,219.97,2797213
2016-05-31,CHTR,220.06,220.98,216.1,218.94,3566156
2016-06-01,CHTR,222.5,227.51,220.1,227.5,3176483
2016-06-02,CHTR,225.77,228.72,225.19,227.82,2996768
2016-06-03,CHTR,227.41,227.81,224.12,224.95,1493535
2016-06-06,CHTR,224.92,225.95,221.15,221.68,2636418
2016-06-07,CHTR,221.31,223.41,220.52,220.8,1914920
2016-06-08,CHTR,218.13,223.16,218.04,223.08,2846450
2016-06-09,CHTR,222.19,223.23,221.09,222.97,1689848
2016-06-10,CHTR,220.26,224.24,218.72,223.53,2184306
2016-06-13,CHTR,223.42,226.35,223.04,223.28,2818816
2016-06-14,CHTR,228.94,228.94,220.5,222.24,3866259
2016-06-15,CHTR,221.85,223.78,220.28,221.19,1720612
2016-06-16,CHTR,222.73,222.82,220.15,221.48,1781485
2016-06-17,CHTR,221.63,223.03,219.47,221.05,7134953
2016-06-20,CHTR,224.45,225.17,221.0,221.12,1508979
2016-06-21,CHTR,220.35,223.0,220.08,222.81,1655166
2016-06-22,CHTR,222.46,224.01,220.62,222.39,1905428
2016-06-23,CHTR,223.28,225.4,221.05,224.87,1751730
2016-06-24,CHTR,219.17,224.23,215.18,216.8,5933546
2016-06-27,CHTR,215.23,217.63,214.06,216.28,2699735
2016-06-28,CHTR,217.52,220.62,216.09,218.38,1573185
2016-06-29,CHTR,220.0,228.19,219.88,227.37,2182982
2016-06-30,CHTR,226.92,229.8,225.74,228.64,2151586
2016-07-01,CHTR,228.68,232.65,226.81,232.29,1829679
2016-07-05,CHTR,231.67,234.47,230.19,231.77,2492794
2016-07-06,CHTR,231.0,232.99,229.01,232.78,1312965
2016-07-07,CHTR,232.34,235.2,232.02,234.87,1164075
2016-07-08,CHTR,237.06,238.27,235.89,237.17,1615406
2016-07-11,CHTR,238.08,240.1,237.08,239.87,1288977
2016-07-12,CHTR,239.52,241.48,237.79,238.45,1532742
2016-07-13,CHTR,239.86,240.45,237.29,237.43,1215225
2016-07-14,CHTR,239.24,239.94,235.94,239.11,941984
2016-07-15,CHTR,240.41,240.41,234.21,234.98,1987309
2016-07-18,CHTR,235.19,236.26,233.27,234.34,753186
2016-07-19,CHTR,234.13,235.0,231.9,232.01,1373029
2016-07-20,CHTR,232.91,236.54,227.63,236.19,1987124
2016-07-21,CHTR,234.83,240.87,233.7,240.48,1715340
2016-07-22,CHTR,241.36,244.44,239.0,243.47,1648868
2016-07-25,CHTR,243.35,244.51,240.09,240.69,1027005
2016-07-26,CHTR,241.69,242.61,235.21,237.98,1163011
2016-07-27,CHTR,239.94,240.29,236.68,237.72,1167575
2016-07-28,CHTR,237.07,239.39,237.07,237.8,784170
2016-07-29,CHTR,238.55,238.89,234.77,234.87,1008086
2016-08-01,CHTR,235.54,238.96,234.16,236.0,1710351
2016-08-02,CHTR,237.51,238.53,235.18,235.79,1330104
2016-08-03,CHTR,235.75,237.72,234.79,237.11,949507
2016-08-04,CHTR,236.89,238.94,235.9,236.99,902043
2016-08-05,CHTR,238.01,238.44,234.41,234.79,917076
2016-08-08,CHTR,234.55,239.37,233.0,236.82,1998791
2016-08-09,CHTR,237.0,260.39,236.06,255.76,5655748
2016-08-10,CHTR,255.77,257.38,253.21,254.07,1996554
2016-08-11,CHTR,253.21,258.36,252.5,258.06,1467833
2016-08-12,CHTR,256.53,258.9,255.04,258.62,948296
2016-08-15,CHTR,259.49,261.75,259.03,260.51,1144504
2016-08-16,CHTR,260.49,261.43,256.73,257.14,881470
2016-08-17,CHTR,256.3,258.9,254.21,257.43,1108672
2016-08-18,CHTR,257.35,258.88,253.41,254.83,1700659
2016-08-19,CHTR,253.53,253.96,250.75,252.63,2067465
2016-08-22,CHTR,253.08,253.08,250.05,252.65,1005575
2016-08-23,CHTR,253.44,254.31,250.92,252.24,944817
2016-08-24,CHTR,251.6,253.87,249.88,251.74,857303
2016-08-25,CHTR,251.79,253.34,251.01,252.07,457884
2016-08-26,CHTR,252.73,253.34,249.13,250.93,926490
2016-08-29,CHTR,251.69,255.0,251.69,252.31,1035551
2016-08-30,CHTR,251.55,256.72,250.9,256.03,1425722
2016-08-31,CHTR,255.26,258.35,254.44,257.21,1458459
2016-09-01,CHTR,267.0,272.81,264.37,268.82,7872466
2016-09-02,CHTR,268.68,272.96,268.68,271.79,3715126
2016-09-06,CHTR,279.95,279.95,270.02,274.67,5043837
2016-09-07,CHTR,273.42,277.69,272.65,277.56,35466604
2016-09-08,CHTR,276.2,276.45,267.38,268.66,5006568
2016-09-09,CHTR,266.36,267.49,264.12,264.12,2897723
2016-09-12,CHTR,263.76,269.7,263.27,269.31,2537003
2016-09-13,CHTR,266.81,268.46,262.57,264.97,1981208
2016-09-14,CHTR,262.11,267.91,262.11,266.69,1302323
2016-09-15,CHTR,265.93,268.83,264.76,266.27,1692849
2016-09-16,CHTR,266.22,266.87,264.16,265.94,2515379
2016-09-19,CHTR,266.38,268.09,262.7,262.93,2133111
2016-09-20,CHTR,264.21,266.0,261.68,264.56,1968211
2016-09-21,CHTR,266.0,274.78,266.0,274.27,2320152
2016-09-22,CHTR,276.0,277.62,273.51,276.73,1622160
2016-09-23,CHTR,275.65,276.95,274.89,276.08,834596
2016-09-26,CHTR,275.02,275.63,272.49,273.82,1295212
2016-09-27,CHTR,273.33,277.77,271.31,275.4,1269283
2016-09-28,CHTR,275.4,276.61,273.66,276.57,1175549
2016-09-29,CHTR,275.26,276.11,269.14,271.83,1793644
2016-09-30,CHTR,268.9,272.41,268.9,269.97,1875169
2016-10-03,CHTR,269.68,270.99,266.05,268.16,1908940
2016-10-04,CHTR,267.38,269.56,265.93,267.41,1745311
2016-10-05,CHTR,268.73,269.3,266.19,267.08,1333435
2016-10-06,CHTR,267.0,269.46,266.36,268.17,1079571
2016-10-07,CHTR,269.04,269.04,266.92,266.97,1373526
2016-10-10,CHTR,268.3,268.85,266.24,267.85,2016316
2016-10-11,CHTR,262.32,263.82,257.51,257.86,3440485
2016-10-12,CHTR,257.91,259.33,256.82,256.89,1702830
2016-10-13,CHTR,255.72,257.27,253.38,256.4,1284564
2016-10-14,CHTR,257.92,261.32,255.81,257.59,1112901
2016-10-17,CHTR,257.82,260.2,256.98,257.52,823169
2016-10-18,CHTR,259.62,261.51,259.51,259.95,1127212
2016-10-19,CHTR,260.81,262.92,259.42,260.2,1319252
2016-10-20,CHTR,260.5,260.54,257.56,258.12,1518548
2016-10-21,CHTR,256.2,257.37,254.08,255.06,2250548
2016-10-24,CHTR,257.26,259.78,254.72,259.6,1382017
2016-10-25,CHTR,259.99,261.01,256.02,257.06,1680654
2016-10-26,CHTR,256.6,257.15,247.0,248.64,2999430
2016-10-27,CHTR,249.04,249.88,242.47,244.1,2875805
2016-10-28,CHTR,245.02,252.25,245.02,249.25,2041747
2016-10-31,CHTR,250.62,251.25,247.39,249.89,1230026
2016-11-01,CHTR,250.0,251.27,245.43,249.57,1676428
2016-11-02,CHTR,249.36,254.55,248.29,252.91,3472057
2016-11-03,CHTR,267.57,269.19,242.64,247.42,4560570
2016-11-04,CHTR,241.5,254.43,241.5,250.23,2424186
2016-11-07,CHTR,254.73,257.5,252.9,257.16,2372654
2016-11-08,CHTR,257.58,263.32,255.37,262.26,1716772
2016-11-09,CHTR,259.13,277.98,259.0,269.83,4369703
2016-11-10,CHTR,271.2,281.36,266.58,270.87,5210954
2016-11-11,CHTR,269.07,273.79,265.32,272.44,2111928
2016-11-14,CHTR,272.29,273.99,263.06,263.14,2474958
