Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,COR,44.96,45.14,44.92,44.96,1198500
2007-01-03,COR,45.08,46.15,45.08,46.11,2735700
2007-01-04,COR,46.23,46.41,45.65,46.29,1390200
2007-01-05,COR,46.11,46.4,45.56,45.73,2005300
2007-01-08,COR,46.21,46.6,45.9,46.45,1844400
2007-01-09,COR,46.6,46.79,46.22,46.3,2065300
2007-01-10,COR,46.3,46.66,46.22,46.52,835600
2007-01-11,COR,46.6,47.53,46.57,47.26,1344500
2007-01-12,COR,47.01,47.57,46.73,47.37,1101000
2007-01-16,COR,47.57,47.82,47.32,47.66,881500
2007-01-17,COR,47.55,48.4,47.37,48.37,1225500
2007-01-18,COR,48.62,48.8,47.97,48.09,1212700
2007-01-19,COR,48.25,48.35,47.84,48.01,1570000
2007-01-22,COR,48.01,48.3,47.42,47.53,1537300
2007-01-23,COR,47.49,48.24,47.4,48.07,1115300
2007-01-24,COR,50.1,52.25,49.76,51.96,5059300
2007-01-25,COR,51.89,54.4,51.89,53.02,3810100
2007-01-26,COR,52.98,53.2,52.41,52.83,1962100
2007-01-29,COR,52.72,52.79,51.54,51.82,2262400
2007-01-30,COR,52.04,52.4,51.72,52.34,1533500
2007-01-31,COR,51.96,52.45,51.8,52.38,1118400
2007-02-01,COR,52.4,52.54,52.04,52.37,1657300
2007-02-02,COR,52.44,52.88,52.29,52.33,1032000
2007-02-05,COR,52.29,52.62,52.15,52.5,854300
2007-02-06,COR,52.51,52.51,52.07,52.41,1000900
2007-02-07,COR,52.47,52.58,52.21,52.51,685400
2007-02-08,COR,52.51,52.94,52.25,52.67,683000
2007-02-09,COR,52.77,53.55,52.7,53.51,1572900
2007-02-12,COR,53.51,53.54,53.06,53.52,1270684
2007-02-13,COR,53.5,54.1,53.25,54.1,1140415
2007-02-14,COR,54.4,54.69,53.87,54.0,830029
2007-02-15,COR,54.18,55.52,54.13,55.32,1683900
2007-02-16,COR,55.07,55.24,54.79,54.9,992700
2007-02-20,COR,54.88,55.2,54.8,55.06,625500
2007-02-21,COR,54.78,54.96,54.66,54.85,717400
2007-02-22,COR,54.85,55.0,54.69,54.84,688600
2007-02-23,COR,54.81,55.13,54.45,55.01,769300
2007-02-26,COR,54.9,54.96,53.58,54.02,1209274
2007-02-27,COR,53.78,53.97,52.0,52.3,1426700
2007-02-28,COR,52.3,53.07,51.95,52.6,1434400
2007-03-01,COR,51.7,52.9,51.04,52.43,1297978
2007-03-02,COR,52.33,52.54,51.63,51.68,793000
2007-03-05,COR,51.04,51.87,51.0,51.03,948400
2007-03-06,COR,51.05,52.52,51.05,52.46,1248600
2007-03-07,COR,52.46,52.63,51.63,51.7,1681823
2007-03-08,COR,52.2,53.04,51.91,52.66,1251155
2007-03-09,COR,52.91,53.28,52.71,53.09,935200
2007-03-12,COR,52.86,53.49,52.42,52.44,1035500
2007-03-13,COR,52.1,52.55,51.0,51.11,2174200
2007-03-14,COR,50.22,52.71,50.22,51.88,1907300
2007-03-15,COR,52.0,52.25,51.6,52.25,861100
2007-03-16,COR,52.39,52.75,51.36,51.86,1161600
2007-03-19,COR,51.86,53.38,52.0,53.3,1153800
2007-03-20,COR,53.2,53.3,52.58,52.81,1006500
