Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,CSGP,54.78,55.65,53.5,53.56,124097
2007-01-03,CSGP,53.98,54.25,51.49,52.15,279242
2007-01-04,CSGP,51.86,52.37,50.83,51.94,152960
2007-01-05,CSGP,51.6,51.96,50.6,50.67,180323
2007-01-08,CSGP,50.58,50.7,50.31,50.58,177128
2007-01-09,CSGP,50.79,50.79,49.84,49.99,203988
2007-01-10,CSGP,49.74,50.7,49.63,50.41,131752
2007-01-11,CSGP,50.26,51.2,50.26,50.86,57876
2007-01-12,CSGP,50.74,51.88,50.74,51.76,72328
2007-01-16,CSGP,52.0,52.28,50.96,51.26,137018
2007-01-17,CSGP,51.05,51.69,50.62,50.67,144768
2007-01-18,CSGP,50.15,50.99,50.0,50.0,87707
2007-01-19,CSGP,49.93,50.32,49.59,50.25,302209
2007-01-22,CSGP,50.2,50.9,49.4,49.43,70839
2007-01-23,CSGP,49.45,50.07,48.9,49.36,57228
2007-01-24,CSGP,49.34,49.74,49.11,49.57,106943
2007-01-25,CSGP,49.51,49.77,48.05,48.37,108677
2007-01-26,CSGP,48.37,48.78,47.74,48.26,112514
2007-01-29,CSGP,48.52,48.52,48.01,48.25,74649
2007-01-30,CSGP,48.15,48.23,47.67,47.84,132558
2007-01-31,CSGP,47.86,48.06,47.45,47.47,71442
2007-02-01,CSGP,47.47,48.35,47.43,47.92,133078
2007-02-02,CSGP,48.11,48.5,47.93,48.11,45958
2007-02-05,CSGP,48.13,48.44,47.33,47.54,156372
2007-02-06,CSGP,47.78,48.5,47.56,48.48,103760
2007-02-07,CSGP,48.5,48.5,47.97,48.42,62704
2007-02-08,CSGP,48.21,48.52,47.99,48.52,66564
2007-02-09,CSGP,48.4,48.4,47.28,47.82,91215
2007-02-12,CSGP,47.79,48.11,47.48,47.74,58713
2007-02-13,CSGP,47.75,47.75,47.21,47.49,64137
2007-02-14,CSGP,47.5,47.5,46.86,46.87,125367
2007-02-15,CSGP,47.09,47.09,46.52,46.57,119230
2007-02-16,CSGP,46.57,47.11,46.1,46.95,145319
2007-02-20,CSGP,46.71,47.82,46.41,47.81,80165
2007-02-21,CSGP,47.49,47.88,46.54,46.59,157919
2007-02-22,CSGP,46.5,51.18,45.1,50.62,745585
2007-02-23,CSGP,49.5,52.0,49.5,50.84,716385
2007-02-26,CSGP,50.9,51.54,50.2,50.57,297044
2007-02-27,CSGP,50.0,50.33,48.87,49.28,371447
2007-02-28,CSGP,49.2,49.61,46.62,46.87,333709
2007-03-01,CSGP,46.64,46.91,45.36,46.15,180483
2007-03-02,CSGP,46.15,46.33,44.07,44.37,172604
2007-03-05,CSGP,43.92,44.3,42.99,43.44,223613
2007-03-06,CSGP,43.92,45.16,43.89,44.94,126390
2007-03-07,CSGP,44.73,44.93,44.17,44.45,119880
2007-03-08,CSGP,44.82,45.36,43.71,44.24,116670
2007-03-09,CSGP,44.67,44.7,43.85,44.62,122026
2007-03-12,CSGP,44.45,44.78,44.18,44.46,129476
2007-03-13,CSGP,44.25,44.32,43.51,44.03,168758
2007-03-14,CSGP,43.84,44.55,43.51,43.99,190993
2007-03-15,CSGP,44.17,45.26,44.12,44.5,154052
