Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,DUK,33.01,33.4,32.99,33.21,3566400
2007-01-03,DUK,20.0,20.0,18.9,19.14,14492900
2007-01-04,DUK,19.02,19.25,19.01,19.18,11866300
2007-01-05,DUK,19.2,19.22,18.7,18.74,8846400
2007-01-08,DUK,18.92,18.94,18.69,18.77,6846300
2007-01-09,DUK,18.82,18.88,18.6,18.68,8893900
2007-01-10,DUK,18.67,18.79,18.4,18.6,7016400
2007-01-11,DUK,18.7,18.76,18.55,18.65,9591000
2007-01-12,DUK,18.7,18.72,18.49,18.56,8678800
2007-01-16,DUK,18.58,18.66,18.55,18.62,9983600
2007-01-17,DUK,18.68,18.68,18.54,18.59,10531700
2007-01-18,DUK,18.65,18.73,18.55,18.68,8660100
2007-01-19,DUK,18.79,18.85,18.71,18.74,9463300
2007-01-22,DUK,18.74,18.8,18.62,18.64,7963000
2007-01-23,DUK,18.64,18.7,18.56,18.67,8534700
2007-01-24,DUK,18.68,18.82,18.62,18.75,9866700
2007-01-25,DUK,18.78,19.0,18.75,18.92,11477600
2007-01-26,DUK,18.95,19.12,18.95,19.08,13722200
2007-01-29,DUK,19.12,19.24,19.07,19.19,10166900
2007-01-30,DUK,19.24,19.53,19.21,19.47,9861600
2007-01-31,DUK,19.47,19.74,19.45,19.69,10407100
2007-02-01,DUK,19.75,20.08,19.7,19.85,14188300
2007-02-02,DUK,19.78,20.0,19.69,19.99,8956100
2007-02-05,DUK,20.0,20.43,19.97,20.29,10703800
2007-02-06,DUK,20.18,20.4,20.06,20.06,12351100
2007-02-07,DUK,20.06,20.07,19.78,19.99,8607600
2007-02-08,DUK,20.0,20.19,19.97,20.16,5981900
2007-02-09,DUK,20.19,20.29,20.0,20.16,4651500
2007-02-12,DUK,20.24,20.29,20.13,20.2,5162833
2007-02-13,DUK,20.23,20.4,20.2,20.39,6035297
2007-02-14,DUK,20.24,20.28,20.03,20.06,11475168
2007-02-15,DUK,20.22,20.22,19.95,20.0,4423500
2007-02-16,DUK,19.99,20.04,19.91,19.96,6164200
2007-02-20,DUK,19.96,20.0,19.82,19.95,10813100
2007-02-21,DUK,19.84,19.97,19.8,19.95,6233200
2007-02-22,DUK,19.93,19.98,19.77,19.82,5743900
2007-02-23,DUK,19.79,20.05,19.77,19.91,7351500
2007-02-26,DUK,20.3,20.39,19.97,20.01,8237305
2007-02-27,DUK,19.7,20.06,19.51,19.62,8994800
2007-02-28,DUK,19.62,19.88,19.43,19.68,10354700
2007-03-01,DUK,19.64,19.96,19.36,19.81,7938362
2007-03-02,DUK,19.78,19.82,19.48,19.49,6118700
2007-03-05,DUK,19.45,19.46,19.07,19.12,5936400
2007-03-06,DUK,19.19,19.58,19.15,19.55,9905300
