Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,DXCM,10.04,10.05,9.72,9.86,337853
2007-01-03,DXCM,9.96,10.11,9.75,9.88,393198
2007-01-04,DXCM,9.82,9.89,9.59,9.79,167277
2007-01-05,DXCM,9.73,9.9,9.45,9.68,494114
2007-01-08,DXCM,9.66,10.05,9.55,9.64,331985
2007-01-09,DXCM,9.63,9.73,9.4,9.42,422845
2007-01-10,DXCM,9.36,9.48,9.18,9.47,854597
2007-01-11,DXCM,9.35,9.52,8.8,9.16,1627425
2007-01-12,DXCM,9.1,9.15,8.8,8.99,406960
2007-01-16,DXCM,8.99,9.0,8.5,8.6,666316
2007-01-17,DXCM,8.61,8.95,8.52,8.81,531347
2007-01-18,DXCM,8.59,8.82,8.5,8.53,349446
2007-01-19,DXCM,8.51,8.76,8.03,8.71,1507098
2007-01-22,DXCM,8.72,8.72,8.35,8.43,363695
2007-01-23,DXCM,8.4,8.53,8.31,8.52,393792
2007-01-24,DXCM,8.51,8.97,8.43,8.91,540450
2007-01-25,DXCM,8.97,9.04,8.64,9.0,437127
2007-01-26,DXCM,9.0,9.14,8.75,9.01,247238
2007-01-29,DXCM,8.96,9.58,8.86,9.2,609004
2007-01-30,DXCM,9.2,9.24,8.99,9.11,191253
2007-01-31,DXCM,9.08,9.08,8.75,8.9,423180
2007-02-01,DXCM,8.99,9.04,8.81,8.95,320100
2007-02-02,DXCM,8.95,9.1,8.85,8.9,315454
2007-02-05,DXCM,8.92,9.25,8.82,9.0,290244
2007-02-06,DXCM,9.01,9.05,8.82,8.89,211567
2007-02-07,DXCM,8.87,8.92,8.81,8.85,165082
2007-02-08,DXCM,8.83,8.88,8.66,8.8,361993
2007-02-09,DXCM,8.8,8.86,8.65,8.78,368058
2007-02-12,DXCM,8.8,8.8,8.5,8.63,345338
2007-02-13,DXCM,8.61,8.99,8.52,8.98,230346
2007-02-14,DXCM,8.96,9.05,8.68,8.8,194308
2007-02-15,DXCM,8.85,8.88,8.71,8.86,174073
2007-02-16,DXCM,8.87,8.94,8.66,8.82,137821
2007-02-20,DXCM,8.79,9.04,8.79,9.0,191366
2007-02-21,DXCM,8.95,8.99,8.66,8.74,82618
2007-02-22,DXCM,8.73,8.93,8.61,8.71,116309
2007-02-23,DXCM,8.71,9.39,8.71,9.25,472794
2007-02-26,DXCM,9.32,9.32,9.01,9.06,160055
2007-02-27,DXCM,9.01,9.03,8.24,8.48,268572
2007-02-28,DXCM,8.5,8.62,8.0,8.09,817141
2007-03-01,DXCM,8.0,8.33,7.79,7.94,688555
2007-03-02,DXCM,7.87,8.0,6.69,6.78,768900
2007-03-05,DXCM,6.68,6.7,6.17,6.5,809010
2007-03-06,DXCM,6.5,7.0,6.47,6.97,948888
2007-03-07,DXCM,6.94,7.42,6.87,7.38,690384
2007-03-08,DXCM,7.21,7.43,7.2,7.33,306352
2007-03-09,DXCM,7.37,7.43,7.17,7.25,191428
2007-03-12,DXCM,7.53,7.55,7.33,7.42,264804
2007-03-13,DXCM,7.32,7.41,7.25,7.35,307271
2007-03-14,DXCM,7.36,7.36,7.13,7.34,162750
2007-03-15,DXCM,7.3,7.3,7.11,7.25,245295
2007-03-16,DXCM,7.27,7.39,6.8,7.0,366178
2007-03-19,DXCM,7.04,7.16,6.87,6.94,105727
2007-03-20,DXCM,6.93,7.04,6.9,7.0,270502
2007-03-21,DXCM,7.0,7.0,6.93,7.0,131755
2007-03-22,DXCM,7.04,7.28,7.04,7.21,155321
2007-03-23,DXCM,7.21,7.55,7.2,7.3,210994
2007-03-26,DXCM,7.29,7.37,7.24,7.3,117470
2007-03-27,DXCM,7.29,7.43,7.25,7.29,125647
2007-03-28,DXCM,7.27,7.38,7.2,7.25,132024
2007-03-29,DXCM,7.34,7.78,7.23,7.7,448543
2007-03-30,DXCM,7.75,7.88,7.73,7.86,193864
2007-04-02,DXCM,7.88,7.88,7.6,7.72,194922
2007-04-03,DXCM,7.04,7.94,7.65,7.89,208942
2007-04-04,DXCM,7.87,7.87,7.64,7.66,72902
2007-04-05,DXCM,7.65,7.71,7.55,7.64,76363
2007-04-09,DXCM,7.8,9.14,7.8,8.83,943666
2007-04-10,DXCM,8.85,9.06,8.52,8.67,243230
2007-04-11,DXCM,8.69,8.69,8.23,8.31,196132
2007-04-12,DXCM,8.31,8.59,8.31,8.41,196033
2007-04-13,DXCM,8.47,8.48,8.11,8.17,194931
2007-04-16,DXCM,8.24,8.42,8.0,8.35,256709
2007-04-17,DXCM,8.39,8.51,8.25,8.35,210212
2007-04-18,DXCM,8.34,8.36,8.2,8.25,128363
2007-04-19,DXCM,8.26,8.33,7.92,7.94,164515
2007-04-20,DXCM,8.02,8.33,7.89,8.25,164283
2007-04-23,DXCM,8.2,8.25,7.93,8.15,185252
2007-04-24,DXCM,8.2,8.28,7.9,7.98,364456
2007-04-25,DXCM,8.0,8.34,8.0,8.16,572059
2007-04-26,DXCM,8.17,8.28,7.96,8.26,159804
2007-04-27,DXCM,8.13,8.3,8.12,8.17,155036
2007-04-30,DXCM,8.17,8.28,7.94,7.97,230809
2007-05-01,DXCM,7.97,7.97,7.65,7.72,507627
