Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,ED,48.12,48.304,47.9,48.07,980900
2007-01-03,ED,48.12,48.7,48.12,48.39,1444700
2007-01-04,ED,48.28,48.57,48.05,48.31,1500300
2007-01-05,ED,48.29,48.31,47.32,47.63,1167200
2007-01-08,ED,47.66,47.76,47.33,47.56,1278800
2007-01-09,ED,47.7,47.87,47.34,47.7,1927200
2007-01-10,ED,47.59,48.04,47.55,47.81,1430900
2007-01-11,ED,47.8,48.19,47.54,47.75,957400
2007-01-12,ED,47.57,47.7,47.19,47.36,1141400
2007-01-16,ED,47.53,47.95,47.39,47.53,921600
2007-01-17,ED,47.67,47.68,47.3,47.6,1209900
2007-01-18,ED,47.5,47.74,47.07,47.63,1041500
2007-01-19,ED,47.84,47.99,47.64,47.74,1756900
2007-01-22,ED,47.9,48.43,47.85,48.25,1987000
2007-01-23,ED,48.22,48.54,48.12,48.33,1323400
2007-01-24,ED,48.35,48.68,48.28,48.53,902600
2007-01-25,ED,48.63,48.67,48.01,48.03,1033800
2007-01-26,ED,48.03,48.16,47.68,48.1,985800
2007-01-29,ED,48.0,48.07,47.72,47.94,1034400
2007-01-30,ED,48.04,48.04,47.57,47.93,1283200
2007-01-31,ED,47.92,48.38,47.68,48.28,1318000
2007-02-01,ED,48.41,48.6,48.22,48.4,1297100
2007-02-02,ED,48.5,48.53,48.31,48.46,741900
2007-02-05,ED,48.48,48.75,48.3,48.64,1032900
2007-02-06,ED,48.63,48.89,48.58,48.74,1331600
2007-02-07,ED,48.75,49.03,48.57,48.92,914300
2007-02-08,ED,48.88,49.16,48.85,48.93,684700
2007-02-09,ED,48.92,49.25,48.72,49.03,1401200
2007-02-12,ED,48.45,48.53,48.2,48.42,1065560
2007-02-13,ED,48.49,48.73,48.3,48.72,1222507
2007-02-14,ED,48.66,48.97,48.64,48.81,968479
2007-02-15,ED,48.8,48.8,48.5,48.58,1116600
2007-02-16,ED,48.51,48.83,48.28,48.72,1017700
2007-02-20,ED,48.67,49.05,48.65,49.02,1165900
2007-02-21,ED,48.75,48.95,48.63,48.75,1148000
2007-02-22,ED,49.1,49.57,49.0,49.54,1975300
2007-02-23,ED,49.69,49.89,49.25,49.33,2568500
2007-02-26,ED,49.7,50.05,49.34,49.74,1753616
2007-02-27,ED,49.45,49.54,48.0,48.62,1840900
2007-02-28,ED,48.67,48.94,48.32,48.58,1883200
2007-03-01,ED,48.15,48.86,48.0,48.68,1348563
2007-03-02,ED,48.6,48.63,48.06,48.08,1284300
2007-03-05,ED,47.94,48.01,47.47,47.56,1652100
2007-03-06,ED,47.73,48.3,47.46,48.17,1257100
2007-03-07,ED,48.14,48.35,47.86,47.99,1495400
2007-03-08,ED,48.14,48.47,47.97,48.44,1395400
2007-03-09,ED,48.44,48.59,48.17,48.4,865200
2007-03-12,ED,48.39,48.63,48.1,48.49,1718500
2007-03-13,ED,48.39,48.69,47.93,48.04,1386700
2007-03-14,ED,48.19,48.66,47.81,48.48,1756000
2007-03-15,ED,48.49,48.95,48.21,48.79,1569700
2007-03-16,ED,48.9,48.95,48.42,48.61,1654000
2007-03-19,ED,48.95,49.26,48.61,49.05,1062000
2007-03-20,ED,49.1,49.8,48.88,49.75,1129700
2007-03-21,ED,49.71,50.29,49.42,50.19,1245900
2007-03-22,ED,50.12,50.32,49.87,50.23,1295732
2007-03-23,ED,50.23,50.45,49.9,50.42,756100
2007-03-26,ED,50.42,50.98,50.14,50.93,1781800
2007-03-27,ED,51.06,51.15,50.63,50.96,1414300
2007-03-28,ED,50.86,51.35,50.78,50.92,1461700
2007-03-29,ED,51.12,51.3,50.64,51.25,1219609
2007-03-30,ED,51.25,51.4,50.41,51.06,1523512
2007-04-02,ED,50.94,51.76,50.84,51.72,1611600
2007-04-03,ED,51.92,52.06,51.51,52.0,1538843
2007-04-04,ED,51.84,52.22,51.75,51.84,1295600
2007-04-05,ED,51.69,52.18,51.6,52.05,940000
2007-04-09,ED,51.94,52.24,51.88,52.14,868100
2007-04-10,ED,52.23,52.3,51.95,52.26,1467000
2007-04-11,ED,52.26,52.23,51.66,51.8,1443483
2007-04-12,ED,51.8,52.05,51.48,51.75,1243700
2007-04-13,ED,51.99,51.99,51.46,51.79,793700
2007-04-16,ED,51.79,52.0,51.7,51.94,976700
2007-04-17,ED,51.92,52.49,51.84,52.35,1424700
2007-04-18,ED,52.15,52.63,52.05,52.55,1098436
2007-04-19,ED,52.55,52.53,51.71,51.91,1689289
2007-04-20,ED,51.95,52.15,51.71,52.0,2337366
2007-04-23,ED,51.98,52.14,51.83,51.98,1566900
2007-04-24,ED,52.12,52.26,51.89,52.16,1970900
2007-04-25,ED,52.16,52.79,52.02,52.63,1717145
2007-04-26,ED,52.5,52.9,52.08,52.22,1397244
2007-04-27,ED,52.22,52.22,51.64,51.8,1325216
2007-04-30,ED,51.59,51.68,51.22,51.26,2224500
2007-05-01,ED,51.25,51.63,51.05,51.41,1369780
2007-05-02,ED,51.53,51.86,51.36,51.67,1060250
2007-05-03,ED,51.67,51.82,51.25,51.58,1839822
2007-05-04,ED,51.86,51.86,51.28,51.42,1575316
2007-05-07,ED,51.42,51.96,51.37,51.83,1010317
2007-05-08,ED,51.8,51.97,51.5,51.86,1087000
2007-05-09,ED,51.98,52.0,49.92,51.67,1207500
2007-05-10,ED,51.67,51.99,50.86,50.92,1946300
2007-05-11,ED,50.5,50.98,50.4,50.97,3219400
2007-05-14,ED,50.45,50.73,50.38,50.7,1520620
2007-05-15,ED,50.75,51.13,50.52,50.68,1894400
2007-05-16,ED,50.7,51.45,50.55,51.43,2210200
2007-05-17,ED,51.42,51.42,50.83,50.87,1674200
2007-05-18,ED,50.87,51.08,50.68,50.95,1893900
2007-05-21,ED,51.03,51.1,50.78,51.0,1724700
2007-05-22,ED,50.88,51.0,50.68,50.7,1239100
2007-05-23,ED,50.7,50.85,49.73,49.73,1944165
2007-05-24,ED,49.73,49.84,48.22,48.36,4398544
2007-05-25,ED,48.61,48.7,47.53,48.12,3350457
2007-05-29,ED,48.25,48.82,47.98,48.38,2990600
2007-05-30,ED,48.26,48.78,48.0,48.72,1949700
2007-05-31,ED,48.86,49.01,48.66,48.82,1782667
2007-06-01,ED,49.0,49.09,48.27,48.48,2469656
2007-06-04,ED,48.48,48.89,48.04,48.63,2203210
2007-06-05,ED,48.58,48.59,47.63,47.73,3126660
2007-06-06,ED,47.73,47.93,47.08,47.65,2872626
2007-06-07,ED,47.5,47.39,46.13,46.39,5170217
2007-06-08,ED,46.39,47.39,46.14,46.59,3834940
2007-06-11,ED,46.77,46.97,46.52,46.52,3591100
2007-06-12,ED,46.39,46.73,46.0,46.11,3843000
2007-06-13,ED,46.38,47.02,46.27,47.02,2289600
2007-06-14,ED,46.99,47.3,46.55,46.91,1981289
2007-06-15,ED,47.01,47.66,46.99,47.37,3958440
2007-06-18,ED,47.37,47.51,46.86,46.93,2013453
