Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,EXPE,21.01,21.17,20.91,20.98,828017
2007-01-03,EXPE,20.96,21.26,20.66,21.05,3412363
2007-01-04,EXPE,21.0,21.34,20.97,21.27,2587464
2007-01-05,EXPE,21.3,21.35,21.08,21.26,2757131
2007-01-08,EXPE,21.19,21.42,21.12,21.37,3046668
2007-01-09,EXPE,21.38,21.46,21.25,21.42,5323852
2007-01-10,EXPE,21.34,21.71,21.3,21.48,5730734
2007-01-11,EXPE,21.55,21.7,21.21,21.34,5184370
2007-01-12,EXPE,21.2,21.5,20.85,21.41,2777482
2007-01-16,EXPE,21.48,21.48,21.18,21.24,1662336
2007-01-17,EXPE,21.07,21.33,20.97,21.16,2647257
2007-01-18,EXPE,21.1,21.43,20.47,20.65,2287974
2007-01-19,EXPE,20.65,21.07,20.39,21.02,2903082
2007-01-22,EXPE,20.95,21.3,20.42,20.58,3224500
2007-01-23,EXPE,20.58,20.97,20.53,20.7,3185845
2007-01-24,EXPE,20.71,21.21,20.7,21.03,1587215
2007-01-25,EXPE,20.88,21.2,20.42,20.65,1692905
2007-01-26,EXPE,20.61,20.78,20.48,20.62,959650
2007-01-29,EXPE,20.31,20.94,20.19,20.86,2129705
2007-01-30,EXPE,20.95,21.3,20.72,21.06,3980853
2007-01-31,EXPE,21.12,21.64,20.68,21.45,1833265
2007-02-01,EXPE,21.42,21.65,20.63,20.68,2364712
2007-02-02,EXPE,20.66,21.19,20.66,21.06,1618209
2007-02-05,EXPE,21.1,21.38,20.74,21.2,1800236
2007-02-06,EXPE,21.19,21.45,20.89,21.44,2147995
2007-02-07,EXPE,21.45,21.92,21.28,21.76,2819143
2007-02-08,EXPE,21.77,22.15,21.64,22.11,1639859
2007-02-09,EXPE,22.06,22.19,21.35,21.64,1796833
2007-02-12,EXPE,21.51,21.63,21.2,21.47,1576337
2007-02-13,EXPE,21.53,21.9,21.48,21.65,1325503
2007-02-14,EXPE,21.68,22.49,21.64,22.27,2410262
2007-02-15,EXPE,22.51,23.1,22.0,22.3,2535993
2007-02-16,EXPE,22.14,22.17,21.76,21.83,2259976
2007-02-20,EXPE,21.72,22.38,21.33,22.22,1589384
2007-02-21,EXPE,22.25,22.47,22.11,22.35,1328379
2007-02-22,EXPE,22.34,22.47,21.89,22.14,1253255
2007-02-23,EXPE,22.1,22.12,21.58,21.7,1562641
2007-02-26,EXPE,21.79,21.98,21.48,21.71,2111327
2007-02-27,EXPE,21.43,21.92,21.04,21.38,2793964
2007-02-28,EXPE,21.0,21.51,20.67,21.26,3747812
2007-03-01,EXPE,20.8,21.1,20.7,20.88,2343322
2007-03-02,EXPE,20.77,20.83,20.39,20.5,2628491
2007-03-05,EXPE,20.41,20.71,20.26,20.41,2159498
2007-03-06,EXPE,20.25,20.47,19.97,20.43,2219143
2007-03-07,EXPE,20.35,20.6,19.97,20.37,1390881
2007-03-08,EXPE,20.42,20.6,20.14,20.55,2010733
2007-03-09,EXPE,20.62,20.73,20.25,20.45,1228854
2007-03-12,EXPE,20.45,20.78,20.41,20.74,1309192
2007-03-13,EXPE,21.02,21.63,21.0,21.26,3138654
2007-03-14,EXPE,21.24,21.42,20.72,21.07,2297558
2007-03-15,EXPE,21.02,21.63,20.91,21.32,1803050
2007-03-16,EXPE,21.23,21.45,20.79,21.11,2416649
2007-03-19,EXPE,21.19,21.74,20.95,21.71,1954828
2007-03-20,EXPE,21.73,22.27,21.64,22.0,3057108
2007-03-21,EXPE,22.07,22.58,21.96,22.58,1565126
2007-03-22,EXPE,22.5,23.06,22.29,22.98,3286376
2007-03-23,EXPE,23.04,23.26,22.9,23.15,2533913
2007-03-26,EXPE,23.23,23.34,22.74,23.18,2146661
2007-03-27,EXPE,23.19,23.2,22.88,23.11,1959269
2007-03-28,EXPE,22.92,22.97,22.47,22.48,2019379
2007-03-29,EXPE,22.48,23.04,22.46,23.0,2367328
2007-03-30,EXPE,23.0,23.3,22.78,23.18,1897995
2007-04-02,EXPE,23.13,23.29,22.71,22.85,1857898
2007-04-03,EXPE,22.93,23.47,22.86,23.18,1625940
2007-04-04,EXPE,23.41,23.48,23.08,23.33,1799733
2007-04-05,EXPE,23.33,24.02,23.18,23.68,1884768
