Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,FICO,40.94,41.09,40.38,40.65,317600
2007-01-03,FICO,40.2,41.1,40.2,40.51,741500
2007-01-04,FICO,40.47,40.97,40.4,40.85,650700
2007-01-05,FICO,40.05,40.6,40.05,40.39,558800
2007-01-08,FICO,40.28,40.68,40.17,40.34,475000
2007-01-09,FICO,40.27,40.58,40.14,40.42,401100
2007-01-10,FICO,40.3,40.84,40.2,40.77,302500
2007-01-11,FICO,40.77,41.33,40.56,41.08,401100
2007-01-12,FICO,41.14,41.6,41.08,41.56,361600
2007-01-16,FICO,41.69,41.7,41.39,41.5,318000
2007-01-17,FICO,41.3,41.46,41.06,41.27,327200
2007-01-18,FICO,41.23,41.84,41.14,41.56,556300
2007-01-19,FICO,41.45,41.74,41.3,41.67,425700
2007-01-22,FICO,41.58,41.6,41.03,41.06,502100
2007-01-23,FICO,41.09,41.13,40.77,41.04,946200
2007-01-24,FICO,41.0,41.48,40.89,41.0,679100
2007-01-25,FICO,41.75,41.75,40.15,40.86,792700
2007-01-26,FICO,40.9,40.9,40.25,40.33,807400
2007-01-29,FICO,40.45,40.6,40.09,40.3,367700
2007-01-30,FICO,40.28,40.45,39.61,39.97,901400
2007-01-31,FICO,39.98,40.03,39.13,39.82,784500
2007-02-01,FICO,39.8,40.14,39.79,40.03,470800
2007-02-02,FICO,40.02,40.16,39.8,39.91,226800
2007-02-05,FICO,39.82,40.41,39.71,40.23,407100
2007-02-06,FICO,40.45,40.5,40.1,40.49,287800
2007-02-07,FICO,40.43,40.58,40.23,40.42,370100
2007-02-08,FICO,40.39,40.75,40.39,40.51,297400
2007-02-09,FICO,40.43,40.65,39.76,39.91,242000
2007-02-12,FICO,39.99,40.14,39.9,40.01,315300
2007-02-13,FICO,40.23,40.23,39.6,39.7,280234
2007-02-14,FICO,39.7,39.78,39.43,39.62,601882
2007-02-15,FICO,39.62,39.76,39.5,39.56,458900
2007-02-16,FICO,39.57,39.84,39.44,39.74,182700
2007-02-20,FICO,39.6,40.33,39.58,40.26,494700
2007-02-21,FICO,40.14,40.39,39.97,40.15,283500
2007-02-22,FICO,40.12,40.3,39.92,40.25,274000
2007-02-23,FICO,40.18,40.29,39.97,40.14,254900
2007-02-26,FICO,40.13,40.35,39.91,39.96,622000
2007-02-27,FICO,39.49,39.71,38.73,38.96,736100
2007-02-28,FICO,39.06,39.3,38.65,39.03,795800
2007-03-01,FICO,39.03,39.5,38.36,39.21,609331
2007-03-02,FICO,39.18,39.18,38.51,38.52,370900
2007-03-05,FICO,38.52,38.72,38.09,38.09,635500
2007-03-06,FICO,38.09,38.79,38.16,38.67,800300
2007-03-07,FICO,38.6,38.92,38.52,38.76,512500
2007-03-08,FICO,38.76,38.96,38.23,38.38,888500
2007-03-09,FICO,38.61,38.61,38.05,38.17,384800
2007-03-12,FICO,38.24,38.78,38.2,38.56,412600
2007-03-13,FICO,38.4,38.41,37.82,37.87,263100
2007-03-14,FICO,37.89,38.02,37.45,37.97,778400
2007-03-15,FICO,37.97,38.1,37.64,37.94,552500
2007-03-16,FICO,38.02,38.11,37.55,37.79,426800
2007-03-19,FICO,37.79,38.25,37.85,37.97,603700
2007-03-20,FICO,37.94,38.27,37.93,38.25,397900
2007-03-21,FICO,38.25,38.89,38.2,38.68,375200
2007-03-22,FICO,39.44,39.44,38.58,38.76,253200
2007-03-23,FICO,38.8,38.85,38.49,38.49,484700
2007-03-26,FICO,38.6,38.6,38.1,38.25,258300
2007-03-27,FICO,38.17,38.61,38.16,38.54,320300
2007-03-28,FICO,38.45,38.5,38.06,38.44,300100
2007-03-29,FICO,38.59,38.65,38.3,38.49,341800
2007-03-30,FICO,38.44,38.74,38.44,38.68,415900
2007-04-02,FICO,38.78,38.96,38.55,38.69,365900
2007-04-03,FICO,38.83,38.97,38.62,38.66,270900
2007-04-04,FICO,38.66,39.28,38.56,39.25,451800
2007-04-05,FICO,39.3,39.3,39.0,39.18,212600
2007-04-09,FICO,39.17,39.33,38.87,39.25,261900
2007-04-10,FICO,39.25,39.5,39.2,39.45,525500
2007-04-11,FICO,39.49,40.32,39.38,40.2,966002
2007-04-12,FICO,40.05,40.09,39.48,39.79,861400
2007-04-13,FICO,39.83,40.83,39.67,40.21,389400
2007-04-16,FICO,40.32,40.66,40.32,40.55,560800
2007-04-17,FICO,36.67,37.85,36.52,37.08,6121830
2007-04-18,FICO,37.08,37.6,36.7,36.98,1223440
2007-04-19,FICO,36.98,37.15,36.62,36.95,1502100
2007-04-20,FICO,36.95,37.13,36.53,36.97,1854800
2007-04-23,FICO,36.97,37.0,36.53,36.9,691250
2007-04-24,FICO,36.86,37.18,36.63,36.81,957149
2007-04-25,FICO,36.83,36.95,36.55,36.64,879200
2007-04-26,FICO,36.64,37.03,36.34,36.56,900181
2007-04-27,FICO,36.48,36.58,35.89,36.11,1057178
2007-04-30,FICO,36.11,36.2,35.68,35.71,967600
2007-05-01,FICO,35.71,36.03,35.7,35.99,816000
2007-05-02,FICO,35.95,36.15,35.68,35.71,958400
2007-05-03,FICO,35.71,36.2,35.6,36.2,1201000
2007-05-04,FICO,36.23,36.25,35.58,35.83,1237700
2007-05-07,FICO,35.81,36.13,35.77,36.01,791023
2007-05-08,FICO,35.95,36.54,35.73,36.36,939300
2007-05-09,FICO,36.16,36.31,35.89,35.9,1214626
2007-05-10,FICO,35.75,36.04,35.65,35.74,918700
2007-05-11,FICO,35.93,36.23,35.89,36.03,606500
2007-05-14,FICO,36.0,36.07,35.36,35.47,487400
2007-05-15,FICO,35.6,35.7,34.98,35.03,1112400
2007-05-16,FICO,35.07,35.41,35.04,35.39,1023000
2007-05-17,FICO,35.37,35.89,35.35,35.67,968300
2007-05-18,FICO,35.68,36.61,35.58,36.54,1239000
2007-05-21,FICO,36.54,36.7,36.08,36.56,899700
2007-05-22,FICO,36.63,37.09,36.56,37.0,606279
2007-05-23,FICO,36.92,37.16,36.8,36.87,465600
2007-05-24,FICO,36.87,37.28,36.74,36.8,621600
2007-05-25,FICO,36.94,37.18,36.86,37.12,382500
2007-05-29,FICO,37.14,37.38,36.97,37.05,418853
2007-05-30,FICO,37.05,37.66,36.94,37.34,892500
2007-05-31,FICO,37.41,38.08,37.33,37.85,729700
2007-06-01,FICO,37.85,37.9,37.55,37.76,453600
2007-06-04,FICO,37.52,38.03,37.46,38.03,858800
2007-06-05,FICO,38.03,38.13,37.68,38.04,431400
2007-06-06,FICO,38.04,38.1,37.64,37.69,1108301
2007-06-07,FICO,37.53,37.6,36.82,36.82,842500
2007-06-08,FICO,36.82,37.57,37.0,37.5,415300
2007-06-11,FICO,37.5,37.62,37.09,37.18,455849
2007-06-12,FICO,37.13,37.31,36.87,37.1,936700
2007-06-13,FICO,37.28,37.3,36.85,37.08,568200
2007-06-14,FICO,37.08,37.46,36.85,37.05,474700
2007-06-15,FICO,37.0,37.0,36.8,36.91,718100
2007-06-18,FICO,36.95,37.26,36.8,37.21,534900
2007-06-19,FICO,37.21,37.25,36.85,37.01,377300
2007-06-20,FICO,37.03,37.29,36.9,37.08,453100
2007-06-21,FICO,36.91,37.27,36.7,37.11,439600
2007-06-22,FICO,37.11,37.15,36.87,36.87,661300
2007-06-25,FICO,36.78,37.42,36.72,37.24,599600
2007-06-26,FICO,37.45,37.5,37.07,37.26,596600
2007-06-27,FICO,37.1,37.7,36.89,37.52,682100
2007-06-28,FICO,37.52,37.68,37.24,37.38,674400
2007-06-29,FICO,37.5,40.71,37.5,40.12,4229703
2007-07-02,FICO,40.05,40.57,40.01,40.53,1028500
2007-07-03,FICO,40.52,40.6,40.25,40.3,203300
2007-07-05,FICO,39.95,40.1,39.16,39.99,1116000
2007-07-06,FICO,39.99,40.27,39.68,40.23,324900
2007-07-09,FICO,40.2,40.2,39.7,40.02,206000
2007-07-10,FICO,39.8,39.85,39.18,39.22,372200
2007-07-11,FICO,39.29,39.47,39.17,39.4,273700
2007-07-12,FICO,39.5,39.82,39.16,39.46,430709
2007-07-13,FICO,39.4,39.53,39.13,39.47,280200
2007-07-16,FICO,39.4,39.5,39.11,39.25,464403
2007-07-17,FICO,39.4,39.63,39.21,39.34,1264700
2007-07-18,FICO,39.25,39.5,38.92,39.47,447700
2007-07-19,FICO,39.43,39.83,39.4,39.76,260100
2007-07-20,FICO,39.69,39.72,38.88,38.9,555100
2007-07-23,FICO,39.0,39.4,38.6,38.7,411100
2007-07-24,FICO,38.47,38.54,37.6,37.78,545600
2007-07-25,FICO,37.78,38.37,37.55,38.15,981400
2007-07-26,FICO,38.05,38.72,37.13,37.67,1739000
2007-07-27,FICO,37.67,38.83,37.48,38.47,1131400
2007-07-30,FICO,38.81,39.26,38.54,39.15,996200
2007-07-31,FICO,39.15,39.87,39.0,39.26,956700
2007-08-01,FICO,39.22,39.63,37.95,38.45,1465000
2007-08-02,FICO,38.57,39.23,38.41,39.04,854800
2007-08-03,FICO,38.94,38.96,37.97,38.05,611600
2007-08-06,FICO,38.05,38.2,37.34,37.8,922500
2007-08-07,FICO,37.48,37.91,37.23,37.51,879795
2007-08-08,FICO,37.41,37.84,36.17,36.74,1326900
2007-08-09,FICO,36.3,36.8,35.76,36.0,2005800
2007-08-10,FICO,35.62,36.68,35.55,36.52,1065345
2007-08-13,FICO,36.54,37.44,36.54,36.91,518700
2007-08-14,FICO,36.91,37.05,36.32,36.36,799100
2007-08-15,FICO,36.36,36.94,35.61,35.65,1122900
2007-08-16,FICO,35.52,36.69,35.33,36.34,1103400
2007-08-17,FICO,37.06,37.06,35.99,36.44,285500
2007-08-20,FICO,36.41,36.7,35.74,35.9,678000
2007-08-21,FICO,35.79,36.19,35.74,36.03,634100
2007-08-22,FICO,36.34,36.56,35.97,36.23,345500
2007-08-23,FICO,36.4,36.4,35.95,36.08,231500
2007-08-24,FICO,35.97,36.7,35.9,36.6,327500
2007-08-27,FICO,36.58,36.74,36.17,36.34,273000
2007-08-28,FICO,36.1,36.1,35.5,35.75,710400
