Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,FMC,77.19,77.35,76.02,76.55,168100
2007-01-03,FMC,76.82,77.4,75.75,76.47,322200
2007-01-04,FMC,76.35,76.35,74.58,75.48,218800
2007-01-05,FMC,75.41,75.41,73.36,74.12,309200
2007-01-08,FMC,74.12,74.12,73.3,73.57,272500
2007-01-09,FMC,73.7,74.02,73.08,73.93,169600
2007-01-10,FMC,73.73,74.39,72.87,74.2,229400
2007-01-11,FMC,74.33,75.89,74.31,75.81,149700
2007-01-12,FMC,75.81,77.6,75.81,77.6,236800
2007-01-16,FMC,77.6,77.9,76.29,76.45,196300
2007-01-17,FMC,76.41,77.0,76.15,76.64,176900
2007-01-18,FMC,76.3,76.92,75.91,76.71,201300
2007-01-19,FMC,76.71,77.49,76.45,77.13,215300
2007-01-22,FMC,77.26,77.32,75.55,75.96,156600
2007-01-23,FMC,75.97,77.89,75.95,77.51,266800
2007-01-24,FMC,77.57,78.58,77.11,78.48,149500
2007-01-25,FMC,78.23,78.24,76.78,77.23,246200
2007-01-26,FMC,77.46,77.46,76.01,76.73,169100
2007-01-29,FMC,76.73,77.72,76.51,77.22,195900
2007-01-30,FMC,77.47,78.04,77.27,77.96,306600
2007-01-31,FMC,77.72,78.1,77.43,77.85,305300
2007-02-01,FMC,78.17,79.47,78.0,79.31,155700
2007-02-02,FMC,78.6,78.6,76.66,77.15,400500
2007-02-05,FMC,77.15,78.8,76.4,78.42,512300
2007-02-06,FMC,78.29,79.24,78.05,79.01,445000
2007-02-07,FMC,76.5,76.5,73.97,76.03,1001500
2007-02-08,FMC,75.14,75.56,73.66,73.76,633700
2007-02-09,FMC,73.75,73.8,72.6,73.0,433100
2007-02-12,FMC,73.06,73.6,72.54,72.75,409897
2007-02-13,FMC,73.0,73.87,72.91,73.85,450651
2007-02-14,FMC,74.02,74.55,73.61,73.93,412992
2007-02-15,FMC,73.98,75.06,73.88,74.78,278800
2007-02-16,FMC,74.55,75.66,74.4,75.57,339000
2007-02-20,FMC,76.04,76.46,75.1,76.44,624100
2007-02-21,FMC,76.44,78.38,76.2,78.22,538700
2007-02-22,FMC,78.43,78.67,77.16,77.6,347100
2007-02-23,FMC,77.4,77.43,76.31,76.88,290900
2007-02-26,FMC,77.23,77.73,75.94,75.97,348700
2007-02-27,FMC,75.0,75.19,72.54,73.78,370900
2007-02-28,FMC,73.67,74.13,72.86,73.61,441000
2007-03-01,FMC,73.0,74.18,71.31,73.57,326661
2007-03-02,FMC,73.57,73.92,72.76,72.87,419300
2007-03-05,FMC,72.5,73.0,71.27,71.27,399100
2007-03-06,FMC,71.54,73.22,71.54,72.77,229000
2007-03-07,FMC,72.81,73.87,72.65,73.06,180600
2007-03-08,FMC,73.31,74.05,73.25,73.4,164200
2007-03-09,FMC,73.7,74.43,73.44,74.03,137100
2007-03-12,FMC,74.04,75.05,73.95,74.67,160000
2007-03-13,FMC,74.42,74.85,72.93,73.0,213000
2007-03-14,FMC,73.08,73.49,71.63,73.11,172300
2007-03-15,FMC,73.0,74.66,73.0,74.56,190600
2007-03-16,FMC,74.56,75.0,73.79,74.18,189600
2007-03-19,FMC,74.5,75.29,74.47,74.99,282700
2007-03-20,FMC,75.0,75.92,74.75,75.63,261100
2007-03-21,FMC,75.58,77.05,75.02,76.94,297300
2007-03-22,FMC,76.94,77.71,76.5,77.65,335100
2007-03-23,FMC,77.65,78.0,77.17,77.98,224200
2007-03-26,FMC,77.98,77.98,76.27,77.46,221300
2007-03-27,FMC,77.47,77.44,75.95,76.32,216700
2007-03-28,FMC,76.01,76.05,75.14,75.41,141000
2007-03-29,FMC,75.41,75.88,74.75,75.1,261100
2007-03-30,FMC,75.15,76.0,75.0,75.43,124300
2007-04-02,FMC,75.68,75.75,74.61,75.34,133100
2007-04-03,FMC,75.61,75.9,75.1,75.45,163300
2007-04-04,FMC,75.45,75.7,75.0,75.3,128000
2007-04-05,FMC,75.21,75.42,74.96,75.15,109700
2007-04-09,FMC,75.15,75.56,74.86,74.86,176300
2007-04-10,FMC,74.75,75.0,74.09,74.23,294400
2007-04-11,FMC,74.21,74.39,73.35,73.87,211900
2007-04-12,FMC,73.87,74.49,72.95,74.49,291400
2007-04-13,FMC,74.49,75.27,74.48,74.82,112900
2007-04-16,FMC,75.2,76.5,75.2,76.43,168700
2007-04-17,FMC,76.5,76.76,76.04,76.11,240700
2007-04-18,FMC,76.12,76.47,75.74,76.31,150900
2007-04-19,FMC,75.9,76.07,75.52,75.96,161200
2007-04-20,FMC,76.47,76.5,75.86,76.37,149900
2007-04-23,FMC,76.38,76.99,76.18,76.3,155500
2007-04-24,FMC,76.55,76.84,75.93,76.48,285800
2007-04-25,FMC,76.86,77.47,76.36,77.31,348600
2007-04-26,FMC,77.32,77.5,77.1,77.25,194500
2007-04-27,FMC,77.13,77.5,76.98,77.17,192100
2007-04-30,FMC,77.42,77.5,76.76,76.93,308400
2007-05-01,FMC,79.99,83.78,80.0,81.53,1366150
2007-05-02,FMC,81.93,83.67,81.59,82.79,612900
2007-05-03,FMC,82.78,83.22,82.67,83.01,275100
2007-05-04,FMC,83.0,83.46,82.81,83.08,252700
2007-05-07,FMC,82.75,83.85,82.75,83.66,400300
2007-05-08,FMC,83.2,84.15,82.93,84.07,329200
2007-05-09,FMC,83.9,84.9,83.69,84.83,250500
2007-05-10,FMC,84.7,85.38,84.03,85.13,491100
2007-05-11,FMC,85.13,86.24,84.52,84.95,231100
2007-05-14,FMC,84.7,85.36,83.59,83.89,360100
2007-05-15,FMC,83.74,84.59,83.25,83.39,305600
2007-05-16,FMC,83.59,84.33,83.52,84.33,223200
2007-05-17,FMC,84.2,85.39,83.54,84.62,246500
2007-05-18,FMC,84.77,85.5,84.37,85.04,191900
2007-05-21,FMC,85.0,86.18,85.0,85.89,216800
2007-05-22,FMC,85.89,86.04,84.92,85.01,167900
2007-05-23,FMC,84.92,85.25,84.36,84.45,140300
2007-05-24,FMC,84.0,84.66,82.71,82.86,455300
2007-05-25,FMC,83.1,84.12,82.83,83.81,202300
2007-05-29,FMC,84.6,84.94,83.78,84.3,213233
2007-05-30,FMC,83.5,84.4,82.82,84.4,290700
2007-05-31,FMC,84.65,84.93,83.4,83.66,261900
2007-06-01,FMC,83.66,85.02,83.8,84.96,280400
2007-06-04,FMC,84.91,86.0,84.76,86.0,204500
2007-06-05,FMC,85.5,86.96,84.77,86.56,682700
2007-06-06,FMC,86.5,86.5,84.5,84.74,321800
2007-06-07,FMC,84.6,84.85,83.49,83.5,296400
2007-06-08,FMC,83.49,85.0,82.95,84.93,288700
2007-06-11,FMC,85.98,86.0,84.75,85.04,276700
2007-06-12,FMC,85.01,85.12,83.49,83.53,275000
2007-06-13,FMC,83.78,85.74,83.47,85.52,248700
2007-06-14,FMC,85.77,87.0,85.59,85.95,325600
2007-06-15,FMC,86.9,87.52,86.15,86.15,245300
2007-06-18,FMC,86.28,87.16,85.76,87.07,243200
2007-06-19,FMC,86.9,87.25,86.17,86.85,238700
2007-06-20,FMC,86.95,87.57,86.02,86.15,241400
2007-06-21,FMC,86.03,86.68,85.02,86.09,239300
2007-06-22,FMC,85.84,85.85,84.99,85.01,343100
2007-06-25,FMC,85.5,88.99,85.5,88.5,533500
2007-06-26,FMC,88.51,89.93,88.23,88.87,498900
2007-06-27,FMC,88.67,88.64,87.13,88.46,246400
2007-06-28,FMC,88.55,89.06,88.17,88.26,178000
2007-06-29,FMC,88.26,89.75,88.26,89.39,246700
2007-07-02,FMC,89.39,90.2,89.48,90.03,298400
2007-07-03,FMC,90.03,90.41,89.58,89.9,127300
2007-07-05,FMC,89.9,90.78,89.9,90.42,131600
2007-07-06,FMC,90.42,90.86,89.53,90.8,254700
2007-07-09,FMC,90.81,91.17,90.55,91.09,197900
2007-07-10,FMC,90.6,90.79,90.21,90.29,247500
2007-07-11,FMC,90.28,90.74,89.7,90.51,141200
2007-07-12,FMC,90.7,91.69,90.61,91.69,146200
2007-07-13,FMC,90.76,92.0,91.45,91.84,218400
2007-07-16,FMC,91.84,91.99,91.23,91.89,151200
2007-07-17,FMC,92.27,93.66,91.8,93.42,289500
2007-07-18,FMC,93.14,93.5,92.07,93.46,204800
2007-07-19,FMC,93.98,94.5,93.5,94.33,254600
2007-07-20,FMC,94.18,94.18,91.95,92.5,277600
2007-07-23,FMC,92.55,93.14,91.96,91.98,196900
2007-07-24,FMC,91.63,93.35,91.03,91.25,238200
2007-07-25,FMC,92.0,92.38,88.98,91.12,335900
2007-07-26,FMC,88.15,89.28,86.0,88.5,652600
2007-07-27,FMC,88.75,90.0,87.64,87.71,551600
2007-07-30,FMC,87.94,89.69,87.76,89.1,482200
2007-07-31,FMC,89.95,90.84,89.13,89.13,435400
2007-08-01,FMC,89.05,89.94,87.9,89.58,341200
2007-08-02,FMC,90.0,90.87,89.58,90.64,336900
2007-08-03,FMC,90.83,90.83,89.01,89.21,265000
2007-08-06,FMC,89.3,90.15,87.96,90.11,318900
