Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2019-03-19,FOX,41.4,41.4,39.05,39.55,2540234
2019-03-20,FOX,39.85,39.85,37.46,37.6,5147908
2019-03-21,FOX,38.0,38.91,37.84,38.88,8865546
2019-03-22,FOX,38.76,38.84,36.55,37.46,4902540
2019-03-25,FOX,37.57,37.81,36.35,36.45,4035118
2019-03-26,FOX,36.46,37.35,36.46,36.71,3350854
2019-03-27,FOX,36.75,37.17,36.06,36.2,2871305
2019-03-28,FOX,36.14,36.47,35.55,35.67,2220583
2019-03-29,FOX,35.88,36.17,35.39,35.88,2679171
2019-04-01,FOX,36.17,36.34,35.94,36.15,4338366
2019-04-02,FOX,36.21,36.46,35.21,35.7,1491180
2019-04-03,FOX,35.78,35.89,35.3,35.5,2831551
2019-04-04,FOX,35.56,36.07,35.39,36.03,2223200
2019-04-05,FOX,35.99,37.09,35.94,36.98,2116209
2019-04-08,FOX,36.94,36.94,36.65,36.85,1928972
2019-04-09,FOX,36.81,37.07,36.59,36.89,1793850
2019-04-10,FOX,36.91,37.05,35.86,35.93,843636
2019-04-11,FOX,35.98,36.5,35.53,36.41,978211
2019-04-12,FOX,36.47,37.08,35.92,36.95,3175196
2019-04-15,FOX,36.91,36.99,36.47,36.98,891220
2019-04-16,FOX,37.11,37.28,36.93,37.21,1869325
2019-04-17,FOX,37.18,38.25,37.18,38.21,2122111
2019-04-18,FOX,38.34,38.37,37.92,37.92,2315174
2019-04-22,FOX,37.84,37.88,37.11,37.24,1665002
2019-04-23,FOX,37.22,37.82,37.07,37.6,5455096
2019-04-24,FOX,37.51,37.76,37.33,37.45,1230821
2019-04-25,FOX,37.48,37.68,37.04,37.64,1422924
2019-04-26,FOX,37.8,37.94,37.4,37.91,2505690
2019-04-29,FOX,37.74,38.91,37.69,38.73,1716829
2019-04-30,FOX,38.59,38.78,37.89,38.5,1809965
2019-05-01,FOX,38.66,38.8,38.09,38.74,1474972
2019-05-02,FOX,38.75,38.8,36.5,36.84,2627742
2019-05-03,FOX,36.86,37.26,36.64,37.02,1229683
2019-05-06,FOX,36.72,37.4,36.47,37.31,1534153
2019-05-07,FOX,36.97,37.22,36.58,36.7,1412324
2019-05-08,FOX,36.56,37.08,36.27,36.82,2108681
2019-05-09,FOX,38.08,38.63,36.95,37.97,3458170
2019-05-10,FOX,37.9,38.25,36.98,38.05,1633502
2019-05-13,FOX,37.48,38.15,37.22,37.5,1598369
2019-05-14,FOX,37.54,38.02,37.41,37.48,1663135
2019-05-15,FOX,37.24,37.48,37.13,37.23,873872
2019-05-16,FOX,37.28,37.6,36.28,36.32,2679971
