Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,GILD,65.23,65.84,64.75,64.93,1970742
2007-01-03,GILD,65.28,66.14,61.92,63.15,8375676
2007-01-04,GILD,63.15,64.63,62.47,64.19,4669294
2007-01-05,GILD,64.22,64.82,63.85,64.21,3534428
2007-01-08,GILD,63.98,64.34,63.51,64.23,3342422
2007-01-09,GILD,64.95,65.51,64.52,65.01,5165730
2007-01-10,GILD,64.62,64.97,64.05,64.69,3176737
2007-01-11,GILD,64.99,66.25,64.71,66.24,4425065
2007-01-12,GILD,65.8,66.49,65.79,66.16,3810655
2007-01-16,GILD,66.17,66.48,65.85,66.35,3572449
2007-01-17,GILD,66.24,66.59,65.65,66.39,4610792
2007-01-18,GILD,65.82,66.98,65.27,66.16,3658744
2007-01-19,GILD,65.88,66.71,65.38,65.58,3190257
2007-01-22,GILD,65.5,65.68,64.12,64.25,3796937
2007-01-23,GILD,64.38,64.64,63.45,63.84,3399959
2007-01-24,GILD,63.63,64.51,63.63,64.25,3116226
2007-01-25,GILD,64.11,64.25,63.19,63.41,4154493
2007-01-26,GILD,63.45,63.69,62.4,62.73,5762000
2007-01-29,GILD,62.49,63.96,62.43,63.19,3969988
2007-01-30,GILD,63.44,63.63,62.92,63.47,3189338
2007-01-31,GILD,64.1,65.32,63.11,64.32,6256350
2007-02-01,GILD,69.92,71.92,69.51,71.53,18623668
2007-02-02,GILD,71.53,71.9,70.24,70.67,7147008
2007-02-05,GILD,70.65,70.84,69.95,70.02,4707239
2007-02-06,GILD,69.99,70.45,69.67,70.33,4745835
2007-02-07,GILD,71.12,73.25,70.93,72.24,7829010
2007-02-08,GILD,72.18,72.53,71.58,72.16,3458745
2007-02-09,GILD,71.47,72.27,70.81,71.16,4846736
2007-02-12,GILD,71.05,71.46,70.24,70.81,2741441
2007-02-13,GILD,70.78,71.47,70.43,70.57,3814811
2007-02-14,GILD,70.94,71.74,70.51,71.72,4080573
2007-02-15,GILD,71.52,72.27,71.29,72.19,3653989
2007-02-16,GILD,72.17,72.5,71.58,72.06,3456311
2007-02-20,GILD,72.73,72.96,71.58,72.69,3567922
2007-02-21,GILD,73.0,74.36,72.84,74.23,5453065
2007-02-22,GILD,74.2,74.75,73.1,74.06,3455242
2007-02-23,GILD,74.2,74.46,72.9,73.63,2416294
2007-02-26,GILD,74.85,74.97,73.0,74.05,3217716
2007-02-27,GILD,73.4,73.4,70.0,70.58,7703799
2007-02-28,GILD,69.55,72.07,69.55,71.56,6961459
2007-03-01,GILD,70.49,71.59,69.1,70.59,7735603
2007-03-02,GILD,70.59,71.5,69.76,70.44,4605650
2007-03-05,GILD,69.4,71.41,69.33,69.99,4357129
2007-03-06,GILD,70.35,71.22,69.59,70.72,4499779
2007-03-07,GILD,70.35,70.69,69.96,70.07,3834364
2007-03-08,GILD,70.62,70.97,69.8,70.06,3149862
2007-03-09,GILD,70.77,70.95,69.75,70.26,2945119
2007-03-12,GILD,69.91,70.99,69.61,70.82,3099410
2007-03-13,GILD,70.12,70.77,68.83,68.84,4093478
2007-03-14,GILD,69.14,69.73,68.29,69.56,4376292
2007-03-15,GILD,69.66,70.23,69.36,70.12,3724962
2007-03-16,GILD,70.19,70.28,69.1,69.54,5669059
2007-03-19,GILD,69.75,71.27,69.47,70.77,3255608
2007-03-20,GILD,72.43,73.58,72.25,72.81,6895000
2007-03-21,GILD,72.85,74.41,72.06,74.41,6612479
2007-03-22,GILD,74.4,74.9,74.13,74.73,5339213
2007-03-23,GILD,74.73,75.49,74.37,74.58,5168956
2007-03-26,GILD,74.43,75.45,73.41,75.3,3800358
2007-03-27,GILD,75.01,75.3,74.51,75.0,2967052
2007-03-28,GILD,74.71,75.63,74.29,75.04,3622944
2007-03-29,GILD,75.04,76.29,75.32,76.25,4516737
2007-03-30,GILD,76.25,77.08,75.53,76.65,4068222
2007-04-02,GILD,76.76,77.09,75.74,76.51,2534607
2007-04-03,GILD,76.66,78.0,76.4,77.9,2819866
2007-04-04,GILD,78.05,78.25,77.4,77.94,3062458
2007-04-05,GILD,77.94,78.51,77.5,77.5,2609367
2007-04-09,GILD,78.0,78.2,77.3,77.6,3762059
2007-04-10,GILD,77.7,78.5,77.02,77.28,4219750
2007-04-11,GILD,77.24,77.54,75.85,76.7,4287016
2007-04-12,GILD,76.7,79.32,76.7,78.99,4943190
2007-04-13,GILD,79.4,79.35,77.84,78.42,3368591
2007-04-16,GILD,78.99,79.76,78.42,79.7,3892900
2007-04-17,GILD,79.7,79.96,79.11,79.36,3759558
2007-04-18,GILD,79.32,79.63,78.0,78.43,5536360
2007-04-19,GILD,79.1,82.63,78.67,81.71,9842407
2007-04-20,GILD,82.0,83.0,81.85,82.39,5368260
2007-04-23,GILD,82.71,84.13,82.51,83.19,6888306
2007-04-24,GILD,83.4,83.81,82.66,83.37,4662334
2007-04-25,GILD,83.38,84.27,82.41,84.22,5480720
2007-04-26,GILD,84.16,84.22,83.44,83.98,3549673
2007-04-27,GILD,83.98,84.05,81.41,81.86,6056110
2007-04-30,GILD,81.66,82.48,80.75,81.72,5451629
2007-05-01,GILD,81.89,82.65,81.58,82.58,4562889
2007-05-02,GILD,82.59,84.05,82.23,83.41,5788161
2007-05-03,GILD,83.72,83.94,82.88,83.21,2933709
2007-05-04,GILD,83.41,84.1,82.45,83.12,2613312
2007-05-07,GILD,83.16,83.91,82.82,82.96,1856332
2007-05-08,GILD,82.9,83.12,81.83,82.82,3468106
2007-05-09,GILD,83.21,84.16,82.79,83.07,3739958
2007-05-10,GILD,82.82,82.81,80.65,81.03,3609437
2007-05-11,GILD,81.2,82.74,81.08,82.14,3890344
2007-05-14,GILD,81.17,82.89,81.21,81.7,3208193
2007-05-15,GILD,81.84,83.18,81.55,81.84,4240899
2007-05-16,GILD,82.14,83.99,81.91,83.99,4546464
2007-05-17,GILD,83.97,84.45,82.83,82.93,3297488
2007-05-18,GILD,82.93,83.86,81.97,83.02,3307438
2007-05-21,GILD,82.88,83.34,82.27,82.7,2895697
2007-05-22,GILD,83.0,84.45,82.43,83.72,3025965
2007-05-23,GILD,83.72,84.47,82.51,82.57,4610835
2007-05-24,GILD,82.57,83.05,81.25,82.33,3997088
2007-05-25,GILD,82.42,82.78,81.61,81.74,2518626
2007-05-29,GILD,81.55,82.1,81.06,81.96,2214663
