Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2014-08-11,GOOG,569.99,570.49,566.0,567.88,1215968
2014-08-13,GOOG,567.31,575.0,565.75,574.78,1437922
2014-08-15,GOOG,577.86,579.38,570.52,573.48,1517056
2014-08-19,GOOG,585.0,587.34,584.0,586.86,979298
2014-08-21,GOOG,583.82,584.5,581.14,583.37,912854
2014-08-25,GOOG,584.72,585.0,579.0,580.2,1358810
2014-08-29,GOOG,571.33,572.04,567.07,571.6,1081231
2014-09-08,GOOG,586.6,591.77,586.3,589.72,1429101
2014-09-09,GOOG,588.9,589.0,580.0,581.01,1286722
2014-09-10,GOOG,581.5,583.5,576.94,583.1,975145
2014-09-15,GOOG,572.94,574.95,568.21,573.1,1596224
2014-09-16,GOOG,572.76,581.5,572.66,579.95,1478306
2014-09-23,GOOG,586.85,586.85,581.0,581.13,1467703
2014-09-24,GOOG,581.46,589.63,580.52,587.99,1724537
2014-09-26,GOOG,576.06,579.25,574.66,577.1,1439807
2014-10-03,GOOG,573.05,577.23,572.5,575.28,1138636
2014-10-06,GOOG,578.8,581.0,574.44,577.35,1211320
2014-10-07,GOOG,574.4,575.27,563.74,563.74,1906427
2014-10-10,GOOG,557.72,565.13,544.05,544.49,3078634
2014-10-16,GOOG,519.0,529.43,515.0,524.51,3698423
2014-10-29,GOOG,550.0,554.19,546.98,549.33,1767107
2015-10-05,GOOG,632.0,643.01,627.0,641.47,1803643
2015-10-06,GOOG,638.84,649.25,636.53,645.44,2236847
2015-10-07,GOOG,649.24,650.61,632.15,642.36,2092714
2015-10-08,GOOG,641.36,644.45,625.56,639.16,2182081
2015-10-09,GOOG,640.0,645.99,635.32,643.61,1648736
2015-10-12,GOOG,642.09,648.5,639.01,646.67,1276134
2015-10-13,GOOG,643.15,657.81,643.15,652.3,1807685
2015-10-14,GOOG,653.21,659.39,648.85,651.16,1415468
2015-10-15,GOOG,654.66,663.13,654.46,661.74,1885737
2015-10-16,GOOG,664.11,664.97,657.2,662.2,1611128
2015-10-19,GOOG,661.18,666.82,659.58,666.1,1477340
2015-10-20,GOOG,664.04,664.72,644.2,650.28,2498215
2015-10-21,GOOG,654.15,655.87,641.73,642.61,1794172
2015-10-22,GOOG,646.7,657.8,644.01,651.79,4070954
2015-10-23,GOOG,727.5,730.0,701.5,702.0,6653923
2015-10-26,GOOG,701.55,719.15,701.26,712.78,2716615
2015-10-27,GOOG,707.38,713.62,704.55,708.49,2245796
2015-10-28,GOOG,707.33,712.98,703.08,712.95,2178917
2015-10-29,GOOG,710.5,718.26,710.01,716.92,1455965
2015-10-30,GOOG,715.73,718.0,710.05,710.81,1908774
2015-11-02,GOOG,711.06,721.62,705.85,721.11,1886250
2015-11-03,GOOG,718.86,724.65,714.72,722.16,1565379
2015-11-04,GOOG,722.0,733.1,721.9,728.11,1706700
2015-11-05,GOOG,729.47,739.48,729.47,731.25,1861550
2015-11-06,GOOG,731.5,735.41,727.01,733.76,1511599
2015-11-09,GOOG,730.2,734.71,719.43,724.89,2069807
2015-11-10,GOOG,724.4,730.59,718.5,728.32,1607994
2015-11-11,GOOG,732.46,741.0,730.23,735.4,1366995
2015-11-12,GOOG,731.0,737.8,728.64,731.23,1837154
2015-11-13,GOOG,729.17,731.15,716.73,717.0,2075504
2015-11-16,GOOG,715.6,729.49,711.33,728.96,1905893
2015-11-17,GOOG,729.29,731.85,723.03,725.3,1510903
2015-11-18,GOOG,727.58,741.41,727.0,740.0,1684259
2015-11-19,GOOG,738.74,742.0,737.43,738.41,1327879
2015-11-20,GOOG,746.53,757.92,743.0,756.6,2213284
2015-11-23,GOOG,757.45,762.71,751.82,755.98,1415385
2015-11-24,GOOG,752.0,755.28,737.63,748.28,2334197
2015-11-25,GOOG,748.14,752.0,746.06,748.15,1122224
2015-11-27,GOOG,748.46,753.41,747.49,750.26,838528
2015-11-30,GOOG,748.81,754.93,741.27,742.6,2097624
2015-12-01,GOOG,747.11,768.95,746.7,767.04,2134621
2015-12-02,GOOG,768.9,775.96,758.96,762.38,2230373
2015-12-03,GOOG,766.01,769.0,745.63,752.54,2590641
2015-12-04,GOOG,753.1,768.49,750.0,766.81,2757283
2015-12-07,GOOG,767.77,768.73,755.09,763.25,1812314
2015-12-08,GOOG,757.89,764.8,754.2,762.37,1829475
2015-12-09,GOOG,759.17,764.23,737.0,751.61,2699990
2015-12-10,GOOG,752.85,755.85,743.83,749.46,1988380
2015-12-11,GOOG,741.16,745.71,736.75,738.87,2224410
2015-12-14,GOOG,741.79,748.73,724.17,747.77,2421236
2015-12-15,GOOG,753.0,758.08,743.01,743.4,2666229
2015-12-16,GOOG,750.0,760.59,739.43,758.09,1993251
2015-12-17,GOOG,762.42,762.68,749.0,749.43,1553418
2015-12-18,GOOG,746.51,754.13,738.15,739.31,3148743
