Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,J,82.15,82.52,81.37,81.54,157400
2007-01-03,J,82.3,82.5,80.19,80.5,566900
2007-01-04,J,80.5,80.5,78.74,79.06,479200
2007-01-05,J,78.1,78.6,77.83,77.84,456400
2007-01-08,J,77.84,78.07,77.2,77.53,602900
2007-01-09,J,77.6,77.92,76.52,77.24,740500
2007-01-10,J,76.8,79.34,76.5,78.85,495200
2007-01-11,J,79.42,80.5,79.2,79.95,294100
2007-01-12,J,80.08,81.52,80.08,80.84,271600
2007-01-16,J,80.85,81.3499,80.43,80.54,275200
2007-01-17,J,80.5,81.65,80.29,81.41,295600
2007-01-18,J,80.56,81.39,80.0,80.18,272600
2007-01-19,J,80.15,81.82,79.58,81.4,333300
2007-01-22,J,81.6,81.66,80.2,80.46,349900
2007-01-23,J,83.6,88.46,83.5,87.85,1659500
2007-01-24,J,88.89,89.61,87.46,88.64,598000
2007-01-25,J,88.64,88.67,87.2,87.76,733500
2007-01-26,J,87.9,88.98,87.71,88.24,519300
2007-01-29,J,90.75,92.06,90.1,90.25,748000
2007-01-30,J,90.5,90.5,89.55,90.07,433700
2007-01-31,J,89.2,90.75,89.2,90.55,456600
2007-02-01,J,91.0,93.7,91.0,93.24,640700
2007-02-02,J,93.49,94.66,93.12,93.4,411200
2007-02-05,J,93.3,93.88,92.7,93.0,284200
2007-02-06,J,93.0,94.1,91.85,93.85,661600
2007-02-07,J,93.73,93.73,91.67,91.88,609900
2007-02-08,J,91.88,92.23,91.15,92.01,333300
2007-02-09,J,91.81,91.99,90.1,90.3,389100
2007-02-12,J,90.37,91.22,89.56,90.64,434336
2007-02-13,J,90.8,92.0,90.21,91.71,303900
2007-02-14,J,91.96,93.11,91.7,92.48,320930
2007-02-15,J,92.73,93.35,92.31,92.99,443600
2007-02-16,J,92.69,92.95,92.0,92.76,229700
2007-02-20,J,92.51,93.85,92.0,93.48,358600
2007-02-21,J,92.6,94.361,92.3,94.18,370700
2007-02-22,J,94.26,94.26,92.81,93.72,352400
2007-02-23,J,93.8,93.8,92.86,93.12,300400
2007-02-26,J,93.49,93.49,91.86,92.69,447000
2007-02-27,J,91.1,91.7,90.11,90.24,410200
2007-02-28,J,90.12,91.16,89.28,90.29,619900
2007-03-01,J,89.5,92.0,88.29,91.81,572662
2007-03-02,J,91.61,91.61,88.75,88.8,509400
2007-03-05,J,88.25,89.43,87.5,87.51,407000
2007-03-06,J,87.91,88.53,87.53,87.97,437900
2007-03-07,J,87.98,90.1,87.56,89.47,473900
2007-03-08,J,90.31,91.5,90.03,90.83,364800
2007-03-09,J,91.4,91.79,89.88,90.84,321100
2007-03-12,J,90.85,92.74,89.79,90.55,259900
2007-03-13,J,89.8,90.74,88.04,88.12,331700
2007-03-14,J,86.42,88.55,86.42,88.22,558400
2007-03-15,J,88.18,89.69,88.16,89.34,392900
2007-03-16,J,44.77,44.84,44.11,44.32,609300
2007-03-19,J,44.5,44.99,44.44,44.94,644100
2007-03-20,J,44.95,45.43,44.28,45.4,771700
2007-03-21,J,45.51,46.77,45.26,46.57,800800
2007-03-22,J,46.58,47.55,46.06,47.28,1187200
2007-03-23,J,47.47,47.83,47.01,47.35,821000
2007-03-26,J,47.35,47.55,46.51,47.11,706800
2007-03-27,J,47.11,47.11,46.37,46.93,624800
2007-03-28,J,46.94,46.94,46.12,46.67,444000
2007-03-29,J,47.06,47.2,46.33,46.72,543400
2007-03-30,J,46.72,47.0,46.19,46.65,476600
2007-04-02,J,46.86,47.1512,46.54,46.71,331000
2007-04-03,J,46.83,47.71,46.5,47.51,846400
2007-04-04,J,47.52,47.98,47.31,47.67,640700
2007-04-05,J,47.74,47.84,47.11,47.66,361400
2007-04-09,J,47.67,48.51,47.6,48.28,657100
2007-04-10,J,48.2,49.15,47.95,49.09,676300
2007-04-11,J,49.09,50.38,48.73,49.23,1132039
2007-04-12,J,49.24,49.8,48.74,49.6,626100
2007-04-13,J,49.61,49.73,49.08,49.46,686700
2007-04-16,J,49.8,49.98,49.51,49.87,689300
2007-04-17,J,50.0,50.34,49.86,50.07,707600
2007-04-18,J,49.98,50.46,49.27,50.3,611500
2007-04-19,J,51.99,51.99,49.6475,50.24,628800
2007-04-20,J,50.61,50.86,49.88,50.44,607300
2007-04-23,J,50.5,51.26,50.14,51.2,688800
2007-04-24,J,51.2,52.0,50.19,50.93,1062700
2007-04-25,J,51.35,52.41,51.08,52.06,988760
2007-04-26,J,52.04,52.421,51.54,52.13,579400
2007-04-27,J,51.91,51.92,51.03,51.49,520300
2007-04-30,J,51.43,51.61,50.42,50.43,596100
2007-05-01,J,50.44,50.71,49.58,50.43,533400
2007-05-02,J,50.96,52.06,50.94,51.68,619900
2007-05-03,J,51.6,52.4,51.6,52.26,681000
2007-05-04,J,52.36,52.5,51.87,52.37,540600
2007-05-07,J,52.52,53.56,52.51,53.38,872000
