Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,KO,48.43,48.65,48.19,48.25,6169800
2007-01-03,KO,48.36,48.88,48.28,48.58,7877300
2007-01-04,KO,48.42,48.7,48.25,48.6,5908400
2007-01-05,KO,48.5,48.57,48.17,48.26,5803900
2007-01-08,KO,48.01,48.67,48.01,48.57,8791500
2007-01-09,KO,48.54,48.83,48.46,48.61,6862200
2007-01-10,KO,48.49,48.79,48.37,48.68,4464000
2007-01-11,KO,48.75,48.87,48.6,48.74,5505100
2007-01-12,KO,48.6,48.67,48.25,48.55,6833700
2007-01-16,KO,48.48,48.69,48.34,48.5,6342600
2007-01-17,KO,48.53,48.86,48.48,48.6,7200100
2007-01-18,KO,48.47,49.0,48.2,48.35,7611600
2007-01-19,KO,48.41,48.43,48.07,48.26,6504100
2007-01-22,KO,48.11,48.35,47.99,48.03,6099400
2007-01-23,KO,48.15,48.23,47.94,48.12,6074500
2007-01-24,KO,48.19,48.2,47.94,48.13,4323000
2007-01-25,KO,48.07,48.22,47.9,47.94,5799100
2007-01-26,KO,48.0,48.1,47.8,47.83,7229500
2007-01-29,KO,47.76,47.92,47.56,47.71,5038900
2007-01-30,KO,47.83,47.95,47.64,47.81,4493000
2007-01-31,KO,47.8,47.97,47.49,47.88,5338300
2007-02-01,KO,47.99,48.27,47.85,48.1,5199300
2007-02-02,KO,48.1,48.41,48.04,48.24,5351800
2007-02-05,KO,48.11,48.24,47.84,47.9,4596400
2007-02-06,KO,48.0,48.16,47.86,48.05,5584400
2007-02-07,KO,48.03,48.13,47.86,48.03,4621200
2007-02-08,KO,47.95,48.05,47.65,47.86,4538300
2007-02-09,KO,47.72,47.99,47.64,47.76,4914200
2007-02-12,KO,47.85,48.37,47.8,47.92,6962734
2007-02-13,KO,48.1,48.42,48.09,48.21,9706359
2007-02-14,KO,48.5,48.55,47.73,47.88,16423437
2007-02-15,KO,47.99,48.1,47.58,47.85,9597500
2007-02-16,KO,48.0,48.1,47.76,47.87,8746500
2007-02-20,KO,47.52,47.88,47.5,47.78,8914400
2007-02-21,KO,47.55,47.78,47.52,47.57,8244800
2007-02-22,KO,47.69,47.74,47.22,47.3,8360500
2007-02-23,KO,47.67,47.93,47.18,47.26,13794800
2007-02-26,KO,47.7,47.9,47.58,47.72,9354769
2007-02-27,KO,47.47,47.84,45.56,46.39,15265100
2007-02-28,KO,46.75,46.9,46.32,46.68,13819100
2007-03-01,KO,46.42,46.93,46.27,46.52,13672087
2007-03-02,KO,46.45,46.93,45.81,45.89,17025900
2007-03-05,KO,45.89,46.71,45.77,46.29,14818400
2007-03-06,KO,46.29,47.06,46.55,46.93,12549000
2007-03-07,KO,46.93,47.0,46.66,46.75,13160900
2007-03-08,KO,46.9,47.36,46.89,47.15,8711200
2007-03-09,KO,47.23,47.67,47.15,47.57,13063600
2007-03-12,KO,47.57,47.99,47.47,47.95,13004500
2007-03-13,KO,47.95,47.87,46.96,47.06,16099000
2007-03-14,KO,47.95,47.34,46.59,47.04,16277400
2007-03-15,KO,46.95,47.13,46.68,47.08,9530000
2007-03-16,KO,47.08,47.31,46.82,47.21,14116927
2007-03-19,KO,47.21,47.5,47.04,47.33,7756741
2007-03-20,KO,47.42,47.75,47.24,47.62,7228000
2007-03-21,KO,47.62,48.35,47.37,48.26,12180463
2007-03-22,KO,48.26,48.44,47.91,48.25,8650100
2007-03-23,KO,48.25,48.27,47.97,48.05,8006024
2007-03-26,KO,47.95,48.19,47.68,48.15,7192600
2007-03-27,KO,48.15,48.17,47.85,48.02,6615300
2007-03-28,KO,47.79,48.3,47.59,47.91,11328900
2007-03-29,KO,47.61,48.4,46.85,48.11,9473872
2007-03-30,KO,48.26,48.5,47.6,48.0,8969800
2007-04-02,KO,48.2,48.66,48.05,48.52,11221700
2007-04-03,KO,48.52,49.15,48.53,48.99,9516600
2007-04-04,KO,49.46,49.64,48.94,49.46,11103142
2007-04-05,KO,49.46,49.77,49.3,49.52,8979600
2007-04-09,KO,49.6,49.95,49.43,49.63,7316400
2007-04-10,KO,49.63,50.31,49.65,50.08,13158668
2007-04-11,KO,50.08,50.2,49.6,49.64,12263432
2007-04-12,KO,49.65,49.95,48.65,49.67,7756175
2007-04-13,KO,50.29,50.29,49.49,49.88,6919402
2007-04-16,KO,50.01,50.44,49.93,50.27,10069309
2007-04-17,KO,50.75,52.18,50.76,51.57,25239960
2007-04-18,KO,51.59,51.74,51.35,51.66,11477749
2007-04-19,KO,51.36,51.9,51.31,51.75,9348219
