Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,MCD,44.17,44.68,44.1,44.33,3300500
2007-01-03,MCD,43.65,44.38,43.5,43.87,7579400
2007-01-04,MCD,43.75,43.86,42.87,43.54,9828000
2007-01-05,MCD,43.4,43.82,43.34,43.54,5701000
2007-01-08,MCD,43.5,43.85,43.25,43.71,4538500
2007-01-09,MCD,43.86,44.15,43.59,43.79,6832900
2007-01-10,MCD,43.78,44.29,43.46,44.26,6374800
2007-01-11,MCD,44.22,44.6,44.11,44.51,5626900
2007-01-12,MCD,44.67,44.68,44.09,44.22,7103000
2007-01-16,MCD,44.36,44.65,44.17,44.57,5377700
2007-01-17,MCD,44.57,45.06,44.39,44.86,9440200
2007-01-18,MCD,44.85,44.99,44.52,44.59,4690500
2007-01-19,MCD,44.67,44.9,44.3,44.81,5116900
2007-01-22,MCD,44.8,44.8,44.2,44.35,4918000
2007-01-23,MCD,44.55,45.0,44.4,44.85,6140200
2007-01-24,MCD,44.45,44.48,44.04,44.16,11019300
2007-01-25,MCD,43.98,44.14,42.86,43.0,10630400
2007-01-26,MCD,43.02,43.09,42.54,42.93,8542300
2007-01-29,MCD,42.78,43.65,42.75,43.23,8262100
2007-01-30,MCD,43.48,43.85,43.48,43.77,5818200
2007-01-31,MCD,43.77,44.44,43.65,44.35,7351500
2007-02-01,MCD,44.26,44.52,44.2,44.48,6086900
2007-02-02,MCD,44.48,44.74,44.42,44.54,4724100
2007-02-05,MCD,44.46,44.71,44.3,44.53,3520900
2007-02-06,MCD,44.7,44.86,44.43,44.77,4016600
2007-02-07,MCD,44.75,44.88,44.46,44.72,3362000
2007-02-08,MCD,44.73,44.84,44.14,44.35,6018400
2007-02-09,MCD,44.47,44.9,44.42,44.56,4946700
2007-02-12,MCD,44.5,44.9,44.4,44.73,5650094
2007-02-13,MCD,44.85,44.97,44.71,44.9,5113239
2007-02-14,MCD,44.95,45.05,44.71,45.02,5361004
2007-02-15,MCD,44.9,45.24,44.84,44.98,4127300
2007-02-16,MCD,45.0,45.38,44.86,45.32,6806900
2007-02-20,MCD,45.17,45.9,45.05,45.8,7022400
2007-02-21,MCD,45.74,46.12,45.74,45.97,5621200
2007-02-22,MCD,45.85,46.09,45.81,46.05,4804000
2007-02-23,MCD,46.05,46.21,45.83,46.01,3857400
2007-02-26,MCD,46.0,46.15,45.76,45.8,5905318
2007-02-27,MCD,45.54,45.75,44.0,44.46,9758900
2007-02-28,MCD,44.56,44.56,43.38,43.69,11719300
2007-03-01,MCD,43.49,44.44,42.94,44.1,10729819
2007-03-02,MCD,44.1,44.47,43.63,43.67,6448400
2007-03-05,MCD,43.46,43.73,42.85,42.91,6872900
2007-03-06,MCD,43.17,43.25,42.31,43.1,7306200
2007-03-07,MCD,42.92,43.26,42.65,43.1,5990100
2007-03-08,MCD,44.0,44.16,43.4,43.64,6853200
2007-03-09,MCD,43.8,44.49,43.78,44.15,6217700
2007-03-12,MCD,44.1,44.89,44.09,44.67,7331500
2007-03-13,MCD,44.62,44.63,43.43,43.48,8612900
2007-03-14,MCD,43.57,43.87,43.06,43.65,6574300
2007-03-15,MCD,43.5,43.75,43.4,43.47,5665500
2007-03-16,MCD,42.5,43.73,42.5,43.48,9813700
2007-03-19,MCD,43.65,44.24,43.65,43.87,4978400
2007-03-20,MCD,43.95,44.35,43.74,44.31,3929600
2007-03-21,MCD,44.27,44.7,43.82,44.61,4548900
2007-03-22,MCD,44.55,44.67,44.37,44.49,6411031
2007-03-23,MCD,44.49,45.14,44.34,45.05,6040874
2007-03-26,MCD,45.11,45.49,44.65,45.12,5300480
2007-03-27,MCD,44.87,45.19,44.82,45.04,4722700
2007-03-28,MCD,44.85,45.04,44.46,44.83,5982800
2007-03-29,MCD,45.29,45.3,44.66,44.87,5264746
2007-03-30,MCD,44.95,45.27,44.71,45.05,4770700
2007-04-02,MCD,45.05,45.14,44.26,44.82,4659500
2007-04-03,MCD,45.0,45.35,44.94,45.26,5775567
2007-04-04,MCD,45.04,45.49,45.04,45.23,3214696
2007-04-05,MCD,45.24,45.81,45.13,45.78,4870000
2007-04-09,MCD,45.78,46.63,45.81,46.49,7928168
2007-04-10,MCD,46.49,46.42,46.06,46.31,5558260
2007-04-11,MCD,46.31,46.74,46.24,46.44,8636327
2007-04-12,MCD,46.49,47.0,46.15,46.63,5691694
2007-04-13,MCD,47.28,47.92,46.87,47.64,9533752
2007-04-16,MCD,47.64,48.1,47.42,48.1,9647106
2007-04-17,MCD,48.05,49.13,48.05,49.01,14330021
2007-04-18,MCD,49.01,48.96,48.57,48.88,6733023
2007-04-19,MCD,49.0,49.0,48.32,48.78,6567297
2007-04-20,MCD,48.79,49.7,47.67,48.36,12584608
2007-04-23,MCD,48.5,48.8,48.23,48.64,6815061
2007-04-24,MCD,48.44,48.66,48.13,48.47,6641175
2007-04-25,MCD,48.71,48.95,48.32,48.63,6984795
2007-04-26,MCD,48.64,49.41,48.73,49.23,6849582
2007-04-27,MCD,49.23,49.1,48.7,48.95,4017978
2007-04-30,MCD,48.85,48.9,48.26,48.28,8215973
2007-05-01,MCD,48.28,49.2,48.21,49.14,6510340
2007-05-02,MCD,49.33,50.06,49.25,50.02,9455018
2007-05-03,MCD,50.02,50.02,49.58,49.91,7959440
2007-05-04,MCD,49.92,50.01,49.55,49.92,4896488
2007-05-07,MCD,49.92,50.0,49.42,49.5,9376339
2007-05-08,MCD,49.75,49.85,49.3,49.32,4710420
2007-05-09,MCD,49.39,49.95,49.25,49.84,6302649
2007-05-10,MCD,49.83,50.12,49.63,50.0,12965871
2007-05-11,MCD,49.8,50.76,49.58,50.65,10294750
2007-05-14,MCD,50.65,50.85,50.48,50.63,7409062
2007-05-15,MCD,50.64,51.88,50.63,51.27,9826300
2007-05-16,MCD,51.29,52.09,50.74,51.97,11053810
2007-05-17,MCD,51.6,52.27,51.51,52.26,13338404
2007-05-18,MCD,52.27,52.42,51.82,52.33,13455255
2007-05-21,MCD,52.34,52.33,51.99,52.27,11869830
2007-05-22,MCD,52.27,52.58,51.95,52.5,9919540
2007-05-23,MCD,52.35,52.5,51.35,51.57,7072870
2007-05-24,MCD,51.83,52.07,50.74,50.96,8137475
2007-05-25,MCD,51.0,51.29,50.73,50.9,4974500
2007-05-29,MCD,51.0,50.92,50.14,50.61,6444225
2007-05-30,MCD,50.61,50.52,49.79,50.23,8186934
2007-05-31,MCD,50.65,50.83,50.3,50.55,7921850
2007-06-01,MCD,50.55,51.23,50.55,50.95,3883234
2007-06-04,MCD,50.95,51.21,50.45,51.1,4972198
2007-06-05,MCD,51.1,51.2,50.43,50.85,6008750
2007-06-06,MCD,50.85,50.88,50.47,50.64,7471493
