Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,NDSN,50.49,50.8,49.77,49.83,127683
2007-01-03,NDSN,50.54,51.27,49.8,50.48,229925
2007-01-04,NDSN,50.7,50.84,49.61,50.66,284488
2007-01-05,NDSN,50.24,50.24,49.58,49.81,276256
2007-01-08,NDSN,50.1,50.1,48.85,49.46,208754
2007-01-09,NDSN,49.55,49.75,48.79,49.4,190891
2007-01-10,NDSN,49.33,49.88,48.9,49.69,181630
2007-01-11,NDSN,49.86,50.75,49.73,50.12,158822
2007-01-12,NDSN,50.0,50.81,50.0,50.81,101165
2007-01-16,NDSN,50.72,51.49,50.03,50.44,168109
2007-01-17,NDSN,50.22,51.23,50.22,51.0,169703
2007-01-18,NDSN,50.68,51.06,49.84,49.91,100246
2007-01-19,NDSN,49.71,51.49,49.7,51.47,157199
2007-01-22,NDSN,51.49,51.54,50.36,50.38,149897
2007-01-23,NDSN,50.33,51.78,50.22,51.5,115786
2007-01-24,NDSN,51.25,52.1,51.25,52.0,109657
2007-01-25,NDSN,51.85,51.99,50.03,50.14,137670
2007-01-26,NDSN,50.17,51.12,49.77,51.01,128168
2007-01-29,NDSN,51.09,51.2,49.9,50.48,138799
2007-01-30,NDSN,50.61,51.69,50.57,51.6,145134
2007-01-31,NDSN,51.36,51.95,50.9,51.72,165194
2007-02-01,NDSN,51.93,53.01,51.85,52.86,96669
2007-02-02,NDSN,52.79,53.37,52.75,53.17,70283
2007-02-05,NDSN,53.17,53.17,51.93,52.38,136462
2007-02-06,NDSN,52.59,53.54,52.29,53.19,127754
2007-02-07,NDSN,53.38,53.61,52.85,53.6,90049
2007-02-08,NDSN,53.44,54.16,53.44,54.14,120926
2007-02-09,NDSN,53.26,53.41,52.07,52.34,179651
2007-02-12,NDSN,52.2,55.0,52.2,53.21,252730
2007-02-13,NDSN,53.41,53.75,53.08,53.59,148200
2007-02-14,NDSN,53.54,55.06,53.54,54.89,221060
2007-02-15,NDSN,54.79,55.39,54.61,55.17,126603
2007-02-16,NDSN,55.17,55.89,54.63,55.73,226185
2007-02-20,NDSN,55.57,56.36,54.88,56.3,104706
2007-02-21,NDSN,56.11,57.65,56.05,57.14,146605
2007-02-22,NDSN,56.5,57.16,55.0,55.83,203497
