Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,NEM,45.47,45.5,44.92,45.15,2753800
2007-01-03,NEM,45.5,45.67,43.73,44.2,7630400
2007-01-04,NEM,43.97,44.42,43.54,44.0,6398200
2007-01-05,NEM,43.31,43.69,42.85,43.65,7844800
2007-01-08,NEM,43.4,43.45,42.46,42.84,7591200
2007-01-09,NEM,42.85,43.27,42.4,42.97,6948900
2007-01-10,NEM,42.97,42.98,41.91,42.37,7960200
2007-01-11,NEM,42.39,43.16,42.31,42.52,5681800
2007-01-12,NEM,42.6,43.4,42.54,43.21,5000800
2007-01-16,NEM,43.2,43.21,42.16,42.57,4950700
2007-01-17,NEM,42.72,43.35,42.54,42.78,5324300
2007-01-18,NEM,42.87,43.34,42.16,42.42,6492600
2007-01-19,NEM,42.42,43.3,42.35,43.24,6639700
2007-01-22,NEM,43.34,43.82,42.69,43.06,6585200
2007-01-23,NEM,43.65,44.25,43.65,44.04,7409500
2007-01-24,NEM,43.9,44.77,43.61,44.61,6135200
2007-01-25,NEM,44.84,45.03,43.9,44.22,7364200
2007-01-26,NEM,44.21,44.5,43.86,44.26,3569800
2007-01-29,NEM,44.25,44.75,43.82,43.88,5774600
2007-01-30,NEM,44.05,44.9,44.05,44.75,6007700
2007-01-31,NEM,44.5,45.5,44.45,45.1,5646700
2007-02-01,NEM,45.85,45.89,45.08,45.15,7261800
2007-02-02,NEM,45.15,45.15,44.47,44.89,5006600
2007-02-05,NEM,45.09,45.18,44.55,44.71,3574500
2007-02-06,NEM,45.13,45.18,44.6,44.88,3976100
2007-02-07,NEM,44.81,45.31,44.64,44.96,4209300
2007-02-08,NEM,45.12,45.96,44.72,45.81,7455900
2007-02-09,NEM,46.0,46.63,45.75,45.81,6924800
2007-02-12,NEM,45.78,46.05,45.09,45.34,4735305
2007-02-13,NEM,45.56,46.05,45.53,45.91,4275151
2007-02-14,NEM,46.2,46.56,45.78,46.3,7351355
2007-02-15,NEM,46.42,46.56,46.05,46.51,4203000
2007-02-16,NEM,46.42,46.42,46.01,46.26,4387000
2007-02-20,NEM,45.87,46.04,45.51,45.9,4907500
2007-02-21,NEM,45.94,47.47,45.5,46.98,7587200
2007-02-22,NEM,47.9,48.33,47.44,47.71,9992800
2007-02-23,NEM,47.77,48.12,46.58,46.81,8707300
2007-02-26,NEM,47.02,47.26,46.41,47.06,7436049
2007-02-27,NEM,45.96,46.2,43.79,44.3,12384000
2007-02-28,NEM,44.3,45.4,44.23,45.1,10368300
2007-03-01,NEM,45.07,45.09,44.0,44.53,11713767
2007-03-02,NEM,44.54,44.44,42.8,43.12,10651100
2007-03-05,NEM,42.89,43.23,42.1,42.48,9040900
2007-03-06,NEM,43.13,43.52,42.8,43.26,6040900
2007-03-07,NEM,43.26,43.53,42.69,42.73,5835500
2007-03-08,NEM,43.3,43.37,42.53,42.76,6807700
2007-03-09,NEM,43.0,43.14,42.15,42.29,6598100
2007-03-12,NEM,42.28,42.93,41.9,42.85,6367800
2007-03-13,NEM,42.54,42.94,41.32,41.42,8386300
2007-03-14,NEM,41.42,41.83,40.53,41.44,10787981
2007-03-15,NEM,41.51,42.5,41.5,42.14,8625600
2007-03-16,NEM,43.35,43.58,42.51,42.93,14139300
2007-03-19,NEM,42.93,43.46,42.76,43.24,6397100
2007-03-20,NEM,43.75,43.94,43.39,43.4,5852914
2007-03-21,NEM,43.68,44.24,43.02,44.14,8827000
2007-03-22,NEM,44.16,44.28,43.32,43.51,7547228
2007-03-23,NEM,43.51,43.86,43.15,43.54,6179875
2007-03-26,NEM,43.8,43.9,42.92,43.73,7180300
2007-03-27,NEM,43.34,43.36,42.51,42.75,7469000
2007-03-28,NEM,43.11,43.11,42.55,42.77,6665500
2007-03-29,NEM,42.46,42.94,42.19,42.49,6612600
2007-03-30,NEM,42.51,42.83,41.92,41.99,6543000
2007-04-02,NEM,41.92,42.58,41.51,42.33,5961306
2007-04-03,NEM,42.33,43.08,42.1,42.89,5809461
2007-04-04,NEM,43.33,43.8,43.02,43.45,6961400
2007-04-05,NEM,43.45,43.9,43.46,43.63,5013957
2007-04-09,NEM,43.56,43.9,43.4,43.57,4616694
2007-04-10,NEM,44.0,44.18,43.58,43.7,4204600
2007-04-11,NEM,44.0,44.17,43.0,43.31,5463956
2007-04-12,NEM,43.18,43.39,42.94,43.34,3704844
2007-04-13,NEM,43.85,44.77,43.52,44.61,8012417
2007-04-16,NEM,44.83,45.11,44.56,45.0,8199568
2007-04-17,NEM,45.0,45.25,44.71,44.91,6802379
2007-04-18,NEM,44.8,45.21,44.2,44.29,6391700
2007-04-19,NEM,44.0,44.0,43.01,43.66,7771312
2007-04-20,NEM,44.38,44.73,44.16,44.28,6495081
2007-04-23,NEM,44.28,44.18,43.67,43.9,3918952
2007-04-24,NEM,44.4,44.22,43.46,43.72,4146665
2007-04-25,NEM,44.0,44.43,43.75,44.23,4352534
2007-04-26,NEM,43.67,43.5,42.4,43.18,12110180
2007-04-27,NEM,42.95,43.06,42.14,42.55,7239599
2007-04-30,NEM,42.55,42.48,41.64,41.7,5182281
