Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,NOC,68.15,68.3,67.58,67.7,709200
2007-01-03,NOC,67.6,68.7,67.56,68.13,1233700
2007-01-04,NOC,67.88,68.17,66.88,66.95,1919500
2007-01-05,NOC,66.23,67.55,66.23,67.28,1487700
2007-01-08,NOC,67.03,67.81,66.8,67.67,1281700
2007-01-09,NOC,67.88,68.37,67.37,68.09,1178100
2007-01-10,NOC,68.24,68.71,67.84,68.66,1031200
2007-01-11,NOC,68.6,69.35,68.45,69.2,1019000
2007-01-12,NOC,68.92,69.74,68.79,69.58,1210000
2007-01-16,NOC,69.38,69.81,69.29,69.79,894300
2007-01-17,NOC,69.87,69.87,69.2,69.72,1159200
2007-01-18,NOC,69.95,70.25,69.66,69.92,1288400
2007-01-19,NOC,70.17,70.43,69.98,70.29,1503000
2007-01-22,NOC,69.65,70.22,69.05,70.08,2022500
2007-01-23,NOC,70.26,71.82,70.16,71.59,2122300
2007-01-24,NOC,71.45,71.92,71.11,71.8,1916100
2007-01-25,NOC,70.27,71.8,70.27,71.3,1204500
2007-01-26,NOC,71.31,71.43,70.35,70.49,1310500
2007-01-29,NOC,70.9,71.07,70.43,70.74,1538800
2007-01-30,NOC,70.94,71.25,70.67,70.97,1164400
2007-01-31,NOC,70.55,71.15,70.55,70.94,1070700
2007-02-01,NOC,70.9,71.32,70.83,71.3,1933000
2007-02-02,NOC,71.67,72.77,71.5,72.43,1844600
2007-02-05,NOC,71.97,73.04,71.7,73.0,1479000
2007-02-06,NOC,73.0,73.44,72.65,73.25,1444800
2007-02-07,NOC,73.37,73.81,73.26,73.63,1264700
2007-02-08,NOC,73.64,74.55,73.45,74.39,1945000
2007-02-09,NOC,74.2,74.44,73.67,74.0,1584700
2007-02-12,NOC,74.01,74.66,74.0,74.4,2134878
2007-02-13,NOC,74.41,74.99,74.36,74.6,1476137
2007-02-14,NOC,74.6,74.96,73.84,74.48,2381013
2007-02-15,NOC,74.54,75.0,74.35,74.96,2614500
2007-02-16,NOC,74.99,75.05,74.76,75.01,2418500
2007-02-20,NOC,75.14,75.49,74.91,75.45,1281400
2007-02-21,NOC,75.41,75.72,75.06,75.29,906700
2007-02-22,NOC,75.1,75.35,74.45,74.72,1033600
2007-02-23,NOC,74.25,74.65,73.81,74.42,1220000
2007-02-26,NOC,73.9,74.6,73.39,73.84,1514208
2007-02-27,NOC,73.15,73.64,71.55,71.91,2485100
2007-02-28,NOC,71.91,72.63,70.5,71.85,2063500
2007-03-01,NOC,71.05,72.51,70.5,72.23,2378571
2007-03-02,NOC,72.23,72.62,71.6,71.81,1541100
2007-03-05,NOC,71.81,72.33,71.31,71.63,2202500
2007-03-06,NOC,71.63,72.4,71.74,72.09,2511400
2007-03-07,NOC,72.27,72.43,71.92,72.11,1156300
2007-03-08,NOC,72.5,73.3,72.25,72.87,1848000
2007-03-09,NOC,73.2,73.5,72.83,73.05,1018700
2007-03-12,NOC,72.9,74.15,72.86,73.82,1294387
2007-03-13,NOC,73.79,73.79,72.4,72.74,2032524
2007-03-14,NOC,72.74,73.28,71.81,72.79,2080100
2007-03-15,NOC,72.81,73.25,72.62,73.07,1434800
2007-03-16,NOC,73.3,73.55,72.51,72.57,2620200
2007-03-19,NOC,72.8,74.0,72.8,73.93,1379500
2007-03-20,NOC,73.72,74.21,73.51,73.96,1336470
2007-03-21,NOC,73.96,75.02,73.93,75.01,1933670
2007-03-22,NOC,75.02,75.01,73.81,74.13,1612025
2007-03-23,NOC,74.13,75.82,74.25,75.72,2058200
2007-03-26,NOC,75.5,75.67,74.79,75.3,1515857
2007-03-27,NOC,74.95,75.08,74.63,74.84,1178300
2007-03-28,NOC,74.5,74.65,73.98,74.13,881700
2007-03-29,NOC,74.66,75.02,74.37,74.8,1407840
2007-03-30,NOC,75.05,75.35,74.1,74.22,1503900
2007-04-02,NOC,74.49,74.97,74.24,74.89,1654200
2007-04-03,NOC,75.33,75.94,75.13,75.69,1073100
2007-04-04,NOC,75.56,75.85,75.37,75.45,959600
2007-04-05,NOC,75.5,75.5,74.89,75.05,920800
2007-04-09,NOC,75.21,76.05,75.21,75.73,1096895
2007-04-10,NOC,75.78,75.96,75.51,75.6,813300
2007-04-11,NOC,75.32,75.42,73.79,73.98,1794520
2007-04-12,NOC,73.91,75.17,73.82,75.08,1159000
2007-04-13,NOC,75.0,75.05,74.47,74.75,854600
2007-04-16,NOC,74.82,75.18,74.28,74.45,1305200
2007-04-17,NOC,74.67,75.1,74.39,75.07,1088100
2007-04-18,NOC,74.85,75.88,74.7,75.78,1046560
2007-04-19,NOC,76.6,76.6,75.01,75.93,1276880
2007-04-20,NOC,76.39,76.73,76.08,76.1,1732396
2007-04-23,NOC,75.94,76.9,75.83,76.62,1226200
2007-04-24,NOC,76.62,76.05,74.04,74.17,2397900
2007-04-25,NOC,74.17,75.15,74.01,74.65,1917200
2007-04-26,NOC,74.65,74.8,73.69,73.69,1926800
2007-04-27,NOC,73.69,74.89,73.43,74.65,1442200
2007-04-30,NOC,74.65,74.94,73.61,73.64,2002009
2007-05-01,NOC,73.88,73.88,73.1,73.15,2344000
2007-05-02,NOC,73.15,73.42,72.53,72.68,3653150
2007-05-03,NOC,72.68,73.79,72.8,73.78,2918705
2007-05-04,NOC,73.88,74.9,73.61,73.82,1630200
2007-05-07,NOC,73.99,75.12,73.99,74.92,1377200
2007-05-08,NOC,74.8,75.05,74.36,74.89,902800
2007-05-09,NOC,74.9,75.73,74.34,75.48,1944900
2007-05-10,NOC,75.22,75.34,74.48,74.48,1846530
2007-05-11,NOC,74.86,74.94,74.46,74.87,1094300
2007-05-14,NOC,74.64,75.94,74.64,75.79,1642500
2007-05-15,NOC,75.79,76.4,75.69,75.87,1524300
2007-05-16,NOC,76.0,76.88,75.43,76.83,1310489
2007-05-17,NOC,76.83,77.24,76.67,76.75,1352682
2007-05-18,NOC,76.75,77.16,76.64,77.0,962500
2007-05-21,NOC,77.0,77.46,76.72,76.86,1419700
2007-05-22,NOC,76.65,76.67,75.73,75.83,1606000
2007-05-23,NOC,75.86,76.09,75.5,75.64,1122058
2007-05-24,NOC,75.34,75.68,75.01,75.07,1528934
2007-05-25,NOC,75.16,75.28,74.69,75.04,1439236
2007-05-29,NOC,74.8,75.29,74.64,75.21,1337620
2007-05-30,NOC,74.96,75.77,74.73,75.76,1126600
2007-05-31,NOC,75.85,76.08,75.56,75.61,1210000
2007-06-01,NOC,75.86,76.39,75.81,76.19,1326700
2007-06-04,NOC,76.1,76.84,76.0,76.63,1048389
2007-06-05,NOC,76.63,76.82,76.13,76.62,1318600
2007-06-06,NOC,76.63,76.87,76.1,76.29,1053132
2007-06-07,NOC,76.29,76.58,75.23,75.23,1205317
2007-06-08,NOC,75.23,76.05,74.71,76.05,988300
2007-06-11,NOC,76.05,76.26,75.71,75.93,821988
2007-06-12,NOC,75.49,76.15,75.49,75.55,1490600
2007-06-13,NOC,75.55,76.53,75.76,76.53,1423100
2007-06-14,NOC,76.59,77.3,76.58,77.15,911200
2007-06-15,NOC,77.44,77.69,77.36,77.4,1904500
2007-06-18,NOC,77.26,77.26,76.55,76.64,1812100
2007-06-19,NOC,76.69,77.55,76.68,77.04,925700
2007-06-20,NOC,77.04,77.45,76.95,77.11,1410400
2007-06-21,NOC,77.11,77.69,76.55,77.21,1044699
2007-06-22,NOC,76.96,76.96,76.2,76.66,1633000
2007-06-25,NOC,76.97,77.46,76.38,76.8,1321200
2007-06-26,NOC,77.0,77.0,75.9,76.51,1411595
2007-06-27,NOC,76.51,77.75,75.9,77.61,2345800
2007-06-28,NOC,77.61,77.88,77.38,77.58,1669700
2007-06-29,NOC,77.79,78.29,77.53,77.87,1832000
2007-07-02,NOC,78.25,78.69,78.06,78.46,1310400
2007-07-03,NOC,78.63,78.89,78.26,78.46,758100
2007-07-05,NOC,78.4,78.57,78.17,78.26,1807700
2007-07-06,NOC,78.3,78.65,78.21,78.44,1262473
2007-07-09,NOC,78.5,78.8,77.93,77.93,1064100
2007-07-10,NOC,77.52,77.61,75.93,76.02,1620800
2007-07-11,NOC,76.02,77.07,76.02,76.79,966500
2007-07-12,NOC,76.46,77.14,75.92,77.14,1294500
2007-07-13,NOC,76.9,77.0,76.45,76.5,1332184
2007-07-16,NOC,76.3,77.42,76.27,77.0,1154900
2007-07-17,NOC,76.99,78.01,76.79,77.71,1192300
2007-07-18,NOC,77.82,78.17,77.31,77.47,1821600
2007-07-19,NOC,77.75,78.53,77.65,78.13,1008800
2007-07-20,NOC,78.11,78.5,77.68,77.7,1803300
2007-07-23,NOC,77.99,79.26,77.98,79.08,1705900
2007-07-24,NOC,78.25,79.0,77.05,77.3,2249750
2007-07-25,NOC,78.11,79.61,77.88,78.9,2579400
2007-07-26,NOC,79.68,80.11,77.78,78.53,2812487
2007-07-27,NOC,78.53,78.68,77.2,77.2,2043052
2007-07-30,NOC,76.66,77.44,76.36,77.12,2032534
2007-07-31,NOC,77.98,78.35,76.1,76.1,2456612
2007-08-01,NOC,76.05,77.51,75.9,77.3,2102712
2007-08-02,NOC,77.28,79.39,76.89,79.23,2072700
2007-08-03,NOC,79.23,80.35,78.03,78.03,2179304
2007-08-06,NOC,78.03,79.74,78.03,79.41,2299022
2007-08-07,NOC,79.41,79.73,77.3,77.93,2377426
2007-08-08,NOC,77.93,77.81,76.59,77.45,2822494
2007-08-09,NOC,77.05,77.99,74.48,74.67,3034073
2007-08-10,NOC,74.5,77.95,73.84,77.68,3110893
2007-08-13,NOC,77.68,80.0,77.56,78.5,2613400
2007-08-14,NOC,78.8,78.97,76.84,77.5,1946900
2007-08-15,NOC,77.0,77.63,75.57,75.6,1775237
2007-08-16,NOC,75.4,76.31,73.88,75.53,2785700
2007-08-17,NOC,76.35,77.86,76.04,77.72,2618100
2007-08-20,NOC,77.7,78.4,76.87,77.27,1714400
2007-08-21,NOC,77.25,78.17,76.63,76.74,3116800
2007-08-22,NOC,77.54,78.25,76.87,77.16,1863000
