Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,NVDA,37.2,38.02,36.97,37.01,6438038
2007-01-03,NVDA,37.07,37.52,34.79,36.08,19268048
2007-01-04,NVDA,35.95,36.08,35.03,35.91,13324300
2007-01-05,NVDA,35.06,35.2,33.42,33.66,20728857
2007-01-08,NVDA,33.78,34.56,33.2,33.91,10955092
2007-01-09,NVDA,33.96,34.19,33.21,33.25,12738924
2007-01-10,NVDA,32.9,35.2,32.4,34.89,18482596
2007-01-11,NVDA,34.89,35.16,34.19,34.76,15409581
2007-01-12,NVDA,34.24,35.37,34.08,35.23,11638015
2007-01-16,NVDA,35.5,35.52,34.89,35.29,11870674
2007-01-17,NVDA,34.8,35.01,34.42,34.55,11810980
2007-01-18,NVDA,33.21,34.25,31.26,31.69,25030161
2007-01-19,NVDA,31.35,32.54,31.13,31.88,15710126
2007-01-22,NVDA,32.18,32.7,31.76,31.88,12179897
2007-01-23,NVDA,31.73,32.4,31.14,31.89,10510831
2007-01-24,NVDA,32.39,33.31,32.15,32.88,11429058
2007-01-25,NVDA,33.18,33.3,31.57,31.73,10280473
2007-01-26,NVDA,31.99,32.31,30.9,31.47,13827895
2007-01-29,NVDA,31.26,31.35,29.91,30.18,20972706
2007-01-30,NVDA,30.38,30.96,30.11,30.76,10615947
2007-01-31,NVDA,30.61,30.94,30.23,30.65,7799734
2007-02-01,NVDA,30.65,31.2,30.3,31.04,10852378
2007-02-02,NVDA,31.21,32.0,30.95,31.85,9776495
2007-02-05,NVDA,32.0,32.64,31.95,32.37,9666089
2007-02-06,NVDA,33.1,33.94,32.61,33.52,12926864
2007-02-07,NVDA,33.8,34.91,33.59,34.83,12686330
2007-02-08,NVDA,34.3,34.87,34.0,34.38,12105244
2007-02-09,NVDA,34.55,34.84,32.52,32.65,15636142
2007-02-12,NVDA,32.89,34.08,32.54,33.37,13157535
2007-02-13,NVDA,33.91,34.27,33.57,34.0,15048401
2007-02-14,NVDA,34.3,34.5,33.47,33.55,18036732
2007-02-15,NVDA,33.55,33.92,33.21,33.75,8146502
2007-02-16,NVDA,33.63,33.65,32.62,32.72,15252768
2007-02-20,NVDA,32.77,33.19,32.54,33.01,10431841
2007-02-21,NVDA,32.74,33.09,32.19,32.52,10922969
2007-02-22,NVDA,33.03,33.56,32.65,32.73,10928175
2007-02-23,NVDA,33.04,33.06,32.64,32.65,6611162
2007-02-26,NVDA,32.74,32.99,32.1,32.15,8241529
2007-02-27,NVDA,31.61,32.55,31.13,31.18,12012444
2007-02-28,NVDA,31.09,31.67,30.71,31.0,13009581
2007-03-01,NVDA,30.24,31.19,29.93,30.62,13954717
2007-03-02,NVDA,30.62,30.72,29.71,29.77,11380015
2007-03-05,NVDA,29.0,29.83,28.66,28.76,11065409
2007-03-06,NVDA,29.31,30.79,29.27,30.46,13434094
2007-03-07,NVDA,30.31,30.45,29.47,29.6,13532368
2007-03-08,NVDA,30.24,31.16,30.2,30.82,12844834
2007-03-09,NVDA,31.33,31.6,30.16,30.51,9257529
2007-03-12,NVDA,30.3,30.77,30.12,30.33,7135733
2007-03-13,NVDA,30.0,30.2,29.03,29.07,10280139
2007-03-14,NVDA,29.04,29.3,28.04,28.91,16193441
2007-03-15,NVDA,28.75,29.1,28.18,28.62,10931774
2007-03-16,NVDA,28.64,28.69,28.15,28.35,8761185
2007-03-19,NVDA,28.35,28.95,28.4,28.49,7695631
2007-03-20,NVDA,28.4,29.05,28.24,28.35,10945908
