Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,ODFL,24.26,24.56,24.04,24.07,329781
2007-01-03,ODFL,24.67,27.16,24.45,25.8,960814
2007-01-04,ODFL,25.82,26.92,25.52,26.87,759046
2007-01-05,ODFL,26.8,26.81,25.72,25.92,344895
2007-01-08,ODFL,25.87,26.23,25.54,25.93,195683
2007-01-09,ODFL,25.82,26.23,25.77,25.99,273979
2007-01-10,ODFL,25.89,26.36,25.78,26.19,394661
2007-01-11,ODFL,26.08,26.93,26.07,26.6,378441
2007-01-12,ODFL,26.58,27.34,26.58,27.31,405239
2007-01-16,ODFL,27.31,28.03,27.04,27.52,397720
2007-01-17,ODFL,27.35,27.63,26.89,27.06,418635
2007-01-18,ODFL,26.99,27.21,26.86,27.11,332229
2007-01-19,ODFL,27.0,27.23,26.82,26.95,165006
2007-01-22,ODFL,27.22,27.35,26.19,26.33,295625
2007-01-23,ODFL,26.19,26.6,25.89,26.45,286957
2007-01-24,ODFL,26.16,26.73,25.95,26.62,384278
2007-01-25,ODFL,26.7,26.73,26.27,26.32,435708
2007-01-26,ODFL,26.4,26.55,25.91,26.33,602107
2007-01-29,ODFL,26.22,26.85,26.22,26.82,234851
2007-01-30,ODFL,26.82,27.96,26.73,27.86,720708
2007-01-31,ODFL,27.93,28.25,27.58,27.78,432201
2007-02-01,ODFL,30.0,32.29,29.4,32.25,1718295
2007-02-02,ODFL,32.25,32.35,31.65,31.7,504661
2007-02-05,ODFL,31.57,31.57,31.01,31.14,460899
2007-02-06,ODFL,31.17,32.25,31.17,31.98,373847
2007-02-07,ODFL,31.9,32.3,31.9,32.13,222822
2007-02-08,ODFL,32.02,32.21,31.44,31.57,214775
2007-02-09,ODFL,31.57,31.85,31.07,31.31,238093
2007-02-12,ODFL,31.18,31.28,30.66,30.99,192348
2007-02-13,ODFL,30.91,31.58,30.9,31.54,206041
2007-02-14,ODFL,31.5,32.96,31.5,32.88,430721
2007-02-15,ODFL,32.77,32.99,32.42,32.9,312843
2007-02-16,ODFL,32.9,32.9,32.12,32.39,206157
2007-02-20,ODFL,32.28,33.22,32.02,33.05,200846
2007-02-21,ODFL,33.0,33.78,32.79,33.51,262245
2007-02-22,ODFL,33.6,33.69,32.92,33.11,287924
2007-02-23,ODFL,32.97,33.42,32.8,33.33,242730
2007-02-26,ODFL,33.33,33.37,32.25,32.41,314314
2007-02-27,ODFL,32.03,32.06,30.74,31.17,588007
2007-02-28,ODFL,31.06,31.52,30.4,31.11,403197
2007-03-01,ODFL,31.0,31.17,30.13,30.81,273369
2007-03-02,ODFL,30.6,30.8,30.05,30.06,459044
2007-03-05,ODFL,29.95,30.01,28.87,29.1,430915
2007-03-06,ODFL,29.46,29.46,28.83,29.06,420543
2007-03-07,ODFL,28.98,29.09,28.64,28.91,406129
2007-03-08,ODFL,29.2,29.62,29.03,29.23,260201
2007-03-09,ODFL,29.37,29.65,29.09,29.35,235982
