Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,O,27.87,27.98,27.65,27.7,389500
2007-01-03,O,27.66,28.1,27.41,27.72,540300
2007-01-04,O,27.72,27.95,27.3,27.93,457600
2007-01-05,O,27.93,27.93,27.09,27.09,591300
2007-01-08,O,27.07,27.15,26.78,27.02,456200
2007-01-09,O,26.98,27.33,26.78,27.3,366600
2007-01-10,O,27.15,27.48,27.0,27.42,377100
2007-01-11,O,27.48,27.95,27.4,27.72,324000
2007-01-12,O,27.76,27.81,27.64,27.75,250000
2007-01-16,O,27.95,28.08,27.76,28.04,449100
2007-01-17,O,28.04,28.19,27.8,27.94,319400
2007-01-18,O,27.67,28.0,27.58,27.85,432000
2007-01-19,O,27.85,28.18,27.5,28.18,333700
2007-01-22,O,28.12,28.12,27.75,27.79,373200
2007-01-23,O,27.7,28.1,27.64,27.96,293300
2007-01-24,O,28.02,28.48,28.0,28.45,339800
2007-01-25,O,28.54,28.66,28.22,28.46,531400
2007-01-26,O,28.46,28.48,28.15,28.46,309500
2007-01-29,O,28.33,28.8,28.33,28.65,337000
2007-01-30,O,28.6,28.67,28.24,28.67,257900
2007-01-31,O,28.71,29.05,28.42,28.78,411500
2007-02-01,O,28.81,29.0,28.56,29.0,311400
2007-02-02,O,28.93,29.0,28.77,29.0,327800
2007-02-05,O,28.87,29.15,28.8,29.11,378400
2007-02-06,O,29.14,29.53,29.05,29.5,366400
2007-02-07,O,29.5,30.19,29.38,30.19,495500
2007-02-08,O,30.17,30.36,29.7,29.79,621300
2007-02-09,O,29.76,29.9,28.37,29.1,1055000
2007-02-12,O,29.1,29.11,28.16,28.66,681336
2007-02-13,O,28.63,29.09,28.25,29.09,568640
2007-02-14,O,29.07,29.4,28.6,28.74,536086
2007-02-15,O,28.8,29.3,28.6,29.11,443500
2007-02-16,O,29.13,29.34,28.67,29.1,565600
2007-02-20,O,28.98,29.69,28.51,29.58,594700
2007-02-21,O,29.4,29.55,29.21,29.47,414200
2007-02-22,O,29.45,29.45,28.96,29.19,569700
2007-02-23,O,29.2,29.21,28.83,28.87,403600
2007-02-26,O,29.09,29.09,28.0,28.67,634358
2007-02-27,O,28.22,28.34,27.22,27.46,905100
2007-02-28,O,27.47,27.89,27.25,27.51,774400
2007-03-01,O,27.49,27.88,26.0,27.56,772500
2007-03-02,O,27.39,27.47,26.77,27.19,911900
2007-03-05,O,26.88,26.97,26.07,26.07,977300
2007-03-06,O,26.21,27.22,26.15,27.06,847600
2007-03-07,O,27.01,27.19,26.71,26.72,759800
2007-03-08,O,27.03,27.42,26.94,27.22,741900
2007-03-09,O,27.49,27.61,27.15,27.57,593200
2007-03-12,O,27.39,27.79,27.22,27.77,382700
2007-03-13,O,27.52,27.64,27.3,27.33,948600
2007-03-14,O,27.3,27.68,27.01,27.66,811300
2007-03-15,O,27.7,28.03,27.47,28.02,496600
2007-03-16,O,28.03,28.02,27.42,27.56,885900
