Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,PCG,47.51,47.52,47.18,47.33,762900
2007-01-03,PCG,47.3,47.95,47.16,47.27,1662400
2007-01-04,PCG,47.19,47.19,46.57,46.62,1763800
2007-01-05,PCG,46.48,46.53,45.45,45.49,3232100
2007-01-08,PCG,45.6,46.16,45.55,45.93,1728300
2007-01-09,PCG,46.1,46.33,45.34,46.15,1850900
2007-01-10,PCG,45.95,46.91,45.92,46.77,3009200
2007-01-11,PCG,46.72,47.12,46.7,46.9,1687300
2007-01-12,PCG,46.85,46.89,46.03,46.18,1204300
2007-01-16,PCG,46.3,46.53,46.14,46.17,1105600
2007-01-17,PCG,46.19,46.4,46.0,46.26,750200
2007-01-18,PCG,46.36,46.64,46.17,46.17,699400
2007-01-19,PCG,46.3,46.37,45.95,46.04,966900
2007-01-22,PCG,46.04,46.26,45.74,45.8,1559200
2007-01-23,PCG,45.86,46.22,45.76,46.17,1201800
2007-01-24,PCG,46.14,46.74,46.09,46.68,1127300
2007-01-25,PCG,46.63,46.69,45.8,45.85,1212000
2007-01-26,PCG,45.81,46.11,45.49,46.03,1303500
2007-01-29,PCG,46.22,46.42,46.07,46.27,813400
2007-01-30,PCG,46.26,46.4,46.15,46.31,861200
2007-01-31,PCG,46.31,46.79,46.03,46.68,1029100
2007-02-01,PCG,46.63,46.99,46.56,46.98,1460900
2007-02-02,PCG,46.98,47.11,46.87,47.04,696300
2007-02-05,PCG,47.01,47.93,46.85,47.69,1398100
2007-02-06,PCG,47.8,47.8,47.5,47.62,948800
2007-02-07,PCG,47.61,47.95,47.45,47.68,670600
2007-02-08,PCG,47.8,48.55,47.74,48.17,1325200
2007-02-09,PCG,48.2,48.27,47.57,47.7,1035700
2007-02-12,PCG,47.79,48.37,47.65,47.84,1083683
2007-02-13,PCG,48.04,48.42,47.95,48.41,823217
2007-02-14,PCG,48.41,48.79,48.26,48.3,1479763
2007-02-15,PCG,48.23,48.55,48.0,48.43,946200
2007-02-16,PCG,48.25,48.55,48.03,48.23,1082400
2007-02-20,PCG,48.13,48.29,47.91,48.0,1582500
2007-02-21,PCG,47.85,48.01,47.58,47.91,1121800
2007-02-22,PCG,48.0,48.25,47.52,47.85,1277000
2007-02-23,PCG,47.9,48.18,47.6,47.77,1329300
2007-02-26,PCG,48.35,49.32,47.88,47.97,2846702
2007-02-27,PCG,47.82,47.82,46.0,46.42,2270500
2007-02-28,PCG,45.5,46.97,45.5,46.43,2946300
2007-03-01,PCG,46.42,46.79,46.0,46.65,2132589
2007-03-02,PCG,46.55,46.55,45.63,45.66,1435800
2007-03-05,PCG,45.51,45.75,45.24,45.25,1858500
2007-03-06,PCG,45.4,45.75,45.1,45.71,2583100
2007-03-07,PCG,45.71,46.7,45.56,46.48,2409300
