Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,PPG,64.74,64.8,64.14,64.21,345400
2007-01-03,PPG,64.2,65.06,64.05,64.54,801100
2007-01-04,PPG,64.65,64.71,64.01,64.52,725800
2007-01-05,PPG,64.24,64.78,64.03,64.73,935100
2007-01-08,PPG,64.65,64.65,64.11,64.3,760100
2007-01-09,PPG,64.78,65.48,64.45,65.2,1109100
2007-01-10,PPG,65.21,65.43,64.62,65.29,586700
2007-01-11,PPG,65.29,66.57,65.29,66.43,920000
2007-01-12,PPG,66.25,67.33,66.2,67.07,761100
2007-01-16,PPG,67.07,67.56,67.07,67.29,572700
2007-01-17,PPG,67.3,67.88,66.87,67.83,814800
2007-01-18,PPG,66.77,67.69,65.8,66.01,1887300
2007-01-19,PPG,66.51,66.7,65.59,66.15,1398700
2007-01-22,PPG,65.89,66.08,65.24,65.47,668400
2007-01-23,PPG,65.48,66.1,65.35,66.04,659900
2007-01-24,PPG,66.03,66.49,65.76,66.24,797700
2007-01-25,PPG,66.45,66.48,65.51,65.7,728000
2007-01-26,PPG,65.47,65.48,64.55,65.13,960800
2007-01-29,PPG,65.21,65.7,64.97,65.37,593900
2007-01-30,PPG,65.62,65.67,65.03,65.67,499600
2007-01-31,PPG,65.67,66.51,65.67,66.29,901300
2007-02-01,PPG,66.22,68.18,66.21,67.82,1658000
2007-02-02,PPG,67.85,68.03,67.21,67.71,808200
2007-02-05,PPG,67.38,67.5,66.79,67.07,595400
2007-02-06,PPG,67.07,68.02,67.07,67.92,818000
2007-02-07,PPG,68.0,68.46,68.0,68.34,784100
2007-02-08,PPG,68.07,68.31,67.56,67.6,531600
2007-02-09,PPG,67.85,68.42,67.82,67.9,739300
2007-02-12,PPG,67.99,68.81,67.9,67.95,814902
2007-02-13,PPG,68.37,69.09,68.3,68.81,850173
2007-02-14,PPG,68.46,68.8,68.07,68.61,626968
2007-02-15,PPG,68.4,68.8,68.4,68.68,436200
2007-02-16,PPG,68.79,69.0,68.08,68.21,818200
2007-02-20,PPG,67.67,68.45,66.96,68.2,846900
2007-02-21,PPG,68.08,68.35,67.69,68.27,699300
2007-02-22,PPG,68.5,68.53,67.33,67.44,688400
2007-02-23,PPG,67.44,67.85,66.91,67.74,787600
2007-02-26,PPG,68.2,68.46,67.66,68.0,892056
2007-02-27,PPG,67.57,67.57,64.84,66.09,1440400
2007-02-28,PPG,66.09,67.13,66.0,66.25,1228500
2007-03-01,PPG,65.69,66.46,64.7,65.99,867131
2007-03-02,PPG,65.99,66.1,65.2,65.49,1309600
2007-03-05,PPG,65.49,65.95,64.88,65.09,895100
2007-03-06,PPG,65.43,66.23,65.26,65.9,857070
2007-03-07,PPG,65.64,66.0,65.35,65.52,582700
2007-03-08,PPG,65.75,66.81,65.66,66.5,701500
2007-03-09,PPG,66.9,68.11,66.85,67.97,1161700
2007-03-12,PPG,67.97,69.06,67.8,68.71,1410300
2007-03-13,PPG,68.8,69.59,67.63,67.8,2356500
2007-03-14,PPG,67.96,68.44,66.89,68.26,1139500
2007-03-15,PPG,68.31,69.33,68.26,68.98,732239
2007-03-16,PPG,68.96,69.5,68.34,69.04,1088300
2007-03-19,PPG,69.04,70.39,68.88,70.31,1682206
2007-03-20,PPG,70.5,71.46,70.5,71.22,1834599
2007-03-21,PPG,70.87,72.26,70.68,72.14,976700
2007-03-22,PPG,72.15,72.21,71.71,71.88,911157
2007-03-23,PPG,71.88,72.4,71.51,72.28,786800
2007-03-26,PPG,72.23,72.29,71.03,72.29,723520
2007-03-27,PPG,71.75,72.0,71.3,71.58,660300
2007-03-28,PPG,71.48,71.48,70.43,70.69,698200
2007-03-29,PPG,71.23,71.41,69.96,70.61,921470
2007-03-30,PPG,70.54,71.25,69.72,70.31,1093511
2007-04-02,PPG,70.31,70.72,69.94,70.59,697900
2007-04-03,PPG,70.84,71.46,70.42,71.2,631800
2007-04-04,PPG,71.2,71.5,70.94,71.32,524660
2007-04-05,PPG,71.03,71.25,70.82,71.06,629500
2007-04-09,PPG,71.77,72.8,71.47,71.81,684000
2007-04-10,PPG,71.61,71.66,70.6,70.89,856100
2007-04-11,PPG,71.1,71.25,70.33,70.56,873000
2007-04-12,PPG,70.62,71.36,70.19,71.36,613005
2007-04-13,PPG,71.35,71.35,70.73,71.0,394000
2007-04-16,PPG,71.28,72.19,71.15,72.11,674625
2007-04-17,PPG,72.11,72.0,70.75,70.78,973600
2007-04-18,PPG,70.78,71.12,70.28,70.92,1307300
2007-04-19,PPG,71.52,75.89,70.92,75.5,2875116
2007-04-20,PPG,75.57,75.57,74.72,75.25,1793706
2007-04-23,PPG,74.91,75.45,74.76,75.02,1120000
2007-04-24,PPG,74.82,75.1,73.84,74.23,1002200
2007-04-25,PPG,74.3,75.07,74.3,74.98,819200
2007-04-26,PPG,74.61,74.93,74.1,74.4,733400
2007-04-27,PPG,74.41,74.77,73.59,74.72,728162
2007-04-30,PPG,74.72,74.78,73.58,73.59,1229600
2007-05-01,PPG,73.61,73.7,72.87,73.26,910100
2007-05-02,PPG,73.16,74.45,73.15,74.02,691307
2007-05-03,PPG,74.02,75.04,73.95,75.02,966614
2007-05-04,PPG,74.99,75.11,74.25,74.8,575900
2007-05-07,PPG,75.0,75.87,74.85,75.8,650100
2007-05-08,PPG,75.16,75.18,74.43,74.85,663100
2007-05-09,PPG,74.75,75.62,74.69,75.62,704300
2007-05-10,PPG,76.12,75.35,74.1,74.34,819964
2007-05-11,PPG,74.34,74.86,74.1,74.64,812000
2007-05-14,PPG,74.64,75.18,74.31,74.49,627686
2007-05-15,PPG,74.78,75.59,74.48,74.68,644500
2007-05-16,PPG,74.8,75.12,74.29,75.01,701980
2007-05-17,PPG,74.91,75.7,74.9,75.5,748700
2007-05-18,PPG,76.37,78.8,75.6,77.81,2331300
2007-05-21,PPG,77.08,78.32,76.59,77.97,1887484
2007-05-22,PPG,77.63,78.08,77.37,77.88,841400
2007-05-23,PPG,77.88,78.6,77.28,77.36,758300
2007-05-24,PPG,77.37,77.23,76.27,76.56,1437500
2007-05-25,PPG,76.66,77.23,76.56,77.11,692400
2007-05-29,PPG,77.0,77.2,76.1,76.4,723100
