Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,ROL,22.47,22.56,22.07,22.11,74400
2007-01-03,ROL,22.21,22.64,22.03,22.42,96600
2007-01-04,ROL,22.37,22.74,21.97,22.48,77000
2007-01-05,ROL,22.2,22.24,21.69,21.69,79500
2007-01-08,ROL,21.61,21.75,21.09,21.71,113000
2007-01-09,ROL,21.73,21.73,21.22,21.56,61800
2007-01-10,ROL,21.35,21.56,21.21,21.46,66600
2007-01-11,ROL,21.53,21.88,21.36,21.66,68600
2007-01-12,ROL,21.62,21.75,21.47,21.62,45000
2007-01-16,ROL,21.63,21.89,21.43,21.6,79500
2007-01-17,ROL,21.6,21.6,21.3,21.33,195300
2007-01-18,ROL,21.02,21.35,20.97,21.19,136200
2007-01-19,ROL,21.1,21.19,20.77,21.08,55300
2007-01-22,ROL,21.02,21.06,20.61,20.97,74200
2007-01-23,ROL,20.92,21.3,20.68,21.16,92600
2007-01-24,ROL,21.1,21.43,21.07,21.28,93000
2007-01-25,ROL,21.12,21.22,20.86,21.03,149200
2007-01-26,ROL,21.09,21.36,20.91,21.32,645600
2007-01-29,ROL,21.24,21.6,21.1,21.5,187800
2007-01-30,ROL,21.6,21.67,21.33,21.66,391400
2007-01-31,ROL,21.58,21.9,21.35,21.82,155600
2007-02-01,ROL,21.88,22.05,21.7,21.88,80900
2007-02-02,ROL,21.95,22.04,21.75,21.89,64700
2007-02-05,ROL,21.83,22.06,21.65,21.81,128800
2007-02-06,ROL,21.85,22.02,21.77,21.92,68300
2007-02-07,ROL,22.0,22.19,21.79,22.16,113300
2007-02-08,ROL,21.83,22.44,21.66,22.42,169200
2007-02-09,ROL,22.44,22.54,21.96,22.27,127600
2007-02-12,ROL,22.25,22.43,22.11,22.3,137834
2007-02-13,ROL,22.38,22.57,22.25,22.5,95700
2007-02-14,ROL,22.49,22.65,22.39,22.5,127968
2007-02-15,ROL,22.45,22.55,22.33,22.43,118800
2007-02-16,ROL,22.42,22.9,22.37,22.85,143100
2007-02-20,ROL,22.75,23.06,22.5,23.05,127200
2007-02-21,ROL,22.92,23.23,22.87,23.21,218000
2007-02-22,ROL,23.19,23.36,22.97,23.33,151300
2007-02-23,ROL,23.25,23.62,23.06,23.55,169000
2007-02-26,ROL,23.55,23.55,23.15,23.36,160600
2007-02-27,ROL,22.46,23.11,21.54,22.73,424700
2007-02-28,ROL,22.67,23.09,22.4,23.0,276600
2007-03-01,ROL,22.62,23.41,22.52,23.26,197700
2007-03-02,ROL,23.1,23.33,22.9,22.99,248000
2007-03-05,ROL,22.75,23.18,22.62,22.89,259700
2007-03-06,ROL,23.04,23.36,22.98,23.06,209400
2007-03-07,ROL,23.0,23.06,22.59,22.81,210400
2007-03-08,ROL,22.98,23.22,22.94,23.07,209000
2007-03-09,ROL,23.14,23.2,22.86,22.93,136800
2007-03-12,ROL,22.93,23.16,22.87,23.11,127500
2007-03-13,ROL,22.95,23.05,22.75,22.81,194200
2007-03-14,ROL,22.76,23.01,22.37,22.83,220700
2007-03-15,ROL,22.84,22.93,22.75,22.82,174300
2007-03-16,ROL,22.83,22.85,22.48,22.56,332600
