Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,RSG,40.78,40.98,40.62,40.67,436900
2007-01-03,RSG,40.73,41.26,40.73,41.0,591500
2007-01-04,RSG,40.9,41.48,40.73,41.38,839000
2007-01-05,RSG,41.3,41.51,41.19,41.28,707300
2007-01-08,RSG,41.15,41.3,40.94,41.22,774800
2007-01-09,RSG,41.38,42.12,41.26,41.47,660700
2007-01-10,RSG,41.35,41.77,41.29,41.63,443500
2007-01-11,RSG,41.88,42.15,41.68,41.98,338000
2007-01-12,RSG,41.88,41.95,41.55,41.87,670200
2007-01-16,RSG,41.95,42.55,41.95,42.43,467400
2007-01-17,RSG,42.36,42.9,42.32,42.76,557100
2007-01-18,RSG,42.51,42.78,42.2,42.25,398500
2007-01-19,RSG,42.25,42.38,42.0,42.32,283900
2007-01-22,RSG,42.37,42.59,42.1,42.49,336100
2007-01-23,RSG,42.5,42.9,42.45,42.8,353100
2007-01-24,RSG,42.79,42.9,42.48,42.72,274000
2007-01-25,RSG,42.72,42.77,42.18,42.43,610900
2007-01-26,RSG,42.46,42.67,42.32,42.51,477400
2007-01-29,RSG,42.42,43.07,42.41,42.75,459500
2007-01-30,RSG,42.85,43.4,42.7,43.29,434300
2007-01-31,RSG,43.31,43.45,42.94,43.25,435200
2007-02-01,RSG,43.35,43.5,43.0,43.25,505900
2007-02-02,RSG,44.1,44.25,43.62,43.97,674300
2007-02-05,RSG,43.89,43.94,43.21,43.8,968200
2007-02-06,RSG,43.78,44.1,43.73,43.92,784700
2007-02-07,RSG,44.05,44.5,43.91,44.33,910200
2007-02-08,RSG,44.29,44.3,43.08,43.47,1296700
2007-02-09,RSG,43.37,43.57,42.64,43.05,794100
2007-02-12,RSG,43.15,43.25,42.72,42.88,451713
2007-02-13,RSG,43.0,43.55,43.0,43.37,384191
2007-02-14,RSG,43.38,44.22,43.19,43.59,989160
2007-02-15,RSG,43.59,43.75,43.33,43.44,761500
2007-02-16,RSG,43.45,43.9,43.45,43.72,995800
2007-02-20,RSG,43.74,43.8,43.46,43.46,759500
2007-02-21,RSG,43.46,43.71,43.37,43.5,751100
2007-02-22,RSG,43.46,43.6,42.73,42.87,635000
2007-02-23,RSG,42.92,43.16,42.82,43.08,707500
2007-02-26,RSG,43.24,43.49,43.01,43.11,474100
2007-02-27,RSG,42.62,42.7,41.49,41.82,808200
2007-02-28,RSG,41.8,42.33,41.4,42.09,578900
2007-03-01,RSG,41.7,42.15,41.18,41.81,421836
2007-03-02,RSG,41.76,42.0,41.51,41.57,461400
2007-03-05,RSG,41.32,41.65,41.05,41.15,687200
2007-03-06,RSG,41.28,41.59,40.92,41.39,721300
2007-03-07,RSG,41.32,41.72,41.25,41.41,668800
2007-03-08,RSG,41.65,41.85,40.7,40.99,960600
2007-03-09,RSG,41.21,41.56,40.87,41.05,635300
2007-03-12,RSG,41.12,41.34,40.89,41.0,569700
2007-03-13,RSG,40.84,41.02,40.03,40.05,958500
2007-03-14,RSG,40.17,40.59,39.33,39.91,1361000
2007-03-15,RSG,39.91,40.63,39.95,40.4,1919500
2007-03-16,RSG,40.37,40.5,39.97,40.48,723300
2007-03-19,RSG,27.04,27.41,26.88,27.4,1028800
2007-03-20,RSG,27.32,27.48,27.08,27.15,1313800
2007-03-21,RSG,27.21,27.71,27.12,27.68,1424650
2007-03-22,RSG,28.52,28.53,27.58,27.85,1161000
2007-03-23,RSG,27.9,28.34,27.76,28.28,1159900
2007-03-26,RSG,28.37,28.37,27.95,28.14,952400
2007-03-27,RSG,28.01,28.11,27.6,27.61,895500
2007-03-28,RSG,27.57,27.99,27.51,27.86,1296300
2007-03-29,RSG,27.97,28.1,27.46,27.68,947300
2007-03-30,RSG,27.66,27.9,27.55,27.82,824200
2007-04-02,RSG,27.9,28.11,27.79,27.87,1218300
2007-04-03,RSG,28.04,28.3,27.94,28.12,911700
2007-04-04,RSG,28.02,28.12,27.77,27.89,965900
2007-04-05,RSG,27.92,27.97,27.81,27.86,530100
2007-04-09,RSG,27.91,28.0,27.46,27.49,927700
2007-04-10,RSG,27.4,27.4,27.17,27.19,879300
2007-04-11,RSG,27.19,27.34,27.1,27.25,1339000
2007-04-12,RSG,27.15,27.46,27.05,27.46,812700
2007-04-13,RSG,27.5,27.94,27.31,27.5,1231200
2007-04-16,RSG,27.61,28.22,27.61,28.22,1427200
2007-04-17,RSG,28.19,28.53,28.02,28.45,1110400
2007-04-18,RSG,28.35,28.46,28.09,28.09,1099100
2007-04-19,RSG,28.97,28.97,27.51,27.62,854000
2007-04-20,RSG,27.75,28.0,27.38,27.63,807800
2007-04-23,RSG,27.63,27.68,27.2,27.59,890800
2007-04-24,RSG,27.65,28.0,27.51,27.69,884300
2007-04-25,RSG,27.75,27.99,27.51,27.88,730332
2007-04-26,RSG,27.82,27.95,27.49,27.84,498100
2007-04-27,RSG,28.25,28.85,27.84,28.56,1761100
2007-04-30,RSG,28.65,28.65,27.93,27.93,1416700
2007-05-01,RSG,27.98,28.11,27.81,27.86,1501400
2007-05-02,RSG,27.96,28.76,27.85,28.43,1863600
2007-05-03,RSG,28.43,28.71,28.39,28.54,967500
2007-05-04,RSG,28.55,28.67,28.42,28.58,850500
2007-05-07,RSG,28.71,29.09,28.71,28.87,697300
2007-05-08,RSG,28.85,28.85,28.42,28.78,459800
2007-05-09,RSG,28.67,28.81,28.5,28.72,535400
2007-05-10,RSG,28.53,28.8,28.48,28.61,1303700
2007-05-11,RSG,28.64,28.85,28.4,28.65,1145000
2007-05-14,RSG,28.6,28.78,28.43,28.62,749400
2007-05-15,RSG,28.52,28.63,28.21,28.37,533200
2007-05-16,RSG,28.52,29.29,28.42,29.06,993700
2007-05-17,RSG,28.96,28.96,28.47,28.71,814500
2007-05-18,RSG,28.82,29.07,28.75,29.02,558200
2007-05-21,RSG,29.09,29.5,28.98,29.32,581900
2007-05-22,RSG,29.26,29.42,28.97,29.34,583100
2007-05-23,RSG,29.4,29.48,29.19,29.28,560700
2007-05-24,RSG,29.36,29.53,28.64,28.7,696900
2007-05-25,RSG,28.8,29.53,28.79,29.41,950800
2007-05-29,RSG,29.51,30.16,29.51,30.08,1217500
2007-05-30,RSG,30.08,30.49,29.7,30.43,1608100
2007-05-31,RSG,30.43,30.54,30.05,30.28,1338800
2007-06-01,RSG,30.28,30.5,30.2,30.43,762440
2007-06-04,RSG,30.4,31.0,30.31,31.0,977900
2007-06-05,RSG,31.0,31.0,30.64,30.69,778100
2007-06-06,RSG,30.63,30.94,30.55,30.65,893200
2007-06-07,RSG,30.55,30.82,30.12,30.12,1056600
