Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,WMT,46.2,46.61,46.03,46.18,10810500
2007-01-03,WMT,47.09,48.3,47.06,47.55,35688700
2007-01-04,WMT,47.8,47.99,47.32,47.78,17077300
2007-01-05,WMT,47.5,47.8,47.15,47.39,13556900
2007-01-08,WMT,46.91,47.31,46.9,47.0,16396500
2007-01-09,WMT,47.0,47.67,47.0,47.39,14656600
2007-01-10,WMT,47.05,47.62,46.51,47.28,13312200
2007-01-11,WMT,47.27,47.73,47.21,47.6,14823200
2007-01-12,WMT,47.62,48.11,47.21,47.98,13913600
2007-01-16,WMT,47.93,48.48,47.79,48.31,14482400
2007-01-17,WMT,48.32,48.41,48.09,48.2,11305400
2007-01-18,WMT,48.19,48.78,48.08,48.39,13656400
2007-01-19,WMT,48.49,48.74,48.19,48.31,11960300
2007-01-22,WMT,48.16,48.27,47.6,47.96,12719900
2007-01-23,WMT,47.78,48.15,47.46,47.81,11274300
2007-01-24,WMT,48.07,48.7,47.99,48.61,13491700
2007-01-25,WMT,48.61,48.64,48.09,48.15,11841300
2007-01-26,WMT,48.05,48.36,47.47,47.67,11058400
2007-01-29,WMT,48.15,48.15,47.5,47.63,9537000
2007-01-30,WMT,47.75,47.84,46.91,47.28,16342800
2007-01-31,WMT,47.2,47.96,47.04,47.69,14935600
2007-02-01,WMT,47.51,48.08,47.44,47.78,13235400
2007-02-02,WMT,47.75,48.42,47.64,48.08,12611800
2007-02-05,WMT,48.44,48.9,48.42,48.52,14215300
2007-02-06,WMT,48.61,48.77,48.32,48.58,8963800
2007-02-07,WMT,48.39,48.75,48.28,48.58,10084500
2007-02-08,WMT,48.36,48.6,48.13,48.31,10791800
2007-02-09,WMT,48.37,48.54,47.67,47.97,12406000
2007-02-12,WMT,48.15,48.24,47.68,47.74,10331008
2007-02-13,WMT,47.8,48.17,47.74,47.98,10068877
2007-02-14,WMT,48.08,48.13,47.75,47.87,12275669
2007-02-15,WMT,47.9,48.54,47.82,48.36,11296500
2007-02-16,WMT,48.35,48.85,48.25,48.48,17104100
2007-02-20,WMT,49.81,50.29,49.41,50.26,36503100
2007-02-21,WMT,49.91,50.42,49.87,49.97,23789800
2007-02-22,WMT,50.09,50.18,49.55,49.69,10633000
2007-02-23,WMT,49.66,49.89,49.29,49.57,11019600
2007-02-26,WMT,49.71,50.05,49.45,49.98,10664132
2007-02-27,WMT,49.6,49.78,48.2,48.2,20771700
2007-02-28,WMT,48.2,48.66,48.01,48.31,21342400
2007-03-01,WMT,47.78,48.2,47.19,47.89,20456761
2007-03-02,WMT,47.89,48.32,47.71,47.81,18359700
2007-03-05,WMT,47.81,48.27,47.44,47.47,14354000
2007-03-06,WMT,47.47,48.29,47.75,48.04,14954800
2007-03-07,WMT,48.05,48.25,47.61,47.93,13327000
2007-03-08,WMT,48.05,48.15,47.38,47.88,20395700
2007-03-09,WMT,47.78,48.13,47.15,47.42,13950500
2007-03-12,WMT,47.53,47.63,47.1,47.26,12197200
2007-03-13,WMT,46.97,47.13,46.03,46.18,23987200
2007-03-14,WMT,46.0,46.22,45.06,45.73,27585500
2007-03-15,WMT,45.75,46.16,45.49,46.0,13292100
2007-03-16,WMT,46.22,46.8,45.75,46.21,18994400
2007-03-19,WMT,46.21,46.82,46.38,46.59,12079644
2007-03-20,WMT,46.48,47.4,46.44,47.3,15267000
2007-03-21,WMT,47.22,47.85,46.95,47.77,13643400
2007-03-22,WMT,47.77,48.2,47.56,48.01,15574610
2007-03-23,WMT,48.01,48.15,47.75,47.91,7993950
2007-03-26,WMT,47.84,47.92,47.15,47.84,12706070
2007-03-27,WMT,47.84,47.8,47.03,47.49,12950422
2007-03-28,WMT,47.17,47.19,46.46,46.64,18080798
2007-03-29,WMT,46.93,47.04,46.36,46.72,12563500
2007-03-30,WMT,46.72,47.09,46.64,46.95,15187217
2007-04-02,WMT,46.95,47.52,46.85,47.4,13746240
2007-04-03,WMT,47.51,48.29,47.47,48.1,17161930
2007-04-04,WMT,48.29,48.32,47.9,48.05,10975527
2007-04-05,WMT,48.05,48.45,47.86,48.27,9515337
2007-04-09,WMT,48.27,48.55,47.89,48.47,8537786
2007-04-10,WMT,48.47,48.45,47.94,47.94,9750637
2007-04-11,WMT,47.95,48.11,47.06,47.27,17736118
2007-04-12,WMT,47.38,47.5,46.9,47.26,11572036
2007-04-13,WMT,47.4,47.42,46.83,47.41,12421536
2007-04-16,WMT,47.63,48.12,47.51,48.07,14249911
2007-04-17,WMT,48.18,48.43,47.89,48.17,12391265
2007-04-18,WMT,48.0,48.18,47.83,47.97,7993479
2007-04-19,WMT,47.75,48.38,47.65,48.34,8050832
2007-04-20,WMT,48.59,49.84,48.51,49.76,23422057
2007-04-23,WMT,49.8,49.95,48.84,48.93,14056734
2007-04-24,WMT,48.5,48.98,48.13,48.69,19136264
2007-04-25,WMT,48.77,49.1,48.63,48.81,14504594
2007-04-26,WMT,48.79,49.06,48.57,48.7,9231043
2007-04-27,WMT,48.52,48.69,48.32,48.34,9302130
2007-04-30,WMT,48.34,48.66,47.87,47.92,13988695
2007-05-01,WMT,47.92,48.56,47.51,48.33,14782903
2007-05-02,WMT,48.33,48.74,48.17,48.28,12278480
2007-05-03,WMT,48.52,48.75,48.2,48.36,10983756
2007-05-04,WMT,48.36,48.5,48.05,48.27,9605736
2007-05-07,WMT,48.43,48.88,48.28,48.61,8910869
2007-05-08,WMT,48.4,48.64,48.08,48.1,10172559
2007-05-09,WMT,48.1,48.28,47.84,47.93,15225778
2007-05-10,WMT,47.62,48.33,47.45,47.75,17851073
2007-05-11,WMT,47.85,47.91,47.41,47.78,15889487
2007-05-14,WMT,47.78,48.0,47.49,47.84,12971905
2007-05-15,WMT,47.7,48.1,47.41,47.62,19379754
2007-05-16,WMT,47.5,47.74,46.98,47.18,19029340
2007-05-17,WMT,47.11,47.47,47.02,47.11,12633994
2007-05-18,WMT,47.11,47.37,47.18,47.27,13743096
2007-05-21,WMT,47.31,47.4,46.62,46.62,21022286
2007-05-22,WMT,46.62,46.8,46.47,46.54,11197166
2007-05-23,WMT,46.75,47.14,46.32,46.33,16399933
2007-05-24,WMT,46.45,46.95,46.35,46.65,14731315
2007-05-25,WMT,46.85,47.0,46.64,46.91,8795922
2007-05-29,WMT,47.0,47.54,46.76,46.94,14948959
2007-05-30,WMT,46.9,47.15,46.47,47.12,16038807
2007-05-31,WMT,47.12,47.8,47.1,47.6,17564706
2007-06-01,WMT,47.8,49.94,47.73,49.47,49106040
2007-06-04,WMT,50.45,51.44,50.15,51.21,54685065
2007-06-05,WMT,51.23,51.2,50.36,50.52,32730495
2007-06-06,WMT,50.5,51.04,50.15,50.75,25274011
2007-06-07,WMT,50.5,50.75,49.61,49.76,24804767
