Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2006-12-29,WYNN,93.1,94.16,93.07,93.85,721364
2007-01-03,WYNN,94.39,97.85,94.05,96.27,1910688
2007-01-04,WYNN,96.48,96.76,94.45,96.31,1075190
2007-01-05,WYNN,96.27,97.75,95.76,96.88,1676660
2007-01-08,WYNN,97.52,100.0,96.73,98.71,1809785
2007-01-09,WYNN,99.4,100.23,97.12,99.1,1373463
2007-01-10,WYNN,98.59,102.93,96.7,102.45,2746591
2007-01-11,WYNN,102.21,104.49,99.61,103.92,2999892
2007-01-12,WYNN,103.92,105.0,102.52,104.49,1601146
2007-01-16,WYNN,104.1,107.94,104.1,107.75,2427273
2007-01-17,WYNN,107.33,107.64,105.38,105.76,2034374
2007-01-18,WYNN,105.99,107.1,102.77,103.75,1695977
2007-01-19,WYNN,103.36,106.25,102.27,105.62,2079439
2007-01-22,WYNN,105.97,106.96,104.14,106.5,1468358
2007-01-23,WYNN,106.7,108.16,105.45,106.81,1589515
2007-01-24,WYNN,107.56,111.34,106.5,110.45,1866171
2007-01-25,WYNN,110.23,110.8,106.66,106.99,1301562
2007-01-26,WYNN,107.49,108.84,105.48,107.9,1303737
2007-01-29,WYNN,109.36,109.98,107.18,108.56,1389024
2007-01-30,WYNN,108.76,109.19,107.05,108.29,917083
2007-01-31,WYNN,107.83,112.4,107.42,111.74,1983685
2007-02-01,WYNN,112.54,113.25,110.85,112.17,1325746
2007-02-02,WYNN,112.11,112.74,110.84,111.44,966418
2007-02-05,WYNN,111.57,114.6,111.47,114.07,1344835
2007-02-06,WYNN,113.3,113.4,109.69,112.73,2014666
2007-02-07,WYNN,113.05,114.2,111.7,112.52,955534
2007-02-08,WYNN,112.65,112.65,110.97,111.29,916532
2007-02-09,WYNN,111.3,111.81,104.0,104.19,2623522
2007-02-12,WYNN,104.7,105.2,101.0,102.49,2623129
2007-02-13,WYNN,103.62,103.66,102.2,102.43,1419614
2007-02-14,WYNN,102.86,104.33,102.49,103.36,1621476
2007-02-15,WYNN,103.51,104.22,101.79,102.95,940464
2007-02-16,WYNN,103.07,103.2,101.5,101.71,1114549
2007-02-20,WYNN,102.65,102.85,99.83,102.29,1428848
2007-02-21,WYNN,101.87,102.56,100.54,102.19,1367840
2007-02-22,WYNN,102.6,106.24,102.06,106.1,2074101
2007-02-23,WYNN,105.62,106.63,103.29,103.81,1271421
2007-02-26,WYNN,104.7,104.99,99.27,100.38,2113956
2007-02-27,WYNN,97.5,98.51,95.65,95.9,2843007
2007-02-28,WYNN,98.0,99.63,96.05,98.02,2828802
2007-03-01,WYNN,95.0,98.31,93.72,97.03,2335127
2007-03-02,WYNN,96.69,97.3,93.47,93.63,1530608
2007-03-05,WYNN,92.51,92.8,89.06,89.37,3089251
2007-03-06,WYNN,91.7,93.18,91.35,92.42,2478880
2007-03-07,WYNN,92.45,92.91,90.92,91.35,1508534
2007-03-08,WYNN,92.6,95.11,92.24,94.18,1691291
2007-03-09,WYNN,94.69,95.94,92.82,94.24,1527419
2007-03-12,WYNN,93.98,94.2,90.83,92.42,1364847
2007-03-13,WYNN,92.0,93.59,90.54,90.8,1475443
2007-03-14,WYNN,90.85,92.93,89.5,92.62,1671768
2007-03-15,WYNN,92.4,94.08,91.75,93.64,1572486
2007-03-16,WYNN,93.13,94.02,91.95,92.74,1365067
2007-03-19,WYNN,92.74,95.1,93.01,95.02,1078171
2007-03-20,WYNN,95.19,98.33,94.52,97.68,2241373
2007-03-21,WYNN,96.68,99.5,95.9,99.5,2288293
2007-03-22,WYNN,100.05,100.47,99.19,99.9,1605655
2007-03-23,WYNN,99.75,100.9,99.71,100.65,1054615
2007-03-26,WYNN,100.8,101.0,99.01,100.93,1160267
2007-03-27,WYNN,99.94,100.45,97.6,98.01,1293333
2007-03-28,WYNN,97.51,97.86,95.5,95.8,1653353
2007-03-29,WYNN,96.23,97.4,94.64,96.0,1157183
2007-03-30,WYNN,95.99,96.33,94.1,94.86,959095
2007-04-02,WYNN,95.0,96.55,95.0,96.06,796051
2007-04-03,WYNN,96.87,99.49,96.96,98.32,1250040
2007-04-04,WYNN,97.47,98.68,97.24,98.16,824505
2007-04-05,WYNN,98.2,99.47,97.55,98.75,743596
2007-04-09,WYNN,99.61,101.68,99.66,101.08,1549902
2007-04-10,WYNN,101.08,101.43,99.48,100.15,844113
2007-04-11,WYNN,100.0,100.24,98.25,98.78,768875
2007-04-12,WYNN,98.41,100.64,97.63,100.17,850391
2007-04-13,WYNN,99.86,103.0,99.09,102.44,1435715
2007-04-16,WYNN,103.04,103.47,101.25,102.0,1079200
2007-04-17,WYNN,101.89,101.99,100.28,100.79,843353
2007-04-18,WYNN,100.5,104.12,100.5,103.34,1177494
2007-04-19,WYNN,102.26,102.79,101.01,102.01,852368
2007-04-20,WYNN,102.85,103.69,102.02,102.51,808661
2007-04-23,WYNN,102.28,103.52,101.81,103.44,806739
2007-04-24,WYNN,103.62,103.77,102.26,102.81,746449
2007-04-25,WYNN,102.81,105.55,102.45,105.47,957118
2007-04-26,WYNN,105.47,106.4,105.0,105.93,727436
2007-04-27,WYNN,105.73,105.73,103.61,104.52,743042
2007-04-30,WYNN,104.78,105.6,102.03,102.21,1464551
2007-05-01,WYNN,102.21,102.87,100.7,101.38,2057518
2007-05-02,WYNN,101.96,107.98,101.39,107.05,3660913
2007-05-03,WYNN,103.5,105.98,102.59,103.63,2569732
2007-05-04,WYNN,103.63,105.2,101.53,102.52,1513875
2007-05-07,WYNN,103.44,103.41,99.75,101.85,3817836
2007-05-08,WYNN,105.4,105.88,99.17,99.91,3858792
2007-05-09,WYNN,99.6,100.34,98.8,99.26,1398543
2007-05-10,WYNN,98.5,99.42,95.72,96.0,1656182
2007-05-11,WYNN,96.0,97.94,94.85,96.52,1352924
2007-05-14,WYNN,96.25,97.78,95.44,95.84,1162911
2007-05-15,WYNN,95.91,97.76,94.74,94.95,1225729
2007-05-16,WYNN,95.64,97.31,95.61,96.28,1324109
2007-05-17,WYNN,96.01,97.19,94.96,95.03,906735
2007-05-18,WYNN,95.08,95.89,93.22,93.74,1641731
2007-05-21,WYNN,93.66,95.0,93.6,94.19,1188788
2007-05-22,WYNN,98.0,101.54,97.25,101.15,3285235
2007-05-23,WYNN,100.95,101.78,99.25,99.35,1070570
2007-05-24,WYNN,98.8,100.66,96.16,96.7,1218703
2007-05-25,WYNN,97.5,96.5,94.63,94.75,1703593
2007-05-29,WYNN,94.76,96.17,94.83,95.1,1763697
2007-05-30,WYNN,94.5,95.23,93.49,94.25,1624833
2007-05-31,WYNN,95.39,96.62,94.01,96.5,1768517
2007-06-01,WYNN,96.89,99.27,97.0,98.43,2217263
2007-06-04,WYNN,98.4,99.3,97.51,97.99,1442325
2007-06-05,WYNN,98.0,98.98,97.37,98.67,1065160
2007-06-06,WYNN,98.5,98.74,95.85,96.25,1133201
2007-06-07,WYNN,96.26,99.78,92.85,93.46,4999567
2007-06-08,WYNN,92.95,95.98,92.95,95.51,2204924
2007-06-11,WYNN,95.0,95.25,93.35,94.33,1916714
2007-06-12,WYNN,93.67,95.4,93.63,94.05,1689170
2007-06-13,WYNN,96.2,96.18,94.06,96.18,1380108
2007-06-14,WYNN,95.39,96.38,94.11,94.67,1578405
2007-06-15,WYNN,95.25,96.64,94.89,95.06,1900917
2007-06-18,WYNN,94.86,95.26,93.86,93.86,1143064
2007-06-19,WYNN,92.77,92.92,91.3,92.45,2659653
2007-06-20,WYNN,92.42,92.39,90.77,90.97,1352474
2007-06-21,WYNN,91.05,91.23,89.07,90.98,2101413
2007-06-22,WYNN,90.35,91.23,89.44,89.55,836447
2007-06-25,WYNN,89.8,90.11,88.52,89.34,1302966
2007-06-26,WYNN,89.28,89.46,86.73,87.34,1471081
2007-06-27,WYNN,86.21,88.65,85.53,88.57,1438821
2007-06-28,WYNN,88.0,89.75,87.22,89.07,1541779
2007-06-29,WYNN,89.14,91.88,89.02,89.65,1615144
2007-07-02,WYNN,89.62,90.26,88.41,89.56,1238458
2007-07-03,WYNN,89.35,90.68,88.51,88.81,744463
2007-07-05,WYNN,90.75,93.09,89.15,92.76,2143912
2007-07-06,WYNN,92.81,94.25,92.31,94.24,1117549
2007-07-09,WYNN,94.25,94.79,93.45,94.78,1525363
2007-07-10,WYNN,94.59,94.25,92.55,92.62,2108397
2007-07-11,WYNN,92.7,94.57,92.26,94.3,1356342
2007-07-12,WYNN,94.42,97.45,94.17,96.98,2127653
2007-07-13,WYNN,97.36,98.75,96.0,98.39,1076392
2007-07-16,WYNN,98.2,98.85,97.77,97.79,1431554
2007-07-17,WYNN,97.79,98.43,96.7,98.27,2073536
2007-07-18,WYNN,97.95,99.42,96.65,98.74,2263061
2007-07-19,WYNN,99.05,99.9,98.31,99.42,2559386
2007-07-20,WYNN,99.42,99.31,96.54,98.68,2879517
2007-07-23,WYNN,98.79,101.85,98.38,101.27,1839026
2007-07-24,WYNN,100.99,101.49,98.93,99.32,1241123
2007-07-25,WYNN,99.32,103.07,99.27,101.64,1948501
2007-07-26,WYNN,102.0,100.38,94.63,97.66,2817129
2007-07-27,WYNN,97.66,100.99,96.57,100.35,1519288
2007-07-30,WYNN,100.25,101.13,96.55,99.21,1820463
2007-07-31,WYNN,99.21,100.83,96.16,96.56,1723522
2007-08-01,WYNN,96.54,97.21,94.05,96.91,1322306
