date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2013-12-09,24.6,25.44,23.45,23.95,AAL,43197268,0.0,0.0,23.95,24.6,25.44,23.45,43197268,22.63,23.24,24.04,22.16,43197268,0.0,0.0
2013-12-10,24.88,25.17,24.41,24.5,AAL,18660625,0.011382113821138113,0.011382113821138113,24.5,24.88,25.17,24.41,18660625,23.15,23.51,23.78,23.06,18660625,0.2799999999999976,0.0114
2013-12-11,25.99,27.2,25.37,25.44,AAL,38843371,0.05650406504065028,0.05650406504065028,25.44,25.99,27.2,25.37,38843371,24.04,24.56,25.7,23.97,38843371,1.1099999999999994,0.0446
2013-12-12,25.45,26.71,25.45,26.2,AAL,19981824,0.034552845528455195,0.034552845528455195,26.2,25.45,26.71,25.45,19981824,24.75,24.05,25.24,24.05,19981824,-0.5399999999999991,-0.0208
2013-12-13,26.23,26.3,25.52,25.75,AAL,12192421,0.06626016260162597,0.06626016260162597,25.75,26.23,26.3,25.52,12192421,24.33,24.78,24.85,24.11,12192421,0.7800000000000011,0.0306
2013-12-16,26.61,26.77,26.35,26.63,AAL,13190945,0.08170731707317065,0.08170731707317065,26.63,26.61,26.77,26.35,13190945,25.16,25.14,25.29,24.9,13190945,0.379999999999999,0.0145
2013-12-17,26.1,26.59,25.95,26.47,AAL,11413199,0.06097560975609756,0.06097560975609756,26.47,26.1,26.59,25.95,11413199,25.01,24.66,25.12,24.52,11413199,-0.509999999999998,-0.0192
2013-12-18,26.23,26.23,25.55,25.99,AAL,9994162,0.06626016260162597,0.06626016260162597,25.99,26.23,26.23,25.55,9994162,24.56,24.78,24.78,24.14,9994162,0.129999999999999,0.005
2013-12-19,26.12,26.49,25.82,26.09,AAL,6916497,0.06178861788617884,0.06178861788617884,26.09,26.12,26.49,25.82,6916497,24.65,24.68,25.03,24.4,6916497,-0.10999999999999943,-0.0042
2013-12-20,26.33,26.49,26.14,26.16,AAL,8530924,0.07032520325203238,0.07032520325203238,26.16,26.33,26.49,26.14,8530924,24.72,24.88,25.03,24.7,8530924,0.2099999999999973,0.008
2013-12-23,26.18,26.49,26.05,26.29,AAL,5403084,0.06422764227642269,0.06422764227642269,26.29,26.18,26.49,26.05,5403084,24.84,24.73,25.03,24.61,5403084,-0.14999999999999858,-0.0057
2013-12-24,26.25,26.26,26.0,26.0,AAL,2652974,0.06707317073170725,0.06707317073170725,26.0,26.25,26.26,26.0,2652974,24.56,24.8,24.81,24.56,2652974,0.07000000000000028,0.0027
2013-12-26,26.13,26.36,25.98,26.12,AAL,4226639,0.06219512195121941,0.06219512195121941,26.12,26.13,26.36,25.98,4226639,24.68,24.69,24.9,24.54,4226639,-0.120000000000001,-0.0046
2013-12-27,24.94,26.1,24.91,25.95,AAL,13227018,0.013821138211382106,0.013821138211382106,25.95,24.94,26.1,24.91,13227018,24.52,23.56,24.66,23.53,13227018,-1.1899999999999977,-0.0455
2013-12-30,24.78,25.25,24.65,24.87,AAL,8841369,0.007317073170731696,0.007317073170731696,24.87,24.78,25.25,24.65,8841369,23.5,23.41,23.86,23.29,8841369,-0.16000000000000014,-0.0064
2013-12-31,25.25,25.25,24.63,24.74,AAL,7168395,0.026422764227642215,0.026422764227642215,24.74,25.25,25.25,24.63,7168395,23.37,23.86,23.86,23.27,7168395,0.46999999999999886,0.019
2014-01-02,25.36,25.82,25.06,25.07,AAL,8998943,0.03089430894308935,0.03089430894308935,25.07,25.36,25.82,25.06,8998943,23.69,23.96,24.39,23.68,8998943,0.10999999999999943,0.0044
2014-01-03,26.54,26.75,25.51,25.55,AAL,13836062,0.07886178861788608,0.07886178861788608,25.55,26.54,26.75,25.51,13836062,24.14,25.07,25.27,24.1,13836062,1.1799999999999997,0.0465
2014-01-06,27.03,27.2,26.6,26.62,AAL,11272273,0.09878048780487803,0.09878048780487803,26.62,27.03,27.2,26.6,11272273,25.15,25.54,25.7,25.13,11272273,0.490000000000002,0.0185
2014-01-07,26.91,27.4,26.67,27.09,AAL,11288775,0.09390243902439019,0.09390243902439019,27.09,26.91,27.4,26.67,11288775,25.59,25.42,25.89,25.2,11288775,-0.120000000000001,-0.0044
2014-01-08,27.63,27.68,26.35,26.37,AAL,15736891,0.12317073170731697,0.12317073170731697,26.37,27.63,27.68,26.35,15736891,24.91,26.1,26.15,24.9,15736891,0.7199999999999989,0.0268
2014-01-09,29.42,29.6,28.2,28.24,AAL,26056445,0.19593495934959348,0.19593495934959348,28.24,29.42,29.6,28.2,26056445,26.68,27.8,27.97,26.64,26056445,1.7900000000000027,0.0648
2014-01-10,29.35,29.83,28.75,29.05,AAL,12824160,0.19308943089430894,0.19308943089430894,29.05,29.35,29.83,28.75,12824160,27.45,27.73,28.18,27.16,12824160,-0.07000000000000028,-0.0024
2014-01-13,28.65,29.53,28.58,29.27,AAL,10591701,0.16463414634146328,0.16463414634146328,29.27,28.65,29.53,28.58,10591701,27.65,27.07,27.9,27.0,10591701,-0.7000000000000028,-0.0239
2014-01-14,28.87,29.04,28.71,28.75,AAL,10601529,0.1735772357723577,0.1735772357723577,28.75,28.87,29.04,28.71,10601529,27.16,27.28,27.44,27.13,10601529,0.22000000000000242,0.0077
2014-01-15,28.84,29.44,28.7,28.95,AAL,11192558,0.1723577235772357,0.1723577235772357,28.95,28.84,29.44,28.7,11192558,27.35,27.25,27.81,27.12,11192558,-0.030000000000001137,-0.001
2014-01-16,29.34,29.39,28.7,28.73,AAL,7034698,0.19268292682926821,0.19268292682926821,28.73,29.34,29.39,28.7,7034698,27.14,27.72,27.77,27.12,7034698,0.5,0.0173
