date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,3.03,3.05,2.9771,2.9984,AAPL,1077284571.999999,0.0,0.0,83.955,84.84,85.4,83.36,38474449,2.5317,2.5584,2.5753,2.5138,1077284571.999999,0.0,0.0
2007-01-03,2.99,3.09,2.92,3.03,AAPL,44490464.0,-0.013201320132013068,-0.013201320132013068,84.84,83.8,86.58,81.9,44490464,2.59,2.56,2.64,2.5,44490464.0,-0.03999999999999959,-0.0132
2007-01-04,3.06,3.07,2.99,2.99,AAPL,30575948.0,0.009900990099009984,0.009900990099009984,83.76,85.66,85.95,83.82,30575948,2.55,2.61,2.62,2.56,30575948.0,0.06999999999999984,0.0234
2007-01-05,3.04,3.08,3.01,3.06,AAPL,29835835.0,0.0033003300330033767,0.0033003300330033767,85.77,85.05,86.2,84.4,29835835,2.62,2.59,2.63,2.57,29835835.0,-0.020000000000000018,-0.0065
2007-01-08,3.05,3.09,3.04,3.07,AAPL,28490191.0,0.006600660066006607,0.006600660066006607,85.96,85.47,86.53,85.28,28490191,2.62,2.61,2.64,2.6,28490191.0,0.009999999999999787,0.0033
2007-01-09,3.3,3.32,3.04,3.09,AAPL,119768021.0,0.08910891089108912,0.08910891089108912,86.45,92.57,92.98,85.15,119768021,2.64,2.82,2.84,2.6,119768021.0,0.25,0.082
2007-01-10,3.46,3.49,3.34,3.32,AAPL,105657993.0,0.14191419141914197,0.14191419141914197,93.01,97.0,97.8,93.45,105657993,2.84,2.96,2.98,2.85,105657993.0,0.16000000000000014,0.0485
2007-01-11,3.42,3.46,3.4,3.43,AAPL,51509384.0,0.12871287128712877,0.12871287128712877,95.94,95.8,96.78,95.1,51509384,2.93,2.92,2.95,2.9,51509384.0,-0.040000000000000036,-0.0116
2007-01-12,3.38,3.39,3.33,3.38,AAPL,46897924.0,0.11551155115511555,0.11551155115511555,94.59,94.62,95.06,93.23,46897924,2.88,2.89,2.9,2.84,46897924.0,-0.040000000000000036,-0.0117
2007-01-16,3.47,3.47,3.41,3.42,AAPL,44480774.0,0.14521452145214536,0.14521452145214536,95.69,97.1,97.25,95.45,44480774,2.92,2.96,2.97,2.91,44480774.0,0.0900000000000003,0.0266
2007-01-17,3.39,3.48,3.39,3.48,AAPL,60026766.0,0.11881188118811893,0.11881188118811893,97.57,94.95,97.6,94.82,60026766,2.98,2.9,2.98,2.89,60026766.0,-0.08000000000000007,-0.0231
2007-01-18,3.18,3.29,3.18,3.2,AAPL,84546205.0,0.049504950495049625,0.049504950495049625,89.56,89.07,92.11,89.05,84546205,2.73,2.72,2.81,2.72,84546205.0,-0.20999999999999996,-0.0619
2007-01-19,3.16,3.2,3.15,3.16,AAPL,48750753.0,0.04290429042904302,0.04290429042904302,88.62,88.5,89.65,88.12,48750753,2.7,2.7,2.73,2.69,48750753.0,-0.020000000000000018,-0.0063
2007-01-22,3.1,3.18,3.06,3.18,AAPL,51949057.0,0.023102310231023198,0.023102310231023198,89.14,86.79,89.16,85.65,51949057,2.72,2.65,2.72,2.61,51949057.0,-0.06000000000000005,-0.019
2007-01-23,3.06,3.12,3.05,3.06,AAPL,43164137.0,0.009900990099009984,0.009900990099009984,85.73,85.7,87.51,85.51,43164137,2.61,2.61,2.67,2.61,43164137.0,-0.040000000000000036,-0.0129
2007-01-24,3.1,3.11,3.07,3.09,AAPL,33167929.0,0.023102310231023198,0.023102310231023198,86.67,86.7,87.15,86.08,33167929,2.64,2.64,2.66,2.63,33167929.0,0.040000000000000036,0.0131
2007-01-25,3.08,3.16,3.07,3.11,AAPL,32394129.0,0.01650165016501659,0.01650165016501659,87.11,86.25,88.5,86.03,32394129,2.66,2.63,2.7,2.62,32394129.0,-0.020000000000000018,-0.0065
2007-01-26,3.05,3.12,3.03,3.11,AAPL,35254583.0,0.006600660066006607,0.006600660066006607,87.06,85.38,87.37,84.99,35254583,2.66,2.6,2.66,2.59,35254583.0,-0.03000000000000025,-0.0097
2007-01-29,3.07,3.09,3.05,3.08,AAPL,32230902.0,0.013201320132013214,0.013201320132013214,86.3,85.94,86.65,85.53,32230902,2.63,2.62,2.64,2.61,32230902.0,0.020000000000000018,0.0066
2007-01-30,3.05,3.09,3.04,3.09,AAPL,20670188.0,0.006600660066006607,0.006600660066006607,86.43,85.55,86.49,85.25,20670188,2.64,2.61,2.64,2.6,20670188.0,-0.020000000000000018,-0.0065
2007-01-31,3.06,3.07,3.01,3.03,AAPL,30588270.0,0.009900990099009984,0.009900990099009984,84.84,85.73,86.0,84.35,30588270,2.59,2.61,2.62,2.57,30588270.0,0.010000000000000231,0.0033
2007-02-01,3.03,3.08,3.03,3.08,AAPL,23747329.0,0.0,0.0,86.23,84.74,86.27,84.74,23747329,2.63,2.58,2.63,2.58,23747329.0,-0.03000000000000025,-0.0098
2007-02-02,3.03,3.04,2.99,3.0,AAPL,22212416.0,0.0,0.0,84.12,84.75,85.25,83.7,22212416,2.57,2.58,2.6,2.55,22212416.0,0.0,0.0
2007-02-05,3.0,3.04,3.0,3.01,AAPL,20737742.0,-0.009900990099009837,-0.009900990099009837,84.3,83.94,85.23,83.94,20737742,2.57,2.56,2.6,2.56,20737742.0,-0.029999999999999805,-0.0099
2007-02-06,3.0,3.02,2.96,3.01,AAPL,30893975.0,-0.009900990099009837,-0.009900990099009837,84.45,84.15,84.47,82.86,30893975,2.58,2.57,2.58,2.53,30893975.0,0.0,0.0
2007-02-07,3.08,3.08,2.98,3.02,AAPL,38180972.0,0.01650165016501659,0.01650165016501659,84.5,86.15,86.38,83.55,38180972,2.58,2.63,2.63,2.55,38180972.0,0.08000000000000007,0.0267
2007-02-08,3.08,3.09,3.05,3.05,AAPL,24264750.0,0.01650165016501659,0.01650165016501659,85.43,86.18,86.51,85.41,24264750,2.61,2.63,2.64,2.61,24264750.0,0.0,0.0
2007-02-09,2.97,3.08,2.97,3.07,AAPL,30756328.0,-0.019801980198019674,-0.019801980198019674,85.88,83.27,86.2,83.21,30756328,2.62,2.54,2.63,2.54,30756328.0,-0.10999999999999988,-0.0357
2007-02-12,3.03,3.04,2.99,3.01,AAPL,25873256.0,0.0,0.0,84.44,84.88,85.18,83.63,25873256,2.58,2.59,2.6,2.55,25873256.0,0.05999999999999961,0.0202
2007-02-13,3.02,3.04,3.01,3.04,AAPL,21250545.0,-0.00330033003300323,-0.00330033003300323,85.16,84.63,85.29,84.3,21250545,2.6,2.58,2.6,2.57,21250545.0,-0.009999999999999787,-0.0033
2007-02-14,3.05,3.06,3.02,3.02,AAPL,18150679.0,0.006600660066006607,0.006600660066006607,84.63,85.3,85.64,84.57,18150679,2.58,2.6,2.61,2.58,18150679.0,0.029999999999999805,0.0099
2007-02-15,3.04,3.06,3.03,3.05,AAPL,12997017.0,0.0033003300330033767,0.0033003300330033767,85.31,85.21,85.62,84.78,12997017,2.6,2.6,2.61,2.59,12997017.0,-0.009999999999999787,-0.0033
2007-02-16,3.03,3.05,3.02,3.04,AAPL,14288242.0,0.0,0.0,85.25,84.83,85.41,84.66,14288242,2.6,2.59,2.61,2.58,14288242.0,-0.010000000000000231,-0.0033
