date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2013-01-02,35.12,35.4,34.1,34.92,ABBV,13767989,0.0,0.0,34.92,35.12,35.4,34.1,13767989,21.87,22.0,22.17,21.36,13767989,0.0,0.0
2013-01-03,34.83,35.0,34.16,35.0,ABBV,16739208,-0.008257403189066035,-0.008257403189066035,35.0,34.83,35.0,34.16,16739208,21.92,21.81,21.92,21.39,16739208,-0.28999999999999915,-0.0083
2013-01-04,34.39,34.89,34.25,34.62,ABBV,21372638,-0.0207858769931662,-0.0207858769931662,34.62,34.39,34.89,34.25,21372638,21.68,21.54,21.85,21.45,21372638,-0.4399999999999977,-0.0126
2013-01-07,34.46,35.45,34.15,34.15,ABBV,17897117,-0.018792710706150247,-0.018792710706150247,34.15,34.46,35.45,34.15,17897117,21.39,21.58,22.2,21.39,17897117,0.07000000000000028,0.002
2013-01-08,33.71,34.64,33.36,34.29,ABBV,17863398,-0.04014806378132109,-0.04014806378132109,34.29,33.71,34.64,33.36,17863398,21.48,21.11,21.7,20.89,17863398,-0.75,-0.0218
2013-01-09,33.9,33.95,33.61,33.61,ABBV,18800666,-0.03473804100227788,-0.03473804100227788,33.61,33.9,33.95,33.61,18800666,21.05,21.23,21.26,21.05,18800666,0.18999999999999773,0.0056
2013-01-10,34.0,34.0,33.33,33.66,ABBV,15660776,-0.03189066059225505,-0.03189066059225505,33.66,34.0,34.0,33.33,15660776,21.08,21.29,21.29,20.87,15660776,0.10000000000000142,0.0029
2013-01-11,33.85,33.9,33.35,33.59,ABBV,11191446,-0.03616173120728918,-0.03616173120728918,33.59,33.85,33.9,33.35,11191446,21.29,21.45,21.49,21.14,11191446,-0.14999999999999858,-0.0044
2013-01-14,34.09,34.25,33.8,34.01,ABBV,11584901,-0.029328018223234456,-0.029328018223234456,34.01,34.09,34.25,33.8,11584901,21.56,21.61,21.71,21.42,11584901,0.240000000000002,0.0071
2013-01-15,34.6,34.72,33.71,33.71,ABBV,13042596,-0.014806378132118339,-0.014806378132118339,33.71,34.6,34.72,33.71,13042596,21.37,21.93,22.01,21.37,13042596,0.509999999999998,0.015
2013-01-16,35.54,35.54,34.45,34.47,ABBV,16512683,0.01195899772209572,0.01195899772209572,34.47,35.54,35.54,34.45,16512683,21.85,22.53,22.53,21.83,16512683,0.9399999999999977,0.0272
2013-01-17,36.42,36.7,35.75,35.75,ABBV,14426261,0.03701594533029625,0.03701594533029625,35.75,36.42,36.7,35.75,14426261,22.66,23.08,23.26,22.66,14426261,0.8800000000000026,0.0248
2013-01-18,37.32,37.32,36.04,36.43,ABBV,17844118,0.06264236902050123,0.06264236902050123,36.43,37.32,37.32,36.04,17844118,23.09,23.65,23.65,22.84,17844118,0.8999999999999986,0.0247
2013-01-21,37.32,37.32,36.04,36.43,ABBV,17844118,0.06264236902050123,0.06264236902050123,36.43,37.32,37.32,36.04,17844118,23.09,23.65,23.65,22.84,17844118,0.0,0.0
2013-01-22,36.42,37.25,35.93,36.98,ABBV,15809670,0.03701594533029625,0.03701594533029625,36.98,36.42,37.25,35.93,15809670,23.44,23.08,23.61,22.77,15809670,-0.8999999999999986,-0.0241
