date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,32.87,33.22,32.66,32.69,ADI,1619300,0.0,0.0,32.69,32.87,33.22,32.66,1619300,21.7419,21.8616,22.0944,21.722,1619300,0.0,0.0
2007-01-03,32.84,33.4,32.5,32.93,ADI,3073800,-0.0009126863401275946,-0.0009126863401275946,32.93,32.84,33.4,32.5,3073800,25.07,25.0,25.43,24.74,3073800,-0.02999999999999403,-0.0009
2007-01-04,33.41,33.53,32.8,32.84,ADI,3484100,0.016428354122299944,0.016428354122299944,32.84,33.41,33.53,32.8,3484100,25.0,25.44,25.53,24.97,3484100,0.5699999999999932,0.0174
2007-01-05,33.03,33.3,32.65,33.27,ADI,2628100,0.004867660480681585,0.004867660480681585,33.27,33.03,33.3,32.65,2628100,25.33,25.15,25.35,24.86,2628100,-0.37999999999999545,-0.0114
2007-01-08,33.29,33.62,32.95,33.18,ADI,2879100,0.012777608761788918,0.012777608761788918,33.18,33.29,33.62,32.95,2879100,25.26,25.34,25.59,25.08,2879100,0.259999999999998,0.0079
2007-01-09,33.24,33.58,32.83,33.28,ADI,3316300,0.011256464861576044,0.011256464861576044,33.28,33.24,33.58,32.83,3316300,25.34,25.31,25.56,24.99,3316300,-0.04999999999999716,-0.0015
2007-01-10,33.82,33.98,32.87,33.06,ADI,4148000,0.028901734104046332,0.028901734104046332,33.06,33.82,33.98,32.87,4148000,25.17,25.75,25.87,25.02,4148000,0.5799999999999983,0.0174
2007-01-11,33.89,34.53,33.5,33.82,ADI,4466800,0.031031335564344485,0.031031335564344485,33.82,33.89,34.53,33.5,4466800,25.75,25.8,26.29,25.5,4466800,0.07000000000000028,0.0021
2007-01-12,33.94,34.04,33.43,33.55,ADI,3561300,0.03255247946455736,0.03255247946455736,33.55,33.94,34.04,33.43,3561300,25.54,25.84,25.91,25.45,3561300,0.04999999999999716,0.0015
2007-01-16,33.77,33.92,33.47,33.88,ADI,2961900,0.027380590203833457,0.027380590203833457,33.88,33.77,33.92,33.47,2961900,25.79,25.71,25.82,25.48,2961900,-0.1699999999999946,-0.005
