date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,71.66,71.9605,71.49,71.9,AIG,4572700,0.0,0.0,71.9,71.66,71.9605,71.49,4572700,55.6392,55.4534,55.686,55.3219,4572700,0.0,0.0
2007-01-03,1443.0,1449.0,1431.8,1437.2,AIG,10168200,19.136756907619315,19.136756907619315,71.86,72.15,72.45,71.59,10168200,1106.58,1111.05,1115.66,1102.42,10168200,1371.34,19.1368
2007-01-04,1430.2,1449.0,1425.4,1442.0,AIG,8704200,18.958135640524702,18.958135640524702,72.1,71.51,72.45,71.27,8704200,1110.28,1101.19,1115.66,1097.49,8704200,-12.799999999999955,-0.0089
2007-01-05,1423.6,1435.4,1419.2,1430.2,AIG,7648000,18.866034049679037,18.866034049679037,71.51,71.18,71.77,70.96,7648000,1101.19,1096.11,1105.19,1092.72,7648000,-6.600000000000136,-0.0046
2007-01-08,1430.6,1440.0,1415.4,1423.8,AIG,8034000,18.963717555121406,18.963717555121406,71.19,71.53,72.0,70.77,8034000,1096.26,1101.5,1108.74,1089.79,8034000,7.0,0.0049
2007-01-09,1425.8,1438.0,1420.0,1435.0,AIG,5507300,18.896734579960924,18.896734579960924,71.75,71.29,71.9,71.0,5507300,1104.89,1097.8,1107.2,1093.34,5507300,-4.7999999999999545,-0.0034
2007-01-10,1427.6,1430.2,1415.0,1419.2,AIG,5293500,18.921853195646104,18.921853195646104,70.96,71.38,71.51,70.75,5293500,1092.72,1099.19,1101.19,1089.49,5293500,1.7999999999999545,0.0013
2007-01-11,1425.8,1434.2,1422.6,1432.6,AIG,7320400,18.896734579960924,18.896734579960924,71.63,71.29,71.71,71.13,7320400,1103.04,1097.8,1104.27,1095.34,7320400,-1.7999999999999545,-0.0013
2007-01-12,1421.4,1428.6,1415.8,1426.0,AIG,4697900,18.835333519397153,18.835333519397153,71.3,71.07,71.43,70.79,4697900,1097.96,1094.41,1099.96,1090.1,4697900,-4.399999999999864,-0.0031
2007-01-16,1423.4,1427.0,1418.4,1424.4,AIG,5411100,18.86324309238069,18.86324309238069,71.22,71.17,71.35,70.92,5411100,1096.72,1095.95,1098.73,1092.1,5411100,2.0,0.0014
2007-01-17,1428.2,1435.0,1422.4,1429.6,AIG,6599300,18.930226067541167,18.930226067541167,71.48,71.41,71.75,71.12,6599300,1100.73,1099.65,1104.89,1095.18,6599300,4.7999999999999545,0.0034
