date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,68.31,68.87,68.06,68.08,AMGN,5652112,0.0,0.0,68.08,68.31,68.87,68.06,5652112,48.3123,48.4755,48.8729,48.2981,5652112,0.0,0.0
2007-01-03,68.4,69.48,67.85,68.42,AMGN,12941647,0.0013175230566535414,0.0013175230566535414,68.42,68.4,69.48,67.85,12941647,49.55,49.54,50.32,49.14,12941647,0.09000000000000341,0.0013
2007-01-04,71.33,71.87,68.97,69.48,AMGN,16026139,0.04421021812326154,0.04421021812326154,69.48,71.33,71.87,68.97,16026139,50.32,51.66,52.05,49.95,16026139,2.9299999999999926,0.0428
2007-01-05,71.5,72.08,71.01,71.34,AMGN,10509198,0.04669887278582927,0.04669887278582927,71.34,71.5,72.08,71.01,10509198,51.66,51.78,52.2,51.43,10509198,0.1700000000000017,0.0024
2007-01-08,70.93,71.89,70.79,71.63,AMGN,6750081,0.03835456009369059,0.03835456009369059,71.63,70.93,71.89,70.79,6750081,51.87,51.37,52.06,51.27,6750081,-0.5699999999999932,-0.008
2007-01-09,71.27,71.68,70.67,71.25,AMGN,7181376,0.04333186941882585,0.04333186941882585,71.25,71.27,71.68,70.67,7181376,51.6,51.61,51.91,51.18,7181376,0.3399999999999892,0.0048
2007-01-10,71.04,71.24,70.7,70.9,AMGN,5780633,0.03996486605182263,0.03996486605182263,70.9,71.04,71.24,70.7,5780633,51.35,51.45,51.59,51.2,5780633,-0.22999999999998977,-0.0032
2007-01-11,71.91,72.21,70.74,71.16,AMGN,6873034,0.05270092226613957,0.05270092226613957,71.16,71.91,72.21,70.74,6873034,51.53,52.08,52.29,51.23,6873034,0.8699999999999903,0.0122
2007-01-12,73.27,73.57,72.0,72.02,AMGN,10114934,0.07261015956668121,0.07261015956668121,72.02,73.27,73.57,72.0,10114934,52.16,53.06,53.28,52.14,10114934,1.3599999999999994,0.0189
2007-01-16,73.5,73.58,72.77,73.27,AMGN,5465480,0.07597716293368463,0.07597716293368463,73.27,73.5,73.58,72.77,5465480,53.06,53.23,53.29,52.7,5465480,0.23000000000000398,0.0031
2007-01-17,73.93,74.08,73.2,73.5,AMGN,6535315,0.08227199531547363,0.08227199531547363,73.5,73.93,74.08,73.2,6535315,53.23,53.54,53.65,53.01,6535315,0.4300000000000068,0.0059
2007-01-18,73.69,74.35,73.36,73.86,AMGN,7544688,0.07875860049773087,0.07875860049773087,73.86,73.69,74.35,73.36,7544688,53.49,53.37,53.84,53.13,7544688,-0.2400000000000091,-0.0032
2007-01-19,74.25,74.56,73.75,73.94,AMGN,6791872,0.0869565217391304,0.0869565217391304,73.94,74.25,74.56,73.75,6791872,53.55,53.77,54.0,53.41,6791872,0.5600000000000023,0.0076
2007-01-22,75.85,76.95,75.51,75.75,AMGN,16810620,0.1103791538574146,0.1103791538574146,75.75,75.85,76.95,75.51,16810620,54.86,54.93,55.73,54.68,16810620,1.5999999999999943,0.0215
2007-01-23,74.6,75.85,74.35,75.24,AMGN,11221753,0.092080222515005,0.092080222515005,75.24,74.6,75.85,74.35,11221753,54.49,54.03,54.93,53.84,11221753,-1.25,-0.0165
2007-01-24,75.14,75.14,74.0,74.45,AMGN,7199292,0.09998536085492604,0.09998536085492604,74.45,75.14,75.14,74.0,7199292,53.92,54.42,54.42,53.59,7199292,0.5400000000000063,0.0072
2007-01-25,74.85,75.01,74.32,74.83,AMGN,11016495,0.09574000878348693,0.09574000878348693,74.83,74.85,75.01,74.32,11016495,54.19,54.21,54.32,53.82,11016495,-0.29000000000000625,-0.0039
2007-01-26,71.5,71.89,70.92,71.69,AMGN,30316496,0.04669887278582927,0.04669887278582927,71.69,71.5,71.89,70.92,30316496,51.92,51.78,52.06,51.36,30316496,-3.3499999999999943,-0.0448
2007-01-29,69.97,71.3,69.86,71.22,AMGN,13847399,0.024300980822719902,0.024300980822719902,71.22,69.97,71.3,69.86,13847399,51.58,50.67,51.64,50.59,13847399,-1.5300000000000011,-0.0214
2007-01-30,70.33,71.13,70.23,70.68,AMGN,11686982,0.02957107304933386,0.02957107304933386,70.68,70.33,71.13,70.23,11686982,51.19,50.93,51.51,50.86,11686982,0.35999999999999943,0.0051
2007-01-31,70.37,70.57,69.9,70.4,AMGN,8539102,0.03015663885229106,0.03015663885229106,70.4,70.37,70.57,69.9,8539102,50.98,50.96,51.11,50.62,8539102,0.04000000000000625,0.0006
2007-02-01,69.49,70.25,69.02,70.19,AMGN,13781108,0.017274191187234555,0.017274191187234555,70.19,69.49,70.25,69.02,13781108,50.83,50.32,50.88,49.98,13781108,-0.8800000000000097,-0.0125
