date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,67.93,68.73,67.88,68.45,AVY,302600,0.0,0.0,68.45,67.93,68.73,67.88,302600,45.947,45.5979,46.1349,45.5644,302600,0.0,0.0
2007-01-03,68.08,69.27,67.94,68.47,AVY,639100,0.002208155454143846,0.002208155454143846,68.47,68.08,69.27,67.94,639100,44.82,44.57,45.34,44.47,639100,0.14999999999999147,0.0022
2007-01-04,67.79,68.31,67.55,68.12,AVY,492500,-0.002060945090534382,-0.002060945090534382,68.12,67.79,68.31,67.55,492500,44.59,44.38,44.72,44.22,492500,-0.28999999999999204,-0.0043
2007-01-05,67.32,67.81,67.16,67.8,AVY,342900,-0.008979832180185684,-0.008979832180185684,67.8,67.32,67.81,67.16,342900,44.38,44.07,44.39,43.96,342900,-0.4700000000000131,-0.0069
2007-01-08,67.67,67.84,67.08,67.32,AVY,807700,-0.003827469453849626,-0.003827469453849626,67.32,67.67,67.84,67.08,807700,44.07,44.3,44.41,43.91,807700,0.3500000000000085,0.0052
2007-01-09,68.06,68.22,67.47,67.8,AVY,311800,0.0019137347269247084,0.0019137347269247084,67.8,68.06,68.22,67.47,311800,44.38,44.55,44.66,44.17,311800,0.39000000000000057,0.0058
2007-01-10,68.31,68.35,67.47,67.81,AVY,285700,0.005593993817164661,0.005593993817164661,67.81,68.31,68.35,67.47,285700,44.39,44.72,44.74,44.17,285700,0.25,0.0037
2007-01-11,68.69,69.0,68.6,68.85,AVY,472900,0.011187987634329322,0.011187987634329322,68.85,68.69,69.0,68.6,472900,45.07,44.96,45.17,44.91,472900,0.37999999999999545,0.0056
2007-01-12,68.69,68.99,68.54,68.7,AVY,283300,0.011187987634329322,0.011187987634329322,68.7,68.69,68.99,68.54,283300,44.97,44.96,45.16,44.87,283300,0.0,0.0
2007-01-16,68.87,69.04,68.75,68.85,AVY,333000,0.013837774179302188,0.013837774179302188,68.85,68.87,69.04,68.75,333000,45.07,45.08,45.19,45.0,333000,0.18000000000000682,0.0026
2007-01-17,68.9,69.21,68.6,68.7,AVY,250500,0.014279405270131,0.014279405270131,68.7,68.9,69.21,68.6,250500,44.97,45.1,45.3,44.91,250500,0.030000000000001137,0.0004
2007-01-18,68.22,69.48,68.07,69.05,AVY,416000,0.0042691005446782275,0.0042691005446782275,69.05,68.22,69.48,68.07,416000,45.2,44.66,45.48,44.56,416000,-0.6800000000000068,-0.0099
2007-01-19,68.83,69.04,68.25,68.35,AVY,293000,0.013248932724863704,0.013248932724863704,68.35,68.83,69.04,68.25,293000,44.74,45.06,45.19,44.68,293000,0.6099999999999994,0.0089
2007-01-22,68.47,68.81,68.15,68.78,AVY,347900,0.00794935963491818,0.00794935963491818,68.78,68.47,68.81,68.15,347900,45.02,44.82,45.04,44.61,347900,-0.35999999999999943,-0.0052
