date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,60.67,61.31,60.58,61.05,AXP,2239500,0.0,0.0,61.05,60.67,61.31,60.58,2239500,49.0513,48.746,49.2602,48.6737,2239500,0.0,0.0
2007-01-03,60.36,61.9,60.05,61.18,AXP,6143300,-0.005109609362122998,-0.005109609362122998,61.18,60.36,61.9,60.05,6143300,46.65,46.02,47.2,45.79,6143300,-0.3100000000000023,-0.0051
2007-01-04,59.92,60.57,59.79,60.23,AXP,5672900,-0.012361958134168452,-0.012361958134168452,60.23,59.92,60.57,59.79,5672900,45.93,45.69,46.18,45.59,5672900,-0.4399999999999977,-0.0073
2007-01-05,59.13,59.87,58.9,59.65,AXP,6818100,-0.025383220702159207,-0.025383220702159207,59.65,59.13,59.87,58.9,6818100,45.48,45.09,45.65,44.91,6818100,-0.7899999999999991,-0.0132
2007-01-08,59.69,59.76,58.35,59.03,AXP,5000600,-0.01615295862864684,-0.01615295862864684,59.03,59.69,59.76,58.35,5000600,45.01,45.51,45.57,44.49,5000600,0.5599999999999952,0.0095
2007-01-09,59.31,59.95,59.0,59.9,AXP,5064100,-0.022416350749958784,-0.022416350749958784,59.9,59.31,59.95,59.0,5064100,45.67,45.22,45.71,44.99,5064100,-0.37999999999999545,-0.0064
2007-01-10,59.27,59.37,58.71,59.24,AXP,4366800,-0.023075655183781088,-0.023075655183781088,59.24,59.27,59.37,58.71,4366800,45.17,45.19,45.27,44.77,4366800,-0.03999999999999915,-0.0007
2007-01-11,59.45,59.57,59.06,59.25,AXP,4204900,-0.02010878523158066,-0.02010878523158066,59.25,59.45,59.57,59.06,4204900,45.18,45.33,45.42,45.03,4204900,0.17999999999999972,0.003
2007-01-12,59.01,59.41,58.76,59.35,AXP,5002900,-0.027361134003626233,-0.027361134003626233,59.35,59.01,59.41,58.76,5002900,45.25,45.0,45.3,44.8,5002900,-0.44000000000000483,-0.0074
2007-01-16,59.13,59.18,58.68,58.85,AXP,5354200,-0.025383220702159207,-0.025383220702159207,58.85,59.13,59.18,58.68,5354200,44.87,45.09,45.12,44.74,5354200,0.12000000000000455,0.002
2007-01-17,59.22,59.5,59.0,59.16,AXP,4898000,-0.023899785726059053,-0.023899785726059053,59.16,59.22,59.5,59.0,4898000,45.11,45.16,45.37,44.99,4898000,0.0899999999999963,0.0015
