date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,49.19,50.09,49.0,49.35,BBY,3159100,0.0,0.0,49.35,49.19,50.09,49.0,3159100,32.5227,32.4172,33.0104,32.292,3159100,0.0,0.0
2007-01-03,49.06,50.3,48.53,49.15,BBY,6608400,-0.0026428135799958417,-0.0026428135799958417,49.15,49.06,50.3,48.53,6608400,30.58,30.53,31.3,30.2,6608400,-0.12999999999999545,-0.0026
2007-01-04,49.84,50.11,48.53,48.62,BBY,8753900,0.013214067899979786,0.013214067899979786,48.62,49.84,50.11,48.53,8753900,30.25,31.01,31.18,30.2,8753900,0.7800000000000011,0.0159
2007-01-05,50.0,51.8,49.77,51.35,BBY,14648700,0.01646676153689779,0.01646676153689779,51.35,50.0,51.8,49.77,14648700,31.95,31.11,32.23,30.97,14648700,0.1599999999999966,0.0032
2007-01-08,49.42,50.5,48.95,50.5,BBY,8388800,0.0046757471030698106,0.0046757471030698106,50.5,49.42,50.5,48.95,8388800,31.42,30.75,31.42,30.46,8388800,-0.5799999999999983,-0.0116
2007-01-09,49.04,49.47,48.6,49.4,BBY,8346700,-0.0030494002846106643,-0.0030494002846106643,49.4,49.04,49.47,48.6,8346700,30.74,30.51,30.78,30.24,8346700,-0.38000000000000256,-0.0077
2007-01-10,49.41,49.46,48.7,49.03,BBY,5196300,0.004472453750762327,0.004472453750762327,49.03,49.41,49.46,48.7,5196300,30.51,30.74,30.77,30.3,5196300,0.36999999999999744,0.0075
2007-01-11,50.04,50.74,49.11,50.23,BBY,7318000,0.01727993494612729,0.01727993494612729,50.23,50.04,50.74,49.11,7318000,31.25,31.13,31.57,30.56,7318000,0.6300000000000026,0.0128
2007-01-12,49.66,50.12,49.31,49.87,BBY,3756700,0.009554787558446817,0.009554787558446817,49.87,49.66,50.12,49.31,3756700,31.03,30.9,31.18,30.68,3756700,-0.38000000000000256,-0.0076
2007-01-16,48.96,49.98,48.9,49.47,BBY,5493600,-0.004675747103069667,-0.004675747103069667,49.47,48.96,49.98,48.9,5493600,30.78,30.46,31.1,30.43,5493600,-0.6999999999999957,-0.0141
2007-01-17,48.65,49.29,48.55,48.99,BBY,4090900,-0.010977841024598478,-0.010977841024598478,48.99,48.65,49.29,48.55,4090900,30.48,30.27,30.67,30.21,4090900,-0.3100000000000023,-0.0063
2007-01-18,49.18,49.43,48.01,48.3,BBY,5427000,-0.00020329335230733912,-0.00020329335230733912,48.3,49.18,49.43,48.01,5427000,30.05,30.6,30.76,29.87,5427000,0.5300000000000011,0.0109
2007-01-19,49.4,49.53,48.69,49.43,BBY,5503700,0.004269160398454988,0.004269160398454988,49.43,49.4,49.53,48.69,5503700,30.76,30.74,30.82,30.29,5503700,0.21999999999999886,0.0045
