date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,17.664,17.8053,17.5653,17.6773,BF.B,859874.9999999994,0.0,0.0,66.29,66.24,66.77,65.87,229300,14.0562,14.0456,14.158,13.9671,859874.9999999994,0.0,0.0
2007-01-03,66.34,68.14,65.98,68.14,BF.B,584400.0,2.7556612318840576,2.7556612318840576,68.14,66.34,68.14,65.98,584400,67.49,65.7,67.49,65.35,584400.0,48.676,2.7557
2007-01-04,65.42,66.55,65.16,66.25,BF.B,379700.0,2.7035778985507246,2.7035778985507246,66.25,65.42,66.55,65.16,379700,65.61,64.79,65.91,64.53,379700.0,-0.9200000000000017,-0.0139
2007-01-05,64.58,65.44,64.2,65.31,BF.B,399800.0,2.6560235507246372,2.6560235507246372,65.31,64.58,65.44,64.2,399800,64.68,63.96,64.81,63.58,399800.0,-0.8400000000000034,-0.0128
2007-01-08,64.9,65.07,64.21,64.5,BF.B,320800.0,2.674139492753623,2.674139492753623,64.5,64.9,65.07,64.21,320800,63.88,64.28,64.45,63.59,320800.0,0.3200000000000074,0.005
2007-01-09,65.03,65.25,64.85,65.05,BF.B,362200.0,2.6814990942028984,2.6814990942028984,65.05,65.03,65.25,64.85,362200,64.43,64.41,64.62,64.23,362200.0,0.12999999999999545,0.002
2007-01-10,65.11,65.25,64.73,64.95,BF.B,284700.0,2.6860280797101446,2.6860280797101446,64.95,65.11,65.25,64.73,284700,64.33,64.48,64.62,64.11,284700.0,0.0799999999999983,0.0012
2007-01-11,65.16,65.49,65.07,65.12,BF.B,293300.0,2.6888586956521734,2.6888586956521734,65.12,65.16,65.49,65.07,293300,64.49,64.53,64.86,64.45,293300.0,0.04999999999999716,0.0008
2007-01-12,65.47,65.47,65.0,65.17,BF.B,215000.0,2.7064085144927534,2.7064085144927534,65.17,65.47,65.47,65.0,215000,64.54,64.84,64.84,64.38,215000.0,0.3100000000000023,0.0048
2007-01-16,65.53,65.87,64.8,65.34,BF.B,336600.0,2.709805253623188,2.709805253623188,65.34,65.53,65.87,64.8,336600,64.71,64.9,65.24,64.18,336600.0,0.060000000000002274,0.0009
2007-01-17,65.63,65.97,65.1,65.3,BF.B,319000.0,2.7154664855072457,2.7154664855072457,65.3,65.63,65.97,65.1,319000,64.67,65.0,65.34,64.48,319000.0,0.09999999999999432,0.0015
2007-01-18,66.15,66.26,65.66,66.12,BF.B,314800.0,2.7449048913043477,2.7449048913043477,66.12,66.15,66.26,65.66,314800,65.49,65.51,65.62,65.03,314800.0,0.5200000000000102,0.0079
2007-01-19,65.91,66.3,65.64,66.3,BF.B,325200.0,2.731317934782608,2.731317934782608,66.3,65.91,66.3,65.64,325200,65.66,65.28,65.66,65.01,325200.0,-0.2400000000000091,-0.0036
2007-01-22,65.86,66.37,65.83,65.91,BF.B,344400.0,2.728487318840579,2.728487318840579,65.91,65.86,66.37,65.83,344400,65.28,65.23,65.73,65.2,344400.0,-0.04999999999999716,-0.0008
2007-01-23,65.75,66.14,65.54,65.81,BF.B,307900.0,2.7222599637681157,2.7222599637681157,65.81,65.75,66.14,65.54,307900,65.18,65.12,65.51,64.91,307900.0,-0.10999999999999943,-0.0017
2007-01-24,65.88,66.19,65.58,65.95,BF.B,336600.0,2.7296195652173907,2.7296195652173907,65.95,65.88,66.19,65.58,336600,65.32,65.25,65.55,64.95,336600.0,0.12999999999999545,0.002
2007-01-25,65.45,65.88,65.24,65.67,BF.B,226700.0,2.705276268115942,2.705276268115942,65.67,65.45,65.88,65.24,226700,65.04,64.82,65.25,64.61,226700.0,-0.4299999999999926,-0.0065
2007-01-26,65.1,65.66,64.87,65.46,BF.B,249000.0,2.6854619565217384,2.6854619565217384,65.46,65.1,65.66,64.87,249000,64.83,64.48,65.03,64.25,249000.0,-0.3500000000000085,-0.0053
2007-01-29,64.86,65.33,64.75,65.3,BF.B,310100.0,2.6718749999999996,2.6718749999999996,65.3,64.86,65.33,64.75,310100,64.67,64.24,64.7,64.13,310100.0,-0.23999999999999488,-0.0037
2007-01-30,64.96,65.23,64.68,64.87,BF.B,181900.0,2.677536231884057,2.677536231884057,64.87,64.96,65.23,64.68,181900,64.25,64.34,64.6,64.06,181900.0,0.09999999999999432,0.0015
2007-01-31,65.59,65.82,64.9,65.1,BF.B,226600.0,2.713201992753623,2.713201992753623,65.1,65.59,65.82,64.9,226600,64.48,64.96,65.19,64.28,226600.0,0.6300000000000097,0.0097
2007-02-01,66.18,66.19,65.35,65.55,BF.B,229900.0,2.7466032608695654,2.7466032608695654,65.55,66.18,66.19,65.35,229900,64.92,65.54,65.55,64.72,229900.0,0.5900000000000034,0.009
2007-02-02,66.19,66.63,65.9,66.55,BF.B,210000.0,2.7471693840579707,2.7471693840579707,66.55,66.19,66.63,65.9,210000,65.91,65.55,65.99,65.27,210000.0,0.009999999999990905,0.0002
2007-02-05,66.18,66.34,65.87,66.2,BF.B,307900.0,2.7466032608695654,2.7466032608695654,66.2,66.18,66.34,65.87,307900,65.56,65.54,65.7,65.24,307900.0,-0.009999999999990905,-0.0002
2007-02-06,65.19,66.33,64.9,66.0,BF.B,619800.0,2.6905570652173907,2.6905570652173907,66.0,65.19,66.33,64.9,619800,65.37,64.56,65.69,64.28,619800.0,-0.9900000000000091,-0.015
2007-02-07,65.54,65.99,65.02,65.44,BF.B,303500.0,2.7103713768115942,2.7103713768115942,65.44,65.54,65.99,65.02,303500,64.81,64.91,65.36,64.4,303500.0,0.3500000000000085,0.0054
2007-02-08,65.13,65.74,64.82,65.63,BF.B,340600.0,2.687160326086956,2.687160326086956,65.63,65.13,65.74,64.82,340600,65.0,64.5,65.11,64.2,340600.0,-0.4100000000000108,-0.0063
2007-02-09,65.05,65.59,64.75,65.14,BF.B,272900.0,2.6826313405797095,2.6826313405797095,65.14,65.05,65.59,64.75,272900,64.51,64.43,64.96,64.13,272900.0,-0.0799999999999983,-0.0012
2007-02-12,65.5,65.75,65.01,65.2,BF.B,163313.0,2.7081068840579707,2.7081068840579707,65.2,65.5,65.75,65.01,163313,64.57,64.87,65.12,64.39,163313.0,0.45000000000000284,0.0069
2007-02-13,65.9,66.22,65.5,65.5,BF.B,247169.0,2.730751811594203,2.730751811594203,65.5,65.9,66.22,65.5,247169,64.87,65.27,65.58,64.87,247169.0,0.4000000000000057,0.0061
2007-02-14,66.13,66.35,65.75,66.0,BF.B,242809.0,2.7437726449275357,2.7437726449275357,66.0,66.13,66.35,65.75,242809,65.37,65.5,65.71,65.12,242809.0,0.22999999999998977,0.0035
2007-02-15,66.19,66.5,66.0,66.36,BF.B,202000.0,2.7471693840579707,2.7471693840579707,66.36,66.19,66.5,66.0,202000,65.72,65.55,65.86,65.37,202000.0,0.060000000000002274,0.0009
2007-02-16,66.08,66.32,65.8,65.98,BF.B,229000.0,2.740942028985507,2.740942028985507,65.98,66.08,66.32,65.8,229000,65.35,65.45,65.68,65.17,229000.0,-0.10999999999999943,-0.0017
2007-02-20,67.73,68.25,67.01,68.05,BF.B,396900.0,2.834352355072464,2.834352355072464,68.05,67.73,68.25,67.01,396900,67.4,67.08,67.59,66.37,396900.0,1.6500000000000057,0.025
2007-02-21,67.26,68.05,67.2,67.92,BF.B,223500.0,2.807744565217391,2.807744565217391,67.92,67.26,68.05,67.2,223500,67.27,66.61,67.4,66.55,223500.0,-0.46999999999999886,-0.0069
2007-02-22,67.17,68.02,67.0,67.42,BF.B,192200.0,2.802649456521739,2.802649456521739,67.42,67.17,68.02,67.0,192200,66.77,66.53,67.37,66.36,192200.0,-0.09000000000000341,-0.0013
2007-02-23,66.66,67.5,66.46,66.95,BF.B,193500.0,2.773777173913043,2.773777173913043,66.95,66.66,67.5,66.46,193500,66.31,66.02,66.85,65.82,193500.0,-0.5100000000000051,-0.0076
2007-02-26,67.05,67.27,66.4,66.6,BF.B,252900.0,2.795855978260869,2.795855978260869,66.6,67.05,67.27,66.4,252900,65.96,66.41,66.62,65.76,252900.0,0.39000000000000057,0.0059
2007-02-27,64.85,67.85,64.53,66.92,BF.B,573100.0,2.671308876811594,2.671308876811594,66.92,64.85,67.85,64.53,573100,66.28,64.23,67.2,63.91,573100.0,-2.200000000000003,-0.0328
2007-02-28,65.4,65.77,64.86,64.86,BF.B,427900.0,2.702445652173913,2.702445652173913,64.86,65.4,65.77,64.86,427900,64.24,64.77,65.14,64.24,427900.0,0.5500000000000114,0.0085
2007-03-01,64.96,65.1,63.67,64.8,BF.B,386700.0,2.677536231884057,2.677536231884057,64.8,64.96,65.1,63.67,386700,64.18,64.34,64.48,63.06,386700.0,-0.44000000000001194,-0.0067
2007-03-02,64.25,65.65,63.55,64.96,BF.B,476100.0,2.637341485507246,2.637341485507246,64.96,64.25,65.65,63.55,476100,64.34,63.63,65.02,62.94,476100.0,-0.7099999999999937,-0.0109
2007-03-05,64.75,64.95,64.24,64.25,BF.B,384800.0,2.665647644927536,2.665647644927536,64.25,64.75,64.95,64.24,384800,63.63,64.13,64.33,63.62,384800.0,0.5,0.0078
