date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2007-01-03,60.35,61.02,60.07,60.5,CB,845800.0,0.0,0.0,60.5,60.35,61.02,60.07,845800,41.61795,41.514765,41.975658,41.322153,845800.0,0.0,0.0
2007-01-05,59.13,59.61,58.86,59.24,CB,708600.0,-0.020215410107705035,-0.020215410107705035,59.24,59.13,59.61,58.86,708600,40.751196,40.675527,41.005719,40.489794,708600.0,-1.2199999999999989,-0.0202
2007-01-08,59.16,59.29,58.49,58.88,CB,721100.0,-0.01971830985915501,-0.01971830985915501,58.88,59.16,59.29,58.49,721100,40.503552,40.696164,40.785591,40.235271,721100.0,0.02999999999999403,0.0005
2007-01-10,58.54,58.65,58.22,58.34,CB,850100.0,-0.029991714995857535,-0.029991714995857535,58.34,58.54,58.65,58.22,850100,40.132086,40.269666,40.345335,40.049538,850100.0,-0.6199999999999974,-0.0105
2007-01-11,59.26,59.44,58.14,58.55,CB,1107100.0,-0.01806130903065457,-0.01806130903065457,58.55,59.26,59.44,58.14,1107100,40.276545,40.764954,40.88877599999999,39.994506,1107100.0,0.7199999999999989,0.0123
2007-01-12,58.8,59.23,58.59,59.04,CB,762700.0,-0.02568351284175649,-0.02568351284175649,59.04,58.8,59.23,58.59,762700,40.61361599999999,40.44852,40.744317,40.304061,762700.0,-0.46000000000000085,-0.0078
2007-01-16,58.75,59.19,58.45,59.14,CB,743900.0,-0.02651201325600665,-0.02651201325600665,59.14,58.75,59.19,58.45,743900,40.682406,40.414125,40.716801,40.207755,743900.0,-0.04999999999999716,-0.0009
2007-01-18,59.26,59.98,59.21,59.97,CB,1052200.0,-0.01806130903065457,-0.01806130903065457,59.97,59.26,59.98,59.21,1052200,41.25336299999999,40.764954,41.260242,40.730559,1052200.0,0.509999999999998,0.0087
2007-01-19,59.3,59.68,59.2,59.4,CB,590400.0,-0.01739850869925442,-0.01739850869925442,59.4,59.3,59.68,59.2,590400,40.86126,40.79247,41.053872,40.72368,590400.0,0.03999999999999915,0.0007
2007-01-22,58.5,59.24,58.08,59.05,CB,1084000.0,-0.030654515327257686,-0.030654515327257686,59.05,58.5,59.24,58.08,1084000,40.620495,40.24215,40.751196,39.95323199999999,1084000.0,-0.7999999999999972,-0.0135
2007-01-23,58.54,59.1,58.31,58.31,CB,964700.0,-0.029991714995857535,-0.029991714995857535,58.31,58.54,59.1,58.31,964700,40.111449,40.269666,40.65489,40.111449,964700.0,0.03999999999999915,0.0007
2007-01-24,59.16,59.18,58.5,58.5,CB,714300.0,-0.01971830985915501,-0.01971830985915501,58.5,59.16,59.18,58.5,714300,40.24215,40.696164,40.709922,40.24215,714300.0,0.6199999999999974,0.0106
2007-01-25,58.65,59.4,58.47,59.21,CB,1120500.0,-0.028169014084507088,-0.028169014084507088,59.21,58.65,59.4,58.47,1120500,40.730559,40.345335,40.86126,40.221513,1120500.0,-0.509999999999998,-0.0086
2007-01-26,58.23,59.06,57.81,58.65,CB,1114700.0,-0.035128417564208855,-0.035128417564208855,58.65,58.23,59.06,57.81,1114700,40.345335,40.056417,40.627374,39.767499,1114700.0,-0.4200000000000017,-0.0072
2007-01-29,58.3,58.74,57.4,57.65,CB,934700.0,-0.03396851698425856,-0.03396851698425856,57.65,58.3,58.74,57.4,934700,39.657435,40.10457,40.407246,39.48546,934700.0,0.07000000000000028,0.0012
2007-01-31,57.78,59.8,57.76,59.75,CB,1750200.0,-0.04258492129246065,-0.04258492129246065,59.75,57.78,59.8,57.76,1750200,41.102025,39.746862,41.13642,39.733104,1750200.0,-0.519999999999996,-0.0089
2007-02-01,58.47,58.5,57.77,58.19,CB,1154500.0,-0.03115161557580783,-0.03115161557580783,58.19,58.47,58.5,57.77,1154500,40.028901,40.221513,40.24215,39.739983,1154500.0,0.6899999999999977,0.0119
2007-02-02,58.72,59.21,58.4,58.57,CB,646400.0,-0.027009113504556793,-0.027009113504556793,58.57,58.72,59.21,58.4,646400,40.290303,40.393488,40.730559,40.17336,646400.0,0.25,0.0043
2007-02-05,59.31,59.47,58.67,58.89,CB,771100.0,-0.017232808616404294,-0.017232808616404294,58.89,59.31,59.47,58.67,771100,40.510431,40.799349,40.909413,40.359093,771100.0,0.5900000000000034,0.01
2007-02-06,59.85,59.96,59.3,59.3,CB,635100.0,-0.008285004142502071,-0.008285004142502071,59.3,59.85,59.96,59.3,635100,40.79247,41.170815,41.246484,40.79247,635100.0,0.5399999999999991,0.0091
2007-02-07,59.58,59.78,59.22,59.64,CB,708500.0,-0.012758906379453242,-0.012758906379453242,59.64,59.58,59.78,59.22,708500,41.026356,40.985082,41.122662,40.737438,708500.0,-0.2700000000000031,-0.0045
2007-02-08,59.03,59.84,58.9,59.57,CB,2347100.0,-0.021872410936205473,-0.021872410936205473,59.57,59.03,59.84,58.9,2347100,40.978203,40.606737,41.163936,40.51731,2347100.0,-0.5499999999999972,-0.0092
2007-02-09,58.23,59.58,58.23,59.05,CB,993800.0,-0.035128417564208855,-0.035128417564208855,59.05,58.23,59.58,58.23,993800,40.620495,40.056417,40.985082,40.056417,993800.0,-0.8000000000000043,-0.0136
2007-02-12,58.13,58.65,58.01,58.23,CB,1172800.0,-0.03678541839270918,-0.03678541839270918,58.23,58.13,58.65,58.01,1172800,40.056417,39.987627,40.345335,39.90507899999999,1172800.0,-0.09999999999999432,-0.0017
2007-02-13,58.0,58.58,57.68,58.52,CB,1319400.0,-0.03893951946975976,-0.03893951946975976,58.52,58.0,58.58,57.68,1319400,40.255908,39.8982,40.297182,39.678072,1319400.0,-0.13000000000000256,-0.0022
2007-02-14,58.3,58.71,58.11,58.15,CB,662000.0,-0.03396851698425856,-0.03396851698425856,58.15,58.3,58.71,58.11,662000,40.001385,40.10457,40.386609,39.973869,662000.0,0.29999999999999716,0.0052
2007-02-15,58.55,58.85,58.3,58.35,CB,669300.0,-0.029826014913007525,-0.029826014913007525,58.35,58.55,58.85,58.3,669300,40.138965,40.276545,40.482915,40.10457,669300.0,0.25,0.0043
2007-02-16,58.66,58.92,58.27,58.28,CB,756700.0,-0.02800331400165708,-0.02800331400165708,58.28,58.66,58.92,58.27,756700,40.090812,40.352214,40.531068,40.083933,756700.0,0.10999999999999943,0.0019
