date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,43.8567,44.2167,43.8567,43.9533,CI,1128300.0000000012,0.0,0.0,131.86,131.57,132.65,131.57,376100,41.4139,41.3228,41.662,41.3228,1128300.0000000012,0.0,0.0
2007-01-03,43.93,44.33,43.52,44.27,CI,736800.0,0.001671352381734222,0.001671352381734222,132.83,131.79,132.99,130.57,736800,41.6,41.28,41.65,40.89,736800.0,0.07330000000000325,0.0017
2007-01-04,43.1,43.92,42.93,43.92,CI,1027700.0,-0.017253920153591017,-0.017253920153591017,131.78,129.3,131.78,128.8,1027700,41.27,40.5,41.27,40.34,1027700.0,-0.8299999999999983,-0.0189
2007-01-05,42.79,42.97,42.4,42.9,CI,957700.0,-0.024322395437869182,-0.024322395437869182,128.7,128.39,128.92,127.2,957700,40.31,40.21,40.38,39.84,957700.0,-0.3100000000000023,-0.0072
2007-01-08,42.88,43.0,42.37,42.71,CI,893900.0,-0.022270257452110944,-0.022270257452110944,128.14,128.64,129.0,127.12,893900,40.13,40.29,40.4,39.81,893900.0,0.09000000000000341,0.0021
2007-01-09,42.65,43.2,42.34,42.34,CI,630800.0,-0.027514610082381895,-0.027514610082381895,127.04,127.95,129.6,127.04,630800,39.79,40.07,40.59,39.79,630800.0,-0.23000000000000398,-0.0054
2007-01-10,42.91,43.03,42.33,42.46,CI,457800.0,-0.021586211456858358,-0.021586211456858358,127.4,128.73,129.09,127.0,457800,39.9,40.32,40.43,39.78,457800.0,0.259999999999998,0.0061
2007-01-11,43.52,43.55,42.75,42.91,CI,767900.0,-0.007677276220052885,-0.007677276220052885,128.73,130.58,130.66,128.25,767900,40.32,40.9,40.92,40.17,767900.0,0.6100000000000065,0.0142
2007-01-12,43.59,43.74,43.35,43.46,CI,462600.0,-0.00608116889779653,-0.00608116889779653,130.4,130.77,131.23,130.07,462600,40.84,40.96,41.1,40.74,462600.0,0.07000000000000028,0.0016
2007-01-16,43.58,43.76,43.33,43.43,CI,514500.0,-0.0063091842295475535,-0.0063091842295475535,130.3,130.76,131.28,130.01,514500,40.81,40.95,41.12,40.72,514500.0,-0.010000000000005116,-0.0002
