date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,14.11,14.33,14.0833,14.2,CMCSA,14796587.99999999,0.0,0.0,42.6,42.33,42.99,42.25,4932196,10.3219,10.2565,10.4164,10.2371,14796587.99999999,0.0,0.0
2007-01-03,14.22,14.3,13.95,14.13,CMCSA,54885750.0,0.007795889440113481,0.007795889440113481,42.39,42.66,42.9,41.84,13249420,10.23,10.3,10.36,10.1,54885750.0,0.11000000000000121,0.0078
2007-01-04,14.35,14.38,14.2,14.23,CMCSA,52822767.0,0.017009213323883787,0.017009213323883787,42.7,43.05,43.13,42.6,12751416,10.31,10.39,10.41,10.28,52822767.0,0.129999999999999,0.0091
2007-01-05,14.18,14.35,14.11,14.32,CMCSA,35553036.0,0.004961020552799454,0.004961020552799454,42.95,42.55,43.06,42.32,8582503,10.37,10.27,10.39,10.22,35553036.0,-0.16999999999999993,-0.0118
2007-01-08,14.16,14.27,14.02,14.13,CMCSA,42805597.0,0.003543586109142503,0.003543586109142503,42.38,42.47,42.8,42.05,10333271,10.23,10.25,10.33,10.15,42805597.0,-0.019999999999999574,-0.0014
2007-01-09,14.25,14.28,14.02,14.19,CMCSA,44573944.0,0.009922041105598908,0.009922041105598908,42.58,42.74,42.84,42.06,10760150,10.28,10.32,10.34,10.15,44573944.0,0.08999999999999986,0.0064
2007-01-10,14.3,14.31,14.08,14.11,CMCSA,38409963.0,0.01346562721474141,0.01346562721474141,42.33,42.91,42.94,42.25,9272165,10.22,10.36,10.37,10.2,38409963.0,0.05000000000000071,0.0035
2007-01-11,14.32,14.35,14.24,14.3,CMCSA,42140597.0,0.01488306165839836,0.01488306165839836,42.9,42.95,43.06,42.71,10172740,10.36,10.37,10.39,10.31,42140597.0,0.019999999999999574,0.0014
2007-01-12,14.7,14.71,14.37,14.38,CMCSA,70173293.0,0.04181431608788093,0.04181431608788093,43.15,44.09,44.12,43.1,16939833,10.42,10.64,10.65,10.4,70173293.0,0.379999999999999,0.0265
2007-01-16,14.82,14.96,14.68,14.74,CMCSA,58211048.0,0.050318922749822886,0.050318922749822886,44.23,44.47,44.89,44.03,14052147,10.68,10.74,10.84,10.63,58211048.0,0.120000000000001,0.0082
