date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,7.5813,7.6688,7.5238,7.6588,CTRA,3140799.9999999995,0.0,0.0,61.27,60.65,61.35,60.19,392600,6.95,6.8797,6.9591,6.8275,3140799.9999999995,0.0,0.0
2007-01-03,57.58,59.96,56.78,59.95,CTRA,786500.0,6.595003495442734,6.595003495442734,59.95,57.58,59.96,56.78,786500,50.05,48.07,50.05,47.4,786500.0,49.9987,6.595
2007-01-04,56.61,57.67,56.29,57.0,CTRA,731600.0,6.46705710102489,6.46705710102489,57.0,56.61,57.67,56.29,731600,47.58,47.26,48.14,46.99,731600.0,-0.9699999999999989,-0.0168
2007-01-05,57.18,57.48,56.2,56.61,CTRA,548700.0,6.5422420956827985,6.5422420956827985,56.61,57.18,57.48,56.2,548700,47.26,47.73,47.98,46.92,548700.0,0.5700000000000003,0.0101
2007-01-08,58.08,62.85,56.7,62.85,CTRA,549500.0,6.660955245142654,6.660955245142654,62.85,58.08,62.85,56.7,549500,52.47,48.49,52.47,47.33,549500.0,0.8999999999999986,0.0157
2007-01-09,57.36,58.22,55.76,56.65,CTRA,726300.0,6.565984725574769,6.565984725574769,56.65,57.36,58.22,55.76,726300,47.29,47.88,48.6,46.55,726300.0,-0.7199999999999989,-0.0124
2007-01-10,56.11,56.88,55.73,56.8,CTRA,598000.0,6.401105351324971,6.401105351324971,56.8,56.11,56.88,55.73,598000,47.42,46.84,47.48,46.52,598000.0,-1.25,-0.0218
2007-01-11,56.17,58.34,55.92,56.11,CTRA,508900.0,6.409019561288962,6.409019561288962,56.11,56.17,58.34,55.92,508900,46.84,46.89,48.7,46.68,508900.0,0.060000000000002274,0.0011
2007-01-12,58.87,59.0,56.48,56.48,CTRA,463000.0,6.765159009668527,6.765159009668527,56.48,58.87,59.0,56.48,463000,47.15,49.14,49.25,47.15,463000.0,2.6999999999999957,0.0481
2007-01-16,58.05,58.96,57.43,58.5,CTRA,574500.0,6.656998140160659,6.656998140160659,58.5,58.05,58.96,57.43,574500,48.84,48.46,49.22,47.94,574500.0,-0.8200000000000003,-0.0139
2007-01-17,58.69,58.93,57.65,57.7,CTRA,578000.0,6.741416379776555,6.741416379776555,57.7,58.69,58.93,57.65,578000,48.17,48.99,49.19,48.13,578000.0,0.6400000000000006,0.011
2007-01-18,58.08,59.65,57.5,58.68,CTRA,453000.0,6.660955245142654,6.660955245142654,58.68,58.08,59.65,57.5,453000,48.99,48.49,49.8,48.0,453000.0,-0.6099999999999994,-0.0104
2007-01-19,59.85,60.01,58.62,58.97,CTRA,532400.0,6.894424439080369,6.894424439080369,58.97,59.85,60.01,58.62,532400,49.23,49.96,50.1,48.94,532400.0,1.7700000000000031,0.0305
2007-01-22,60.21,60.84,59.36,60.26,CTRA,546200.0,6.941909698864311,6.941909698864311,60.26,60.21,60.84,59.36,546200,50.31,50.26,50.79,49.55,546200.0,0.35999999999999943,0.006
2007-01-23,62.67,62.83,60.39,60.39,CTRA,509500.0,7.266392307387916,7.266392307387916,60.39,62.67,62.83,60.39,509500,50.41,52.32,52.45,50.41,509500.0,2.460000000000001,0.0409
2007-01-24,63.24,63.42,61.29,62.12,CTRA,431100.0,7.341577302045824,7.341577302045824,62.12,63.24,63.42,61.29,431100,51.86,52.79,52.94,51.16,431100.0,0.5700000000000003,0.0091
2007-01-25,61.31,63.02,60.95,62.99,CTRA,469900.0,7.087003548204135,7.087003548204135,62.99,61.31,63.02,60.95,469900,52.58,51.18,52.61,50.88,469900.0,-1.9299999999999997,-0.0305
2007-01-26,62.34,62.42,61.41,61.65,CTRA,360900.0,7.222864152585969,7.222864152585969,61.65,62.34,62.42,61.41,360900,51.47,52.04,52.11,51.27,360900.0,1.0300000000000011,0.0168
2007-01-29,62.25,63.32,61.9,62.34,CTRA,510400.0,7.210992837639983,7.210992837639983,62.34,62.25,63.32,61.9,510400,52.04,51.97,52.86,51.67,510400.0,-0.09000000000000341,-0.0014
2007-01-30,63.84,64.36,62.02,62.36,CTRA,674700.0,7.420719401685727,7.420719401685727,62.36,63.84,64.36,62.02,674700,52.06,53.29,53.73,51.77,674700.0,1.5900000000000034,0.0255
2007-01-31,64.86,65.45,63.18,63.6,CTRA,809600.0,7.5552609710735625,7.5552609710735625,63.6,64.86,65.45,63.18,809600,53.09,54.15,54.64,52.74,809600.0,1.019999999999996,0.016
2007-02-01,65.29,65.97,64.46,65.3,CTRA,835900.0,7.611979475815494,7.611979475815494,65.3,65.29,65.97,64.46,835900,54.51,54.5,55.07,53.81,835900.0,0.4300000000000068,0.0066
2007-02-02,64.85,65.93,64.06,65.49,CTRA,503500.0,7.553941936079564,7.553941936079564,65.49,64.85,65.93,64.06,503500,54.67,54.14,55.04,53.48,503500.0,-0.44000000000001194,-0.0067
2007-02-05,65.99,66.56,65.14,65.3,CTRA,440100.0,7.7043119253953805,7.7043119253953805,65.3,65.99,66.56,65.14,440100,54.51,55.09,55.56,54.38,440100.0,1.1400000000000006,0.0176
2007-02-06,65.36,66.79,65.0,66.13,CTRA,821400.0,7.6212127207734826,7.6212127207734826,66.13,65.36,66.79,65.0,821400,55.21,54.56,55.76,54.26,821400.0,-0.6299999999999955,-0.0095
2007-02-07,64.65,66.06,63.8,65.64,CTRA,532000.0,7.527561236199597,7.527561236199597,65.64,64.65,66.06,63.8,532000,54.8,53.97,55.15,53.26,532000.0,-0.7099999999999937,-0.0109
2007-02-08,65.99,66.44,64.39,64.5,CTRA,472000.0,7.7043119253953805,7.7043119253953805,64.5,65.99,66.44,64.39,472000,53.84,55.09,55.46,53.75,472000.0,1.3399999999999892,0.0207
2007-02-09,65.86,66.46,65.42,66.34,CTRA,257100.0,7.687164470473402,7.687164470473402,66.34,65.86,66.46,65.42,257100,55.38,54.98,55.48,54.61,257100.0,-0.12999999999999545,-0.002
2007-02-12,64.19,65.46,63.58,65.26,CTRA,367754.0,7.466885626475671,7.466885626475671,65.26,64.19,65.46,63.58,367754,54.48,53.59,54.65,53.08,367754.0,-1.6700000000000017,-0.0254
