date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2014-09-17,69.25,69.31,68.25,68.25,DD,3147727,0.0,0.0,68.25,69.25,69.31,68.25,3147727,58.060275,58.910975,58.962017,58.060275,3147727,0.0,0.0
2017-09-01,67.18,0.0,0.0,0.0,DD,2608295,-0.02989169675090243,-0.02989169675090243,,67.18,,,2608295,,61.26816000000001,,,2608295,-2.069999999999993,-0.0299
2017-09-05,64.98,67.17,64.98,67.02,DD,10832692,-0.061660649819494526,-0.061660649819494526,67.02,64.98,67.17,64.98,10832692,61.12,59.26,61.26,59.26,10832692,-2.200000000000003,-0.0327
2017-09-06,64.87,65.33,64.01,65.2,DD,10345913,-0.06324909747292412,-0.06324909747292412,65.2,64.87,65.33,64.01,10345913,59.46,59.16,59.58,58.38,10345913,-0.10999999999999943,-0.0017
2017-09-07,64.68,64.95,64.22,64.6,DD,6382521,-0.06599277978339341,-0.06599277978339341,64.6,64.68,64.95,64.22,6382521,58.92,58.99,59.23,58.57,6382521,-0.18999999999999773,-0.0029
2017-09-08,64.85,65.2,64.64,64.9,DD,8099999,-0.0635379061371842,-0.0635379061371842,64.9,64.85,65.2,64.64,8099999,59.19,59.14,59.46,58.95,8099999,0.1699999999999875,0.0026
2017-09-11,66.85,67.16,65.2,65.25,DD,11567033,-0.03465703971119142,-0.03465703971119142,65.25,66.85,67.16,65.2,11567033,59.51,60.97,61.25,59.46,11567033,2.0,0.0308
2017-09-12,68.52,69.25,67.8,68.2,DD,14631020,-0.010541516245487423,-0.010541516245487423,68.2,68.52,69.25,67.8,14631020,62.2,62.49,63.16,61.83,14631020,1.6700000000000017,0.025
2017-09-13,69.5,69.6,68.29,68.9,DD,9223585,0.0036101083032490976,0.0036101083032490976,68.9,69.5,69.6,68.29,9223585,62.84,63.38,63.48,62.28,9223585,0.980000000000004,0.0143
2017-09-14,70.02,70.3,69.22,69.6,DD,12264841,0.011119133574007163,0.011119133574007163,69.6,70.02,70.3,69.22,12264841,63.48,63.86,64.11,63.13,12264841,0.519999999999996,0.0075
2017-09-15,69.86,70.7,69.5,70.26,DD,32382148,0.00880866425992779,0.00880866425992779,70.26,69.86,70.7,69.5,32382148,64.08,63.71,64.48,63.38,32382148,-0.1599999999999966,-0.0023
2017-09-18,69.77,70.37,69.62,70.0,DD,7193708,0.007509025270758065,0.007509025270758065,70.0,69.77,70.37,69.62,7193708,63.84,63.63,64.18,63.49,7193708,-0.09000000000000341,-0.0013
2017-09-19,70.05,70.11,69.64,70.02,DD,6713280,0.011552346570397071,0.011552346570397071,70.02,70.05,70.11,69.64,6713280,63.86,63.89,63.94,63.51,6713280,0.28000000000000114,0.004
2017-09-20,70.41,70.5,69.66,70.28,DD,6812432,0.016750902527075763,0.016750902527075763,70.28,70.41,70.5,69.66,6812432,64.1,64.21,64.3,63.53,6812432,0.35999999999999943,0.0051
2017-09-21,70.32,70.5,70.1,70.41,DD,4450285,0.015451263537906039,0.015451263537906039,70.41,70.32,70.5,70.1,4450285,64.21,64.13,64.3,63.93,4450285,-0.09000000000000341,-0.0013
2017-09-22,69.96,70.23,69.68,70.14,DD,4078750,0.010252707581227347,0.010252707581227347,70.14,69.96,70.23,69.68,4078750,63.97,63.8,64.05,63.55,4078750,-0.35999999999999943,-0.0051
2017-09-25,70.34,70.38,69.21,70.07,DD,6419196,0.015740072202166114,0.015740072202166114,70.07,70.34,70.38,69.21,6419196,63.9,64.15,64.19,63.12,6419196,0.38000000000000966,0.0054
2017-09-26,69.35,70.48,69.33,70.26,DD,5244251,0.001444043321299557,0.001444043321299557,70.26,69.35,70.48,69.33,5244251,64.08,63.25,64.27,63.23,5244251,-0.9900000000000091,-0.0141
2017-09-27,68.8,69.52,68.27,69.52,DD,7044021,-0.006498194945848417,-0.006498194945848417,69.52,68.8,69.52,68.27,7044021,63.4,62.75,63.4,62.26,7044021,-0.5499999999999972,-0.0079
2017-09-28,69.06,69.07,67.77,68.44,DD,7885679,-0.0027436823104692813,-0.0027436823104692813,68.44,69.06,69.07,67.77,7885679,62.42,62.98,62.99,61.81,7885679,0.2600000000000051,0.0038
