date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,35.8383,36.3201,35.7313,36.213,DRI,901849.6498812644,0.0,0.0,40.59,40.17,40.71,40.05,804600,22.8208,22.5847,22.8883,22.5172,901849.6498812644,0.0,0.0
2007-01-03,40.32,40.68,39.93,40.17,DRI,1546700.0,0.12505336469642822,0.12505336469642822,40.17,40.32,40.68,39.93,1546700,24.8,24.89,25.11,24.65,1546700.0,4.481700000000004,0.1251
2007-01-04,39.95,40.3,39.6,40.3,DRI,1893300.0,0.114729214276347,0.114729214276347,40.3,39.95,40.3,39.6,1893300,24.88,24.66,24.88,24.45,1893300.0,-0.36999999999999744,-0.0092
2007-01-05,39.13,39.74,39.02,39.5,DRI,2055800.0,0.09184866469670733,0.09184866469670733,39.5,39.13,39.74,39.02,2055800,24.38,24.15,24.53,24.09,2055800.0,-0.8200000000000003,-0.0205
2007-01-08,38.72,39.06,38.51,39.06,DRI,1785700.0,0.0804083899068874,0.0804083899068874,39.06,38.72,39.06,38.51,1785700,24.11,23.9,24.11,23.77,1785700.0,-0.4100000000000037,-0.0105
2007-01-09,38.85,39.18,38.55,38.9,DRI,1632100.0,0.08403579410853765,0.08403579410853765,38.9,38.85,39.18,38.55,1632100,24.01,23.98,24.19,23.8,1632100.0,0.13000000000000256,0.0034
2007-01-10,38.75,38.91,38.44,38.64,DRI,1716200.0,0.08124548318419131,0.08124548318419131,38.64,38.75,38.91,38.44,1716200,23.85,23.92,24.02,23.73,1716200.0,-0.10000000000000142,-0.0026
2007-01-11,39.57,39.65,38.99,38.99,DRI,1698600.0,0.10412603276383098,0.10412603276383098,38.99,39.57,39.65,38.99,1698600,24.07,24.43,24.48,24.07,1698600.0,0.8200000000000003,0.0212
2007-01-12,39.43,39.81,39.35,39.58,DRI,1404500.0,0.10021959746974615,0.10021959746974615,39.58,39.43,39.81,39.35,1404500,24.43,24.34,24.57,24.29,1404500.0,-0.14000000000000057,-0.0035
2007-01-16,40.06,40.3,39.91,40.3,DRI,1713200.0,0.11779855629312791,0.11779855629312791,40.3,40.06,40.3,39.91,1713200,24.88,24.73,24.88,24.64,1713200.0,0.6300000000000026,0.016
2007-01-17,40.18,40.6,40.04,40.6,DRI,1883800.0,0.1211469294023434,0.1211469294023434,40.6,40.18,40.6,40.04,1883800,25.06,24.8,25.06,24.72,1883800.0,0.11999999999999744,0.003
2007-01-18,40.09,40.28,39.92,40.19,DRI,1783100.0,0.11863564957043184,0.11863564957043184,40.19,40.09,40.28,39.92,1783100,24.81,24.75,24.86,24.64,1783100.0,-0.0899999999999963,-0.0022
2007-01-19,39.91,40.25,39.7,40.11,DRI,1336700.0,0.1136130899066083,0.1136130899066083,40.11,39.91,40.25,39.7,1336700,24.76,24.64,24.85,24.51,1336700.0,-0.18000000000000682,-0.0045
2007-01-22,39.34,39.95,39.1,39.9,DRI,1618400.0,0.09770831763783458,0.09770831763783458,39.9,39.34,39.95,39.1,1618400,24.63,24.28,24.66,24.14,1618400.0,-0.5699999999999932,-0.0143
2007-01-23,39.23,39.59,39.05,39.33,DRI,1214500.0,0.09463897562105347,0.09463897562105347,39.33,39.23,39.59,39.05,1214500,24.28,24.22,24.44,24.11,1214500.0,-0.11000000000000654,-0.0028
2007-01-24,39.34,39.5,39.2,39.25,DRI,1767000.0,0.09770831763783458,0.09770831763783458,39.25,39.34,39.5,39.2,1767000,24.23,24.28,24.38,24.2,1767000.0,0.11000000000000654,0.0028
2007-01-25,38.79,39.4,38.72,39.22,DRI,1081700.0,0.08236160755392981,0.08236160755392981,39.22,38.79,39.4,38.72,1081700,24.21,23.95,24.32,23.9,1081700.0,-0.5500000000000043,-0.014
2007-01-26,38.32,38.92,38.15,38.76,DRI,1141200.0,0.06924714620950223,0.06924714620950223,38.76,38.32,38.92,38.15,1141200,23.93,23.65,24.03,23.55,1141200.0,-0.46999999999999886,-0.0121
2007-01-29,38.61,38.9,38.39,38.6,DRI,1135200.0,0.07733904789010648,0.07733904789010648,38.6,38.61,38.9,38.39,1135200,23.83,23.83,24.01,23.7,1135200.0,0.28999999999999915,0.0076
2007-01-30,38.68,38.78,38.3,38.63,DRI,1029900.0,0.0792922655371489,0.0792922655371489,38.63,38.68,38.78,38.3,1029900,23.85,23.88,23.94,23.64,1029900.0,0.07000000000000028,0.0018
2007-01-31,39.14,39.32,38.61,38.68,DRI,1945900.0,0.0921276957891419,0.0921276957891419,38.68,39.14,39.32,38.61,1945900,23.88,24.16,24.27,23.83,1945900.0,0.46000000000000085,0.0119
2007-02-01,39.55,39.62,38.98,39.15,DRI,1532600.0,0.10356797057896164,0.10356797057896164,39.15,39.55,39.62,38.98,1532600,24.17,24.41,24.46,24.06,1532600.0,0.4099999999999966,0.0105
2007-02-02,40.28,40.59,39.8,40.25,DRI,2298000.0,0.12393724032668973,0.12393724032668973,40.25,40.28,40.59,39.8,2298000,24.85,24.86,25.06,24.57,2298000.0,0.730000000000004,0.0185
2007-02-05,40.1,40.71,39.97,40.29,DRI,1726100.0,0.11891468066286641,0.11891468066286641,40.29,40.1,40.71,39.97,1726100,24.87,24.75,25.13,24.67,1726100.0,-0.17999999999999972,-0.0045
2007-02-06,40.41,40.5,40.0,40.06,DRI,1759700.0,0.1275646445283398,0.1275646445283398,40.06,40.41,40.5,40.0,1759700,24.73,24.95,25.0,24.69,1759700.0,0.30999999999999517,0.0077
2007-02-07,41.49,41.49,40.26,40.3,DRI,2659300.0,0.15770000251128,0.15770000251128,40.3,41.49,41.49,40.26,2659300,24.88,25.61,25.61,24.85,2659300.0,1.0800000000000054,0.0267
2007-02-08,41.76,41.88,41.42,41.53,DRI,2308300.0,0.16523384200701488,0.16523384200701488,41.53,41.76,41.88,41.42,2308300,25.64,25.78,25.85,25.57,2308300.0,0.269999999999996,0.0065
2007-02-09,41.38,41.91,41.35,41.7,DRI,1923500.0,0.15463066049449908,0.15463066049449908,41.7,41.38,41.91,41.35,1923500,25.74,25.54,25.87,25.53,1923500.0,-0.37999999999999545,-0.0091
2007-02-12,41.25,41.44,41.0,41.37,DRI,1126750.0,0.15100325629284883,0.15100325629284883,41.37,41.25,41.44,41.0,1126750,25.54,25.46,25.58,25.31,1126750.0,-0.13000000000000256,-0.0031
2007-02-13,42.64,42.97,41.9,41.91,DRI,2677051.0,0.1897885781412624,0.1897885781412624,41.91,42.64,42.97,41.9,2677051,25.87,26.32,26.53,25.86,2677051.0,1.3900000000000006,0.0337
2007-02-14,42.55,42.9,42.45,42.64,DRI,1237599.0,0.18727729830935064,0.18727729830935064,42.64,42.55,42.9,42.45,1237599,26.32,26.27,26.48,26.2,1237599.0,-0.09000000000000341,-0.0021
2007-02-15,42.63,42.69,42.34,42.6,DRI,1298800.0,0.18950954704882783,0.18950954704882783,42.6,42.63,42.69,42.34,1298800,26.3,26.32,26.35,26.14,1298800.0,0.0800000000000054,0.0019
2007-02-16,42.71,43.23,42.39,42.43,DRI,1951100.0,0.19174179578830483,0.19174179578830483,42.43,42.71,43.23,42.39,1951100,26.19,26.36,26.69,26.17,1951100.0,0.0799999999999983,0.0019
2007-02-20,42.7,43.01,42.41,42.55,DRI,1141200.0,0.19146276469587026,0.19146276469587026,42.55,42.7,43.01,42.41,1141200,26.27,26.36,26.55,26.18,1141200.0,-0.00999999999999801,-0.0002
2007-02-21,42.66,43.0,42.34,42.63,DRI,1408200.0,0.19034664032613155,0.19034664032613155,42.63,42.66,43.0,42.34,1408200,26.32,26.33,26.54,26.14,1408200.0,-0.04000000000000625,-0.0009
2007-02-22,42.62,43.0,42.38,42.7,DRI,1178500.0,0.18923051595639306,0.18923051595639306,42.7,42.62,43.0,42.38,1178500,26.36,26.31,26.54,26.16,1178500.0,-0.03999999999999915,-0.0009
2007-02-23,42.66,42.8,42.4,42.45,DRI,1199600.0,0.19034664032613155,0.19034664032613155,42.45,42.66,42.8,42.4,1199600,26.2,26.33,26.42,26.17,1199600.0,0.03999999999999915,0.0009
2007-02-26,42.02,42.69,41.93,42.6,DRI,992256.0,0.17248865041031541,0.17248865041031541,42.6,42.02,42.69,41.93,992256,26.3,25.94,26.35,25.88,992256.0,-0.6399999999999935,-0.015
2007-02-27,40.75,41.75,40.51,41.75,DRI,1371800.0,0.13705170167111733,0.13705170167111733,41.75,40.75,41.75,40.51,1371800,25.77,25.15,25.77,25.01,1371800.0,-1.2700000000000031,-0.0302
2007-02-28,40.99,41.25,40.46,41.0,DRI,1210500.0,0.1437484478895485,0.1437484478895485,41.0,40.99,41.25,40.46,1210500,25.31,25.3,25.46,24.98,1210500.0,0.240000000000002,0.0059
2007-03-01,40.5,40.9,40.01,40.13,DRI,1674254.0,0.13007592436025156,0.13007592436025156,40.13,40.5,40.9,40.01,1674254,24.77,25.0,25.25,24.7,1674254.0,-0.490000000000002,-0.012
2007-03-02,39.79,40.54,39.77,40.3,DRI,1553300.0,0.11026471679739282,0.11026471679739282,40.3,39.79,40.54,39.77,1553300,24.88,24.56,25.03,24.55,1553300.0,-0.7100000000000009,-0.0175
2007-03-05,39.08,39.7,39.08,39.51,DRI,1228600.0,0.09045350923453406,0.09045350923453406,39.51,39.08,39.7,39.08,1228600,24.39,24.12,24.51,24.12,1228600.0,-0.7100000000000009,-0.0178
2007-03-06,39.54,39.76,39.19,39.64,DRI,1249900.0,0.10328893948652706,0.10328893948652706,39.64,39.54,39.76,39.19,1249900,24.47,24.41,24.54,24.19,1249900.0,0.46000000000000085,0.0118
2007-03-07,39.28,39.8,39.26,39.54,DRI,1132300.0,0.09603413108322674,0.09603413108322674,39.54,39.28,39.8,39.26,1132300,24.41,24.25,24.57,24.24,1132300.0,-0.259999999999998,-0.0066
2007-03-08,39.87,40.26,39.54,39.65,DRI,1037900.0,0.1124969655368698,0.1124969655368698,39.65,39.87,40.26,39.54,1037900,24.48,24.61,24.85,24.41,1037900.0,0.5899999999999963,0.015
2007-03-09,39.8,40.1,39.58,40.1,DRI,942900.0,0.11054374788982739,0.11054374788982739,40.1,39.8,40.1,39.58,942900,24.75,24.57,24.75,24.43,942900.0,-0.07000000000000028,-0.0018
2007-03-12,40.01,40.13,39.66,39.8,DRI,897800.0,0.11640340083095464,0.11640340083095464,39.8,40.01,40.13,39.66,897800,24.57,24.7,24.77,24.48,897800.0,0.21000000000000085,0.0053
2007-03-13,39.23,40.0,39.2,39.75,DRI,982400.0,0.09463897562105347,0.09463897562105347,39.75,39.23,40.0,39.2,982400,24.54,24.22,24.69,24.2,982400.0,-0.7800000000000011,-0.0195
2007-03-14,39.61,39.93,38.94,39.37,DRI,1872800.0,0.10524215713356948,0.10524215713356948,39.37,39.61,39.93,38.94,1872800,24.3,24.45,24.65,24.04,1872800.0,0.38000000000000256,0.0097
2007-03-15,39.61,40.08,39.47,39.55,DRI,1116800.0,0.10524215713356948,0.10524215713356948,39.55,39.61,40.08,39.47,1116800,24.41,24.45,24.74,24.36,1116800.0,0.0,0.0
2007-03-16,39.43,40.44,39.26,39.64,DRI,1046800.0,0.10021959746974615,0.10021959746974615,39.64,39.43,40.44,39.26,1046800,24.47,24.34,24.96,24.24,1046800.0,-0.17999999999999972,-0.0045
2007-03-19,40.67,40.99,40.18,39.43,DRI,1873500.0,0.13481945293164033,0.13481945293164033,39.43,40.67,40.99,40.18,1873500,24.34,25.11,25.3,24.8,1873500.0,1.240000000000002,0.0314
2007-03-20,41.33,41.5,40.43,40.67,DRI,1614603.0,0.1532355050323258,0.1532355050323258,40.67,41.33,41.5,40.43,1614603,25.11,25.51,25.62,24.96,1614603.0,0.6599999999999966,0.0162
2007-03-21,40.57,41.04,39.93,41.04,DRI,3206001.0,0.132029142007294,0.132029142007294,41.04,40.57,41.04,39.93,3206001,25.33,25.04,25.33,24.65,3206001.0,-0.759999999999998,-0.0184
2007-03-22,40.76,40.88,40.25,40.57,DRI,1786200.0,0.1373307327635519,0.1373307327635519,40.57,40.76,40.88,40.25,1786200,25.04,25.16,25.24,24.85,1786200.0,0.18999999999999773,0.0047
