date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,67.08,67.4,66.54,67.4,DVN,2707400,0.0,0.0,67.4,67.08,67.4,66.54,2707400,46.7612,46.5392,46.7612,46.1645,2707400,0.0,0.0
2007-01-03,64.86,66.25,64.24,66.03,DVN,6298600,-0.03309481216457959,-0.03309481216457959,66.03,64.86,66.25,64.24,6298600,48.61,47.75,48.77,47.29,6298600,-2.219999999999999,-0.0331
2007-01-04,63.7,64.87,63.24,64.87,DVN,6473100,-0.05038759689922474,-0.05038759689922474,64.87,63.7,64.87,63.24,6473100,47.76,46.9,47.76,46.56,6473100,-1.1599999999999966,-0.0179
2007-01-05,65.32,65.73,63.75,63.76,DVN,6938100,-0.026237328562910035,-0.026237328562910035,63.76,65.32,65.73,63.75,6938100,46.94,48.09,48.39,46.93,6938100,1.6199999999999903,0.0254
2007-01-08,65.62,66.89,64.56,66.75,DVN,4900700,-0.021765056648777488,-0.021765056648777488,66.75,65.62,66.89,64.56,4900700,49.14,48.31,49.24,47.53,4900700,0.30000000000001137,0.0046
2007-01-09,65.65,66.21,64.06,64.62,DVN,6362300,-0.02131782945736423,-0.02131782945736423,64.62,65.65,66.21,64.06,6362300,47.57,48.33,48.74,47.16,6362300,0.030000000000001137,0.0005
2007-01-10,64.67,67.55,63.85,65.6,DVN,4381900,-0.03592725104353006,-0.03592725104353006,65.6,64.67,67.55,63.85,4381900,48.29,47.61,49.73,47.01,4381900,-0.980000000000004,-0.0149
2007-01-11,63.99,66.27,63.69,64.1,DVN,5288700,-0.046064400715563454,-0.046064400715563454,64.1,63.99,66.27,63.69,5288700,47.19,47.11,48.79,46.89,5288700,-0.6799999999999997,-0.0105
2007-01-12,65.63,65.96,64.07,64.33,DVN,5243200,-0.021615980918306542,-0.021615980918306542,64.33,65.63,65.96,64.07,5243200,47.36,48.32,48.56,47.17,5243200,1.6399999999999935,0.0256
2007-01-16,64.89,66.0,64.56,65.2,DVN,4402700,-0.03264758497316633,-0.03264758497316633,65.2,64.89,66.0,64.56,4402700,48.0,47.77,48.59,47.53,4402700,-0.7399999999999949,-0.0113
2007-01-17,65.7,66.49,64.73,64.98,DVN,4533200,-0.020572450805008878,-0.020572450805008878,64.98,65.7,66.49,64.73,4533200,47.84,48.37,48.95,47.65,4533200,0.8100000000000023,0.0125
2007-01-18,65.74,66.39,64.9,66.03,DVN,4985300,-0.019976147883124677,-0.019976147883124677,66.03,65.74,66.39,64.9,4985300,48.61,48.4,48.88,47.78,4985300,0.03999999999999204,0.0006
2007-01-19,67.66,67.9,65.89,66.2,DVN,4503300,0.008646392367322574,0.008646392367322574,66.2,67.66,67.9,65.89,4503300,48.74,49.81,49.99,48.51,4503300,1.9200000000000017,0.0292
