date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,40.6,41.21,40.6,40.77,EFX,453100,0.0,0.0,40.77,40.6,41.21,40.6,453100,34.316,34.1729,34.6864,34.1729,453100,0.0,0.0
2007-01-03,40.01,40.53,39.86,40.5,EFX,1097900,-0.014532019704433581,-0.014532019704433581,40.5,40.01,40.53,39.86,1097900,33.98,33.56,34.0,33.44,1097900,-0.5900000000000034,-0.0145
2007-01-04,40.36,40.5,39.37,40.08,EFX,491400,-0.005911330049261133,-0.005911330049261133,40.08,40.36,40.5,39.37,491400,33.62,33.86,33.98,33.03,491400,0.3500000000000014,0.0087
2007-01-05,39.74,40.29,39.62,40.29,EFX,716700,-0.0211822660098522,-0.0211822660098522,40.29,39.74,40.29,39.62,716700,33.8,33.34,33.8,33.24,716700,-0.6199999999999974,-0.0154
2007-01-08,39.88,39.95,39.37,39.8,EFX,529900,-0.01773399014778322,-0.01773399014778322,39.8,39.88,39.95,39.37,529900,33.39,33.46,33.51,33.03,529900,0.14000000000000057,0.0035
2007-01-09,39.73,40.13,39.6,39.97,EFX,453500,-0.02142857142857154,-0.02142857142857154,39.97,39.73,40.13,39.6,453500,33.53,33.33,33.67,33.22,453500,-0.15000000000000568,-0.0038
2007-01-10,39.82,39.91,39.44,39.69,EFX,527900,-0.01921182266009855,-0.01921182266009855,39.69,39.82,39.91,39.44,527900,33.3,33.4,33.48,33.09,527900,0.09000000000000341,0.0023
2007-01-11,39.85,39.93,39.53,39.74,EFX,576100,-0.018472906403940885,-0.018472906403940885,39.74,39.85,39.93,39.53,576100,33.34,33.43,33.5,33.16,576100,0.030000000000001137,0.0008
2007-01-12,40.05,40.06,39.64,39.98,EFX,722700,-0.013546798029556755,-0.013546798029556755,39.98,40.05,40.06,39.64,722700,33.54,33.6,33.61,33.25,722700,0.19999999999999574,0.005
2007-01-16,40.25,40.4,40.01,40.09,EFX,491000,-0.008620689655172448,-0.008620689655172448,40.09,40.25,40.4,40.01,491000,33.63,33.77,33.89,33.56,491000,0.20000000000000284,0.005
2007-01-17,40.63,40.75,40.25,40.36,EFX,499400,0.0007389162561576635,0.0007389162561576635,40.36,40.63,40.75,40.25,499400,33.86,34.08,34.19,33.77,499400,0.38000000000000256,0.0094
2007-01-18,40.37,41.35,40.32,40.43,EFX,501900,-0.00566502463054197,-0.00566502463054197,40.43,40.37,41.35,40.32,501900,33.92,33.87,34.69,33.82,501900,-0.2600000000000051,-0.0064
2007-01-19,40.56,40.56,40.2,40.46,EFX,647400,-0.0009852216748768262,-0.0009852216748768262,40.46,40.56,40.56,40.2,647400,33.94,34.03,34.03,33.72,647400,0.19000000000000483,0.0047
2007-01-22,40.68,40.76,40.32,40.5,EFX,525000,0.0019704433497536524,0.0019704433497536524,40.5,40.68,40.76,40.32,525000,33.98,34.13,34.19,33.82,525000,0.11999999999999744,0.003
2007-01-23,40.62,40.8,40.48,40.65,EFX,436600,0.0004926108374383256,0.0004926108374383256,40.65,40.62,40.8,40.48,436600,34.1,34.08,34.23,33.96,436600,-0.060000000000002274,-0.0015
2007-01-24,40.78,40.84,40.54,40.68,EFX,494000,0.004433497536945805,0.004433497536945805,40.68,40.78,40.84,40.54,494000,34.13,34.21,34.26,34.01,494000,0.1600000000000037,0.0039
2007-01-25,40.47,40.89,40.39,40.87,EFX,466300,-0.0032019704433498167,-0.0032019704433498167,40.87,40.47,40.89,40.39,466300,34.29,33.95,34.3,33.88,466300,-0.3100000000000023,-0.0076
2007-01-26,40.05,40.5,39.86,40.47,EFX,573100,-0.013546798029556755,-0.013546798029556755,40.47,40.05,40.5,39.86,573100,33.95,33.6,33.98,33.44,573100,-0.4200000000000017,-0.0104
2007-01-29,40.48,40.78,39.89,40.0,EFX,576900,-0.002955665024630654,-0.002955665024630654,40.0,40.48,40.78,39.89,576900,33.56,33.96,34.21,33.46,576900,0.4299999999999997,0.0107
2007-01-30,40.54,40.65,40.27,40.58,EFX,356800,-0.001477832512315327,-0.001477832512315327,40.58,40.54,40.65,40.27,356800,34.04,34.01,34.1,33.78,356800,0.060000000000002274,0.0015
2007-01-31,41.53,41.64,40.2,40.5,EFX,764400,0.02290640394088669,0.02290640394088669,40.5,41.53,41.64,40.2,764400,33.98,34.84,34.93,33.72,764400,0.990000000000002,0.0244
2007-02-01,40.45,41.95,40.38,41.58,EFX,935900,-0.003694581280788142,-0.003694581280788142,41.58,40.45,41.95,40.38,935900,34.88,33.93,35.19,33.87,935900,-1.0799999999999983,-0.026
2007-02-02,41.05,41.17,40.45,40.45,EFX,732800,0.011083743842364427,0.011083743842364427,40.45,41.05,41.17,40.45,732800,33.93,34.44,34.54,33.93,732800,0.5999999999999943,0.0148
2007-02-05,40.75,41.1,40.6,41.0,EFX,416400,0.003694581280788142,0.003694581280788142,41.0,40.75,41.1,40.6,416400,34.39,34.19,34.48,34.06,416400,-0.29999999999999716,-0.0073
2007-02-06,40.91,40.96,40.56,40.76,EFX,359500,0.007635467980295447,0.007635467980295447,40.76,40.91,40.96,40.56,359500,34.19,34.32,34.36,34.03,359500,0.1599999999999966,0.0039
2007-02-07,41.22,41.28,40.92,40.92,EFX,410300,0.01527093596059107,0.01527093596059107,40.92,41.22,41.28,40.92,410300,34.33,34.58,34.63,34.33,410300,0.3100000000000023,0.0076
2007-02-08,41.6,41.72,41.21,41.22,EFX,596700,0.02463054187192118,0.02463054187192118,41.22,41.6,41.72,41.21,596700,34.58,34.9,35.0,34.57,596700,0.38000000000000256,0.0092
2007-02-09,41.6,41.82,41.46,41.57,EFX,571400,0.02463054187192118,0.02463054187192118,41.57,41.6,41.82,41.46,571400,34.87,34.9,35.08,34.78,571400,0.0,0.0
2007-02-12,41.62,41.8,41.54,41.67,EFX,388126,0.025123152709359508,0.025123152709359508,41.67,41.62,41.8,41.54,388126,34.96,34.92,35.07,34.85,388126,0.01999999999999602,0.0005
2007-02-13,41.69,41.84,41.62,41.65,EFX,330105,0.026847290640393998,0.026847290640393998,41.65,41.69,41.84,41.62,330105,34.94,34.97,35.1,34.92,330105,0.07000000000000028,0.0017
2007-02-14,41.91,42.0,41.69,41.69,EFX,273044,0.03226600985221663,0.03226600985221663,41.69,41.91,42.0,41.69,273044,34.97,35.16,35.23,34.97,273044,0.21999999999999886,0.0053
2007-02-15,39.63,41.26,38.89,40.73,EFX,4551600,-0.023891625615763516,-0.023891625615763516,40.73,39.63,41.26,38.89,4551600,34.17,33.25,34.61,32.62,4551600,-2.279999999999994,-0.0544
2007-02-16,39.73,39.87,39.32,39.56,EFX,1277700,-0.02142857142857154,-0.02142857142857154,39.56,39.73,39.87,39.32,1277700,33.19,33.33,33.45,32.99,1277700,0.09999999999999432,0.0025
2007-02-20,40.32,40.48,39.56,39.73,EFX,1166100,-0.006896551724137959,-0.006896551724137959,39.73,40.32,40.48,39.56,1166100,33.37,33.86,34.0,33.22,1166100,0.5900000000000034,0.0149
2007-02-21,40.05,40.25,39.75,40.25,EFX,631700,-0.013546798029556755,-0.013546798029556755,40.25,40.05,40.25,39.75,631700,33.8,33.63,33.8,33.38,631700,-0.2700000000000031,-0.0067
2007-02-22,40.05,40.3,39.9,40.03,EFX,554400,-0.013546798029556755,-0.013546798029556755,40.03,40.05,40.3,39.9,554400,33.62,33.63,33.84,33.51,554400,0.0,0.0
2007-02-23,39.53,40.0,39.26,40.0,EFX,898300,-0.02635467980295567,-0.02635467980295567,40.0,39.53,40.0,39.26,898300,33.59,33.2,33.59,32.97,898300,-0.519999999999996,-0.013
2007-02-26,38.85,39.49,38.84,39.45,EFX,970829,-0.043103448275862065,-0.043103448275862065,39.45,38.85,39.49,38.84,970829,33.13,32.63,33.16,32.62,970829,-0.6799999999999997,-0.0172
2007-02-27,37.66,38.7,37.46,38.7,EFX,1591200,-0.07241379310344839,-0.07241379310344839,38.7,37.66,38.7,37.46,1591200,32.5,31.63,32.5,31.46,1591200,-1.1900000000000048,-0.0306
2007-02-28,38.68,38.92,37.68,37.88,EFX,2042700,-0.04729064039408871,-0.04729064039408871,37.88,38.68,38.92,37.68,2042700,31.81,32.48,32.69,31.64,2042700,1.0200000000000031,0.0271
2007-03-01,38.62,38.68,38.0,38.48,EFX,1501110,-0.048768472906404035,-0.048768472906404035,38.48,38.62,38.68,38.0,1501110,32.32,32.43,32.48,31.91,1501110,-0.060000000000002274,-0.0016
2007-03-02,37.73,38.64,37.68,38.43,EFX,918400,-0.0706896551724139,-0.0706896551724139,38.43,37.73,38.64,37.68,918400,32.27,31.69,32.45,31.64,918400,-0.8900000000000006,-0.023
2007-03-05,36.52,37.65,35.91,37.53,EFX,1194700,-0.10049261083743838,-0.10049261083743838,37.53,36.52,37.65,35.91,1194700,31.52,30.67,31.62,30.16,1194700,-1.2099999999999937,-0.0321
2007-03-06,37.27,37.38,36.8,36.92,EFX,1495400,-0.08201970443349749,-0.08201970443349749,36.92,37.27,37.38,36.8,1495400,31.01,31.3,31.39,30.9,1495400,0.75,0.0205
2007-03-07,37.17,37.35,36.9,37.12,EFX,511200,-0.08448275862068964,-0.08448275862068964,37.12,37.17,37.35,36.9,511200,31.17,31.22,31.37,30.99,511200,-0.10000000000000142,-0.0027
2007-03-08,37.49,37.59,37.21,37.4,EFX,641500,-0.07660098522167486,-0.07660098522167486,37.4,37.49,37.59,37.21,641500,31.41,31.48,31.57,31.25,641500,0.3200000000000003,0.0086
2007-03-09,37.26,37.71,37.04,37.6,EFX,585900,-0.08226600985221683,-0.08226600985221683,37.6,37.26,37.71,37.04,585900,31.58,31.29,31.67,31.11,585900,-0.23000000000000398,-0.0061
2007-03-12,37.27,37.45,37.07,37.19,EFX,862100,-0.08201970443349749,-0.08201970443349749,37.19,37.27,37.45,37.07,862100,31.23,31.3,31.45,31.13,862100,0.010000000000005116,0.0003
2007-03-13,36.88,37.24,36.71,37.18,EFX,971200,-0.09162561576354676,-0.09162561576354676,37.18,36.88,37.24,36.71,971200,31.22,30.97,31.27,30.83,971200,-0.39000000000000057,-0.0105
2007-03-14,36.88,37.08,36.26,37.0,EFX,1246100,-0.09162561576354676,-0.09162561576354676,37.0,36.88,37.08,36.26,1246100,31.07,30.97,31.14,30.45,1246100,0.0,0.0
2007-03-15,36.95,37.24,36.89,36.93,EFX,546196,-0.08990147783251227,-0.08990147783251227,36.93,36.95,37.24,36.89,546196,31.01,31.03,31.27,30.98,546196,0.07000000000000028,0.0019
2007-03-16,36.97,37.24,36.78,37.07,EFX,947091,-0.08940886699507396,-0.08940886699507396,37.07,36.97,37.24,36.78,947091,31.13,31.05,31.27,30.89,947091,0.01999999999999602,0.0005
2007-03-19,37.02,37.25,36.88,37.1,EFX,694364,-0.08817733990147779,-0.08817733990147779,37.1,37.02,37.25,36.88,694364,31.16,31.09,31.28,30.97,694364,0.05000000000000426,0.0014
2007-03-20,37.02,37.22,36.94,37.09,EFX,576714,-0.08817733990147779,-0.08817733990147779,37.09,37.02,37.22,36.94,576714,31.15,31.09,31.26,31.02,576714,0.0,0.0
2007-03-21,37.23,37.38,36.89,37.12,EFX,909300,-0.0830049261083745,-0.0830049261083745,37.12,37.23,37.38,36.89,909300,31.17,31.27,31.39,30.98,909300,0.20999999999999375,0.0057
2007-03-22,37.75,37.82,37.09,37.13,EFX,1018100,-0.07019704433497541,-0.07019704433497541,37.13,37.75,37.82,37.09,1018100,31.18,31.7,31.76,31.15,1018100,0.5200000000000031,0.014
2007-03-23,37.76,37.94,37.55,37.75,EFX,838000,-0.06995073891625624,-0.06995073891625624,37.75,37.76,37.94,37.55,838000,31.7,31.71,31.86,31.53,838000,0.00999999999999801,0.0003
2007-03-26,37.65,37.9,37.44,37.7,EFX,818745,-0.07266009852216755,-0.07266009852216755,37.7,37.65,37.9,37.44,818745,31.66,31.62,31.83,31.44,818745,-0.10999999999999943,-0.0029
2007-03-27,37.4,37.45,37.22,37.42,EFX,729600,-0.07881773399014785,-0.07881773399014785,37.42,37.4,37.45,37.22,729600,31.43,31.41,31.45,31.26,729600,-0.25,-0.0066
2007-03-28,36.67,37.35,36.56,37.35,EFX,926200,-0.09679802955665023,-0.09679802955665023,37.35,36.67,37.35,36.56,926200,31.37,30.8,31.37,30.7,926200,-0.7299999999999969,-0.0195
2007-03-29,36.55,36.9,36.34,36.87,EFX,618200,-0.09975369458128089,-0.09975369458128089,36.87,36.55,36.9,36.34,618200,30.96,30.69,30.99,30.52,618200,-0.12000000000000455,-0.0033
2007-03-30,36.45,36.84,36.14,36.57,EFX,894906,-0.10221674876847286,-0.10221674876847286,36.57,36.45,36.84,36.14,894906,30.71,30.61,30.94,30.35,894906,-0.09999999999999432,-0.0027
2007-04-02,37.12,37.25,36.5,36.5,EFX,777900,-0.08571428571428581,-0.08571428571428581,36.5,37.12,37.25,36.5,777900,30.65,31.17,31.28,30.65,777900,0.6699999999999946,0.0184
2007-04-03,37.46,37.5,37.05,37.13,EFX,693600,-0.07733990147783253,-0.07733990147783253,37.13,37.46,37.5,37.05,693600,31.18,31.46,31.49,31.11,693600,0.3400000000000034,0.0092
2007-04-04,37.05,37.52,36.98,37.41,EFX,529478,-0.0874384236453203,-0.0874384236453203,37.41,37.05,37.52,36.98,529478,31.42,31.11,31.51,31.06,529478,-0.4100000000000037,-0.0109
2007-04-05,37.14,37.17,36.96,36.97,EFX,333700,-0.08522167487684731,-0.08522167487684731,36.97,37.14,37.17,36.96,333700,31.05,31.19,31.22,31.04,333700,0.09000000000000341,0.0024
2007-04-09,37.28,37.3,37.12,37.22,EFX,341100,-0.08177339901477833,-0.08177339901477833,37.22,37.28,37.3,37.12,341100,31.26,31.31,31.32,31.17,341100,0.14000000000000057,0.0038
2007-04-10,37.35,37.51,37.3,37.35,EFX,583300,-0.08004926108374384,-0.08004926108374384,37.35,37.35,37.51,37.3,583300,31.37,31.37,31.5,31.32,583300,0.07000000000000028,0.0019
2007-04-11,37.24,37.33,37.18,37.3,EFX,917750,-0.08275862068965516,-0.08275862068965516,37.3,37.24,37.33,37.18,917750,31.32,31.27,31.35,31.22,917750,-0.10999999999999943,-0.0029
2007-04-12,37.61,37.75,37.25,37.33,EFX,1176400,-0.07364532019704438,-0.07364532019704438,37.33,37.61,37.75,37.25,1176400,31.35,31.58,31.7,31.28,1176400,0.36999999999999744,0.0099
2007-04-13,37.62,37.75,37.45,37.62,EFX,1027500,-0.07339901477832522,-0.07339901477832522,37.62,37.62,37.75,37.45,1027500,31.59,31.59,31.7,31.45,1027500,0.00999999999999801,0.0003
2007-04-16,38.01,38.1,37.68,37.68,EFX,700600,-0.06379310344827595,-0.06379310344827595,37.68,38.01,38.1,37.68,700600,31.64,31.92,32.0,31.64,700600,0.39000000000000057,0.0104
2007-04-17,38.23,38.37,37.69,37.89,EFX,915830,-0.05837438423645331,-0.05837438423645331,37.89,38.23,38.37,37.69,915830,31.82,32.11,32.22,31.65,915830,0.21999999999999886,0.0058
2007-04-18,38.39,38.5,38.0,38.27,EFX,871536,-0.05443349753694583,-0.05443349753694583,38.27,38.39,38.5,38.0,871536,32.14,32.24,32.33,31.91,871536,0.1600000000000037,0.0042
2007-04-19,38.68,39.08,38.17,38.27,EFX,1179137,-0.04729064039408871,-0.04729064039408871,38.27,38.68,39.08,38.17,1179137,32.14,32.48,32.82,32.06,1179137,0.28999999999999915,0.0076
2007-04-20,39.43,39.5,39.02,39.15,EFX,1421519,-0.028817733990147823,-0.028817733990147823,39.15,39.43,39.5,39.02,1421519,32.88,33.11,33.17,32.77,1421519,0.75,0.0194
2007-04-23,39.44,40.21,39.04,40.0,EFX,904800,-0.02857142857142866,-0.02857142857142866,40.0,39.44,40.21,39.04,904800,33.59,33.12,33.77,32.79,904800,0.00999999999999801,0.0003
2007-04-24,40.57,40.97,39.49,39.49,EFX,1921988,-0.0007389162561576635,-0.0007389162561576635,39.49,40.57,40.97,39.49,1921988,33.16,34.07,34.41,33.16,1921988,1.1300000000000026,0.0287
