date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2012-03-30,7.34,8.24,7.06,7.5,ENPH,5049113,0.0,0.0,7.5,7.34,8.24,7.06,5049113,7.5,7.34,8.24,7.06,5049113,0.0,0.0
2012-04-02,7.81,8.2,7.4,7.65,ENPH,495411,0.0640326975476839,0.0640326975476839,7.65,7.81,8.2,7.4,495411,7.65,7.81,8.2,7.4,495411,0.46999999999999975,0.064
2012-04-03,7.64,7.8,7.5,7.75,ENPH,316629,0.04087193460490461,0.04087193460490461,7.75,7.64,7.8,7.5,316629,7.75,7.64,7.8,7.5,316629,-0.16999999999999993,-0.0218
2012-04-04,7.45,7.77,7.31,7.77,ENPH,165098,0.01498637602179841,0.01498637602179841,7.77,7.45,7.77,7.31,165098,7.77,7.45,7.77,7.31,165098,-0.1899999999999995,-0.0249
2012-04-05,7.43,7.55,7.37,7.48,ENPH,104300,0.012261580381471371,0.012261580381471371,7.48,7.43,7.55,7.37,104300,7.48,7.43,7.55,7.37,104300,-0.020000000000000462,-0.0027
2012-04-09,6.98,7.89,6.62,7.89,ENPH,123211,-0.049046321525885485,-0.049046321525885485,7.89,6.98,7.89,6.62,123211,7.89,6.98,7.89,6.62,123211,-0.4499999999999993,-0.0606
2012-04-10,7.07,7.23,6.97,7.09,ENPH,247217,-0.03678474114441411,-0.03678474114441411,7.09,7.07,7.23,6.97,247217,7.09,7.07,7.23,6.97,247217,0.08999999999999986,0.0129
2012-04-11,7.13,7.53,7.0,7.25,ENPH,161810,-0.028610354223433238,-0.028610354223433238,7.25,7.13,7.53,7.0,161810,7.25,7.13,7.53,7.0,161810,0.05999999999999961,0.0085
2012-04-12,7.3,7.56,7.08,7.56,ENPH,41686,-0.005449591280653956,-0.005449591280653956,7.56,7.3,7.56,7.08,41686,7.56,7.3,7.56,7.08,41686,0.16999999999999993,0.0238
2012-04-13,7.1,7.69,7.0,7.69,ENPH,92175,-0.03269754768392374,-0.03269754768392374,7.69,7.1,7.69,7.0,92175,7.69,7.1,7.69,7.0,92175,-0.20000000000000018,-0.0274
2012-04-16,7.16,7.16,6.73,7.15,ENPH,70145,-0.024523160762942742,-0.024523160762942742,7.15,7.16,7.16,6.73,70145,7.15,7.16,7.16,6.73,70145,0.0600000000000005,0.0085
2012-04-17,7.0,7.15,6.8,7.15,ENPH,108533,-0.046321525885558566,-0.046321525885558566,7.15,7.0,7.15,6.8,108533,7.15,7.0,7.15,6.8,108533,-0.16000000000000014,-0.0223
2012-04-18,7.29,7.3,6.82,6.96,ENPH,54240,-0.006811989100817414,-0.006811989100817414,6.96,7.29,7.3,6.82,54240,6.96,7.29,7.3,6.82,54240,0.29000000000000004,0.0414
2012-04-19,7.04,7.29,7.0,7.21,ENPH,23093,-0.04087193460490461,-0.04087193460490461,7.21,7.04,7.29,7.0,23093,7.21,7.04,7.29,7.0,23093,-0.25,-0.0343
2012-04-20,7.02,7.19,7.02,7.14,ENPH,32403,-0.04359673024523165,-0.04359673024523165,7.14,7.02,7.19,7.02,32403,7.14,7.02,7.19,7.02,32403,-0.020000000000000462,-0.0028
2012-04-23,6.98,7.2,6.85,7.0,ENPH,15577,-0.049046321525885485,-0.049046321525885485,7.0,6.98,7.2,6.85,15577,7.0,6.98,7.2,6.85,15577,-0.03999999999999915,-0.0057
2012-04-24,6.91,7.12,6.84,7.09,ENPH,86002,-0.058583106267029936,-0.058583106267029936,7.09,6.91,7.12,6.84,86002,7.09,6.91,7.12,6.84,86002,-0.07000000000000028,-0.01
2012-04-25,6.88,6.96,6.84,6.94,ENPH,21363,-0.06267029972752043,-0.06267029972752043,6.94,6.88,6.96,6.84,21363,6.94,6.88,6.96,6.84,21363,-0.03000000000000025,-0.0043
2012-04-26,6.86,6.9,6.8,6.9,ENPH,14997,-0.06539509536784735,-0.06539509536784735,6.9,6.86,6.9,6.8,14997,6.9,6.86,6.9,6.8,14997,-0.019999999999999574,-0.0029
2012-04-27,6.75,6.85,6.75,6.84,ENPH,24107,-0.08038147138964576,-0.08038147138964576,6.84,6.75,6.85,6.75,24107,6.84,6.75,6.85,6.75,24107,-0.11000000000000032,-0.016
2012-04-30,7.28,7.45,7.09,7.2,ENPH,259773,-0.008174386920980874,-0.008174386920980874,7.2,7.28,7.45,7.09,259773,7.2,7.28,7.45,7.09,259773,0.5300000000000002,0.0785
2012-05-01,7.92,8.1,7.18,7.5,ENPH,362394,0.0790190735694823,0.0790190735694823,7.5,7.92,8.1,7.18,362394,7.5,7.92,8.1,7.18,362394,0.6399999999999997,0.0879
2012-05-02,8.0,8.0,7.75,8.0,ENPH,65625,0.08991825613079021,0.08991825613079021,8.0,8.0,8.0,7.75,65625,8.0,8.0,8.0,7.75,65625,0.08000000000000007,0.0101
2012-05-03,8.82,9.57,7.95,8.09,ENPH,278870,0.20163487738419625,0.20163487738419625,8.09,8.82,9.57,7.95,278870,8.09,8.82,9.57,7.95,278870,0.8200000000000003,0.1025
2012-05-04,8.36,9.45,7.57,8.79,ENPH,171009,0.1389645776566757,0.1389645776566757,8.79,8.36,9.45,7.57,171009,8.79,8.36,9.45,7.57,171009,-0.46000000000000085,-0.0522
2012-05-07,8.34,8.4,7.73,8.37,ENPH,87416,0.1362397820163488,0.1362397820163488,8.37,8.34,8.4,7.73,87416,8.37,8.34,8.4,7.73,87416,-0.019999999999999574,-0.0024
2012-05-08,8.48,8.71,8.04,8.3,ENPH,87228,0.15531335149863768,0.15531335149863768,8.3,8.48,8.71,8.04,87228,8.3,8.48,8.71,8.04,87228,0.14000000000000057,0.0168
2012-05-09,8.65,8.89,8.22,8.61,ENPH,116808,0.17847411444141698,0.17847411444141698,8.61,8.65,8.89,8.22,116808,8.61,8.65,8.89,8.22,116808,0.16999999999999993,0.02
2012-05-10,8.6,8.94,8.3,8.94,ENPH,80737,0.17166212534059944,0.17166212534059944,8.94,8.6,8.94,8.3,80737,8.94,8.6,8.94,8.3,80737,-0.05000000000000071,-0.0058
2012-05-11,8.43,8.74,8.37,8.74,ENPH,40820,0.14850136239782014,0.14850136239782014,8.74,8.43,8.74,8.37,40820,8.74,8.43,8.74,8.37,40820,-0.16999999999999993,-0.0198
2012-05-14,8.22,8.64,8.09,8.4,ENPH,84625,0.11989100817438703,0.11989100817438703,8.4,8.22,8.64,8.09,84625,8.4,8.22,8.64,8.09,84625,-0.20999999999999908,-0.0249
2012-05-15,8.4,8.53,8.22,8.27,ENPH,20712,0.14441416893732978,0.14441416893732978,8.27,8.4,8.53,8.22,20712,8.27,8.4,8.53,8.22,20712,0.17999999999999972,0.0219
2012-05-16,8.32,8.47,8.17,8.33,ENPH,14703,0.13351498637602185,0.13351498637602185,8.33,8.32,8.47,8.17,14703,8.33,8.32,8.47,8.17,14703,-0.08000000000000007,-0.0095
2012-05-17,8.41,8.45,8.13,8.41,ENPH,43446,0.14577656675749323,0.14577656675749323,8.41,8.41,8.45,8.13,43446,8.41,8.41,8.45,8.13,43446,0.08999999999999986,0.0108
2012-05-18,7.99,8.4,7.75,8.32,ENPH,40544,0.08855585831062675,0.08855585831062675,8.32,7.99,8.4,7.75,40544,8.32,7.99,8.4,7.75,40544,-0.41999999999999993,-0.0499
2012-05-21,8.1,8.41,8.0,8.06,ENPH,56570,0.10354223433242504,0.10354223433242504,8.06,8.1,8.41,8.0,56570,8.06,8.1,8.41,8.0,56570,0.10999999999999943,0.0138
2012-05-22,7.99,8.49,7.81,8.49,ENPH,33171,0.08855585831062675,0.08855585831062675,8.49,7.99,8.49,7.81,33171,8.49,7.99,8.49,7.81,33171,-0.10999999999999943,-0.0136
2012-05-23,7.9,8.34,7.75,8.34,ENPH,30826,0.07629427792915539,0.07629427792915539,8.34,7.9,8.34,7.75,30826,8.34,7.9,8.34,7.75,30826,-0.08999999999999986,-0.0113
2012-05-24,7.85,7.88,7.6,7.8,ENPH,55704,0.06948228882833785,0.06948228882833785,7.8,7.85,7.88,7.6,55704,7.8,7.85,7.88,7.6,55704,-0.05000000000000071,-0.0063
2012-05-25,7.79,7.86,7.7,7.82,ENPH,34409,0.06130790190735697,0.06130790190735697,7.82,7.79,7.86,7.7,34409,7.82,7.79,7.86,7.7,34409,-0.05999999999999961,-0.0076
2012-05-29,7.8,8.06,7.7,7.7,ENPH,32318,0.06267029972752043,0.06267029972752043,7.7,7.8,8.06,7.7,32318,7.7,7.8,8.06,7.7,32318,0.009999999999999787,0.0013
2012-05-30,7.01,7.8,7.0,7.79,ENPH,69653,-0.04495912806539511,-0.04495912806539511,7.79,7.01,7.8,7.0,69653,7.79,7.01,7.8,7.0,69653,-0.79,-0.1013
2012-05-31,6.9,7.45,6.85,7.12,ENPH,42956,-0.059945504087193395,-0.059945504087193395,7.12,6.9,7.45,6.85,42956,7.12,6.9,7.45,6.85,42956,-0.10999999999999943,-0.0157
2012-06-01,5.95,7.92,5.83,7.43,ENPH,174965,-0.18937329700272476,-0.18937329700272476,7.43,5.95,7.92,5.83,174965,7.43,5.95,7.92,5.83,174965,-0.9500000000000002,-0.1377
2012-06-04,4.96,5.98,4.9,5.98,ENPH,127145,-0.3242506811989101,-0.3242506811989101,5.98,4.96,5.98,4.9,127145,5.98,4.96,5.98,4.9,127145,-0.9900000000000002,-0.1664
2012-06-05,5.33,5.7,5.05,5.19,ENPH,204437,-0.273841961852861,-0.273841961852861,5.19,5.33,5.7,5.05,204437,5.19,5.33,5.7,5.05,204437,0.3700000000000001,0.0746
2012-06-06,6.69,6.7,5.39,5.45,ENPH,107655,-0.08855585831062664,-0.08855585831062664,5.45,6.69,6.7,5.39,107655,5.45,6.69,6.7,5.39,107655,1.3600000000000003,0.2552
2012-06-07,6.6,6.98,6.16,6.76,ENPH,84541,-0.10081743869209812,-0.10081743869209812,6.76,6.6,6.98,6.16,84541,6.76,6.6,6.98,6.16,84541,-0.09000000000000075,-0.0135
2012-06-08,6.98,7.16,6.34,6.54,ENPH,106355,-0.049046321525885485,-0.049046321525885485,6.54,6.98,7.16,6.34,106355,6.54,6.98,7.16,6.34,106355,0.3800000000000008,0.0576
2012-06-11,6.45,7.33,6.19,7.27,ENPH,124750,-0.12125340599455037,-0.12125340599455037,7.27,6.45,7.33,6.19,124750,7.27,6.45,7.33,6.19,124750,-0.5300000000000002,-0.0759
2012-06-12,7.08,7.08,6.51,6.54,ENPH,56578,-0.035422343324250656,-0.035422343324250656,6.54,7.08,7.08,6.51,56578,6.54,7.08,7.08,6.51,56578,0.6299999999999999,0.0977
2012-06-13,7.02,7.3,6.87,6.98,ENPH,90418,-0.04359673024523165,-0.04359673024523165,6.98,7.02,7.3,6.87,90418,6.98,7.02,7.3,6.87,90418,-0.0600000000000005,-0.0085
