date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2012-02-08,14.0,15.05,13.25,13.75,EPAM,3336243,0.0,0.0,13.75,14.0,15.05,13.25,3336243,13.75,14.0,15.05,13.25,3336243,0.0,0.0
2012-02-09,13.91,14.22,13.75,14.17,EPAM,580536,-0.006428571428571418,-0.006428571428571418,14.17,13.91,14.22,13.75,580536,14.17,13.91,14.22,13.75,580536,-0.08999999999999986,-0.0064
2012-02-10,13.96,14.03,13.77,14.0,EPAM,336271,-0.0028571428571427964,-0.0028571428571427964,14.0,13.96,14.03,13.77,336271,14.0,13.96,14.03,13.77,336271,0.05000000000000071,0.0036
2012-02-13,13.65,14.42,13.63,13.91,EPAM,175907,-0.024999999999999974,-0.024999999999999974,13.91,13.65,14.42,13.63,175907,13.91,13.65,14.42,13.63,175907,-0.3100000000000005,-0.0222
2012-02-14,13.44,13.79,13.3,13.6,EPAM,122157,-0.040000000000000036,-0.040000000000000036,13.6,13.44,13.79,13.3,122157,13.6,13.44,13.79,13.3,122157,-0.21000000000000085,-0.0154
2012-02-15,13.4,14.07,13.3,13.5,EPAM,175037,-0.04285714285714283,-0.04285714285714283,13.5,13.4,14.07,13.3,175037,13.5,13.4,14.07,13.3,175037,-0.03999999999999915,-0.003
2012-02-16,13.54,13.7,13.4,13.4,EPAM,71242,-0.03285714285714292,-0.03285714285714292,13.4,13.54,13.7,13.4,71242,13.4,13.54,13.7,13.4,71242,0.1399999999999988,0.0104
2012-02-17,13.58,13.99,13.5,13.61,EPAM,142812,-0.029999999999999995,-0.029999999999999995,13.61,13.58,13.99,13.5,142812,13.61,13.58,13.99,13.5,142812,0.040000000000000924,0.003
2012-02-21,13.71,14.34,13.56,13.61,EPAM,248631,-0.020714285714285654,-0.020714285714285654,13.61,13.71,14.34,13.56,248631,13.61,13.71,14.34,13.56,248631,0.13000000000000078,0.0096
2012-02-22,13.96,14.22,13.75,13.99,EPAM,274843,-0.0028571428571427964,-0.0028571428571427964,13.99,13.96,14.22,13.75,274843,13.99,13.96,14.22,13.75,274843,0.25,0.0182
2012-02-23,13.94,14.0,13.84,13.97,EPAM,82439,-0.0042857142857143215,-0.0042857142857143215,13.97,13.94,14.0,13.84,82439,13.97,13.94,14.0,13.84,82439,-0.02000000000000135,-0.0014
2012-02-24,13.71,13.93,13.55,13.93,EPAM,119906,-0.020714285714285654,-0.020714285714285654,13.93,13.71,13.93,13.55,119906,13.93,13.71,13.93,13.55,119906,-0.22999999999999865,-0.0165
2012-02-27,13.66,13.84,13.63,13.65,EPAM,235225,-0.024285714285714275,-0.024285714285714275,13.65,13.66,13.84,13.63,235225,13.65,13.66,13.84,13.63,235225,-0.05000000000000071,-0.0036
2012-02-28,13.83,13.84,13.75,13.75,EPAM,68021,-0.012142857142857138,-0.012142857142857138,13.75,13.83,13.84,13.75,68021,13.75,13.83,13.84,13.75,68021,0.16999999999999993,0.0124
2012-02-29,14.13,14.15,13.85,13.88,EPAM,68094,0.009285714285714342,0.009285714285714342,13.88,14.13,14.15,13.85,68094,13.88,14.13,14.15,13.85,68094,0.3000000000000007,0.0217
2012-03-01,15.0,15.35,14.1,14.15,EPAM,610075,0.07142857142857142,0.07142857142857142,14.15,15.0,15.35,14.1,610075,14.15,15.0,15.35,14.1,610075,0.8699999999999992,0.0616
2012-03-02,15.14,15.7,14.97,15.07,EPAM,237640,0.08142857142857148,0.08142857142857148,15.07,15.14,15.7,14.97,237640,15.07,15.14,15.7,14.97,237640,0.14000000000000057,0.0093
2012-03-05,15.09,15.15,14.78,15.07,EPAM,184818,0.07785714285714285,0.07785714285714285,15.07,15.09,15.15,14.78,184818,15.07,15.09,15.15,14.78,184818,-0.05000000000000071,-0.0033
2012-03-06,15.0,15.27,14.84,14.98,EPAM,130512,0.07142857142857142,0.07142857142857142,14.98,15.0,15.27,14.84,130512,14.98,15.0,15.27,14.84,130512,-0.08999999999999986,-0.006
2012-03-07,15.23,15.34,15.04,15.04,EPAM,110004,0.08785714285714288,0.08785714285714288,15.04,15.23,15.34,15.04,110004,15.04,15.23,15.34,15.04,110004,0.23000000000000043,0.0153
2012-03-08,15.23,15.53,14.45,14.54,EPAM,120590,0.08785714285714288,0.08785714285714288,14.54,15.23,15.53,14.45,120590,14.54,15.23,15.53,14.45,120590,0.0,0.0
2012-03-09,15.32,15.59,15.08,15.18,EPAM,166176,0.0942857142857143,0.0942857142857143,15.18,15.32,15.59,15.08,166176,15.18,15.32,15.59,15.08,166176,0.08999999999999986,0.0059
2012-03-12,15.14,15.4,14.95,14.95,EPAM,91217,0.08142857142857148,0.08142857142857148,14.95,15.14,15.4,14.95,91217,14.95,15.14,15.4,14.95,91217,-0.17999999999999972,-0.0117
2012-03-13,15.78,16.48,15.07,15.14,EPAM,316517,0.12714285714285709,0.12714285714285709,15.14,15.78,16.48,15.07,316517,15.14,15.78,16.48,15.07,316517,0.6399999999999988,0.0423
2012-03-14,16.2,16.35,15.67,15.67,EPAM,160283,0.15714285714285708,0.15714285714285708,15.67,16.2,16.35,15.67,160283,15.67,16.2,16.35,15.67,160283,0.41999999999999993,0.0266
2012-03-15,17.0,17.13,16.18,16.18,EPAM,228738,0.21428571428571427,0.21428571428571427,16.18,17.0,17.13,16.18,228738,16.18,17.0,17.13,16.18,228738,0.8000000000000007,0.0494
2012-03-16,16.8,17.26,16.2,16.91,EPAM,326022,0.20000000000000004,0.20000000000000004,16.91,16.8,17.26,16.2,326022,16.91,16.8,17.26,16.2,326022,-0.1999999999999993,-0.0118
2012-03-19,17.41,17.92,16.9,17.12,EPAM,297709,0.24357142857142858,0.24357142857142858,17.12,17.41,17.92,16.9,297709,17.12,17.41,17.92,16.9,297709,0.6099999999999994,0.0363
2012-03-20,17.41,17.5,16.9,17.44,EPAM,96768,0.24357142857142858,0.24357142857142858,17.44,17.41,17.5,16.9,96768,17.44,17.41,17.5,16.9,96768,0.0,0.0
