date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,92.32,92.72,92.17,92.31,ETR,622300,0.0,0.0,92.31,92.32,92.72,92.17,622300,46.9854,46.9905,47.1941,46.9142,622300,0.0,0.0
2007-01-03,92.98,93.42,92.09,92.32,ETR,1319900,0.007149046793760949,0.007149046793760949,92.32,92.98,93.42,92.09,1319900,45.27,45.6,45.81,45.16,1319900,0.6600000000000108,0.0071
2007-01-04,94.08,94.16,92.6,92.99,ETR,2610400,0.019064124783362276,0.019064124783362276,92.99,94.08,94.16,92.6,2610400,45.6,46.14,46.18,45.41,2610400,1.0999999999999943,0.0118
2007-01-05,91.76,93.69,91.28,93.6,ETR,2269500,-0.006065857885615122,-0.006065857885615122,93.6,91.76,93.69,91.28,2269500,45.9,45.0,45.95,44.76,2269500,-2.319999999999993,-0.0247
2007-01-08,91.07,92.46,90.87,91.56,ETR,1686800,-0.013539861351819758,-0.013539861351819758,91.56,91.07,92.46,90.87,1686800,44.9,44.66,45.34,44.56,1686800,-0.6900000000000119,-0.0075
2007-01-09,91.01,91.62,90.54,91.17,ETR,1029700,-0.014189774696706977,-0.014189774696706977,91.17,91.01,91.62,90.54,1029700,44.71,44.63,44.93,44.4,1029700,-0.05999999999998806,-0.0007
2007-01-10,91.96,92.09,90.84,90.84,ETR,676500,-0.003899480069324084,-0.003899480069324084,90.84,91.96,92.09,90.84,676500,44.55,45.1,45.16,44.55,676500,0.9499999999999886,0.0104
2007-01-11,91.88,92.96,91.85,92.05,ETR,1141800,-0.00476603119584053,-0.00476603119584053,92.05,91.88,92.96,91.85,1141800,45.14,45.06,45.59,45.04,1141800,-0.0799999999999983,-0.0009
2007-01-12,90.46,91.8,90.31,91.6,ETR,1156200,-0.020147313691507795,-0.020147313691507795,91.6,90.46,91.8,90.31,1156200,44.92,44.36,45.02,44.29,1156200,-1.4200000000000017,-0.0155
2007-01-16,90.71,90.95,90.26,90.44,ETR,1520500,-0.017439341421143843,-0.017439341421143843,90.44,90.71,90.95,90.26,1520500,44.35,44.48,44.6,44.26,1520500,0.25,0.0028
2007-01-17,90.75,90.9,89.6,90.9,ETR,1562800,-0.01700606585788554,-0.01700606585788554,90.9,90.75,90.9,89.6,1562800,44.58,44.5,44.58,43.94,1562800,0.04000000000000625,0.0004
2007-01-18,90.45,91.01,90.35,90.53,ETR,1144000,-0.020255632582322255,-0.020255632582322255,90.53,90.45,91.01,90.35,1144000,44.4,44.36,44.63,44.31,1144000,-0.29999999999999716,-0.0033
2007-01-19,91.03,91.04,90.0,90.25,ETR,1123800,-0.013973136915077905,-0.013973136915077905,90.25,91.03,91.04,90.0,1123800,44.26,44.64,44.65,44.14,1123800,0.5799999999999983,0.0064
2007-01-22,92.12,92.47,90.89,91.35,ETR,1377000,-0.0021663778162910384,-0.0021663778162910384,91.35,92.12,92.47,90.89,1377000,44.8,45.18,45.35,44.57,1377000,1.0900000000000034,0.012
2007-01-23,92.09,92.47,91.8,92.12,ETR,1024600,-0.0024913344887347246,-0.0024913344887347246,92.12,92.09,92.47,91.8,1024600,45.18,45.16,45.35,45.02,1024600,-0.030000000000001137,-0.0003
2007-01-24,92.45,92.46,91.81,91.89,ETR,669500,0.0014081455805893595,0.0014081455805893595,91.89,92.45,92.46,91.81,669500,45.06,45.34,45.34,45.02,669500,0.35999999999999943,0.0039
2007-01-25,91.82,92.78,91.78,92.58,ETR,727300,-0.005415944540727903,-0.005415944540727903,92.58,91.82,92.78,91.78,727300,45.4,45.03,45.5,45.01,727300,-0.6300000000000097,-0.0068
2007-01-26,91.88,92.02,91.22,91.59,ETR,617100,-0.00476603119584053,-0.00476603119584053,91.59,91.88,92.02,91.22,617100,44.92,45.06,45.13,44.73,617100,0.060000000000002274,0.0007
2007-01-29,92.16,92.22,91.5,91.5,ETR,948600,-0.0017331022530328922,-0.0017331022530328922,91.5,92.16,92.22,91.5,948600,44.87,45.2,45.22,44.87,948600,0.28000000000000114,0.003
2007-01-30,92.59,93.0,92.16,92.54,ETR,1178900,0.0029246100519931787,0.0029246100519931787,92.54,92.59,93.0,92.16,1178900,45.38,45.41,45.61,45.2,1178900,0.4300000000000068,0.0047
2007-01-31,92.85,93.0,91.84,92.29,ETR,1268000,0.00574090121317159,0.00574090121317159,92.29,92.85,93.0,91.84,1268000,45.26,45.53,45.61,45.04,1268000,0.2599999999999909,0.0028
2007-02-01,94.62,94.73,92.45,92.52,ETR,2014300,0.02491334488734848,0.02491334488734848,92.52,94.62,94.73,92.45,2014300,45.37,46.4,46.46,45.34,2014300,1.7700000000000102,0.0191
2007-02-02,95.13,95.29,94.07,94.5,ETR,1514700,0.030437608318890842,0.030437608318890842,94.5,95.13,95.29,94.07,1514700,46.34,46.65,46.73,46.13,1514700,0.5099999999999909,0.0054
2007-02-05,97.7,98.13,94.7,94.9,ETR,3023700,0.05827556325823235,0.05827556325823235,94.9,97.7,98.13,94.7,3023700,46.54,47.91,48.12,46.44,3023700,2.5700000000000074,0.027
2007-02-06,97.92,98.06,96.82,97.32,ETR,2095700,0.06065857885615261,0.06065857885615261,97.32,97.92,98.06,96.82,2095700,47.73,48.02,48.09,47.48,2095700,0.21999999999999886,0.0023
2007-02-07,97.92,98.04,96.92,97.39,ETR,1064500,0.06065857885615261,0.06065857885615261,97.39,97.92,98.04,96.92,1064500,48.02,48.28,48.34,47.79,1064500,0.0,0.0
2007-02-08,98.24,98.8,97.6,98.8,ETR,1207500,0.0641247833622184,0.0641247833622184,98.8,98.24,98.8,97.6,1207500,48.72,48.44,48.72,48.13,1207500,0.3199999999999932,0.0033
2007-02-09,98.12,99.0,97.75,98.4,ETR,925300,0.0628249566724438,0.0628249566724438,98.4,98.12,99.0,97.75,925300,48.52,48.38,48.82,48.2,925300,-0.11999999999999034,-0.0012
2007-02-12,97.92,98.66,97.5,97.9,ETR,1104385,0.06065857885615261,0.06065857885615261,97.9,97.92,98.66,97.5,1104385,48.27,48.28,48.65,48.08,1104385,-0.20000000000000284,-0.002
2007-02-13,99.52,99.61,97.72,98.3,ETR,1305708,0.07798960138648184,0.07798960138648184,98.3,99.52,99.61,97.72,1305708,48.47,49.07,49.12,48.19,1305708,1.5999999999999943,0.0163
2007-02-14,99.95,100.39,99.51,99.58,ETR,1087431,0.0826473136915079,0.0826473136915079,99.58,99.95,100.39,99.51,1087431,49.1,49.29,49.5,49.07,1087431,0.4300000000000068,0.0043
2007-02-15,99.24,100.0,99.22,99.99,ETR,1299000,0.0749566724436742,0.0749566724436742,99.99,99.24,100.0,99.22,1299000,49.31,48.94,49.31,48.93,1299000,-0.710000000000008,-0.0071
2007-02-16,99.66,99.66,98.88,99.4,ETR,1542500,0.07950606585788565,0.07950606585788565,99.4,99.66,99.66,98.88,1542500,49.01,49.14,49.14,48.76,1542500,0.4200000000000017,0.0042
2007-02-20,99.83,100.0,98.51,98.51,ETR,1114900,0.08134748700173317,0.08134748700173317,98.51,99.83,100.0,98.51,1114900,48.58,49.23,49.31,48.58,1114900,0.1700000000000017,0.0017
2007-02-21,99.62,99.8,98.7,99.65,ETR,1144600,0.0790727902946275,0.0790727902946275,99.65,99.62,99.8,98.7,1144600,49.14,49.12,49.21,48.67,1144600,-0.20999999999999375,-0.0021
2007-02-22,99.94,100.47,99.06,99.44,ETR,1032700,0.0825389948006933,0.0825389948006933,99.44,99.94,100.47,99.06,1032700,49.03,49.28,49.54,48.85,1032700,0.3199999999999932,0.0032
2007-02-23,100.95,101.35,99.65,99.94,ETR,1123300,0.09347920277296372,0.09347920277296372,99.94,100.95,101.35,99.65,1123300,49.28,49.78,49.98,49.14,1123300,1.0100000000000051,0.0101
