date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,40.5,41.19,40.34,40.95,EXPD,836400,0.0,0.0,40.95,40.5,41.19,40.34,836400,33.4591,33.0914,33.6552,32.9607,836400,0.0,0.0
2007-01-03,41.79,42.49,40.5,41.135,EXPD,2346710,0.03185185185185183,0.03185185185185183,41.135,41.79,42.49,40.5,2346710,33.6103,34.1454,34.7174,33.0914,2346710,1.2899999999999991,0.0319
2007-01-04,42.21,42.3,41.33,41.79,EXPD,1387872,0.042222222222222244,0.042222222222222244,41.79,42.21,42.3,41.33,1387872,34.1454,34.4886,34.5622,33.7696,1387872,0.4200000000000017,0.0101
2007-01-05,41.78,42.0,41.32,41.96,EXPD,1443159,0.03160493827160497,0.03160493827160497,41.96,41.78,42.0,41.32,1443159,34.2844,34.1373,34.317,33.7614,1443159,-0.4299999999999997,-0.0102
2007-01-08,42.33,42.49,41.31,41.77,EXPD,2047004,0.04518518518518514,0.04518518518518514,41.77,42.33,42.49,41.31,2047004,34.1291,34.5867,34.7174,33.7533,2047004,0.5499999999999972,0.0132
2007-01-09,41.37,42.82,41.12,42.5,EXPD,2031830,0.021481481481481417,0.021481481481481417,42.5,41.37,42.82,41.12,2031830,34.7256,33.8023,34.987,33.598,2031830,-0.9600000000000009,-0.0227
2007-01-10,41.56,41.6,40.62,41.03,EXPD,1557553,0.026172839506172895,0.026172839506172895,41.03,41.56,41.6,40.62,1557553,33.5245,33.9575,33.9902,33.1895,1557553,0.19000000000000483,0.0046
2007-01-11,42.69,43.72,42.45,43.04,EXPD,2045135,0.05407407407407402,0.05407407407407402,43.04,42.69,43.72,42.45,2045135,35.1668,34.8808,35.7224,34.6847,2045135,1.1299999999999955,0.0272
2007-01-12,43.94,43.94,42.58,42.86,EXPD,1392126,0.08493827160493822,0.08493827160493822,42.86,43.94,43.94,42.58,1392126,35.0197,35.9022,35.9022,34.7909,1392126,1.25,0.0293
2007-01-16,45.06,45.46,44.0,44.04,EXPD,1869356,0.11259259259259265,0.11259259259259265,44.04,45.06,45.46,44.0,1869356,35.9839,36.8173,37.1441,35.9512,1869356,1.1200000000000045,0.0255
2007-01-17,44.95,45.44,44.71,44.8,EXPD,1172051,0.10987654320987661,0.10987654320987661,44.8,44.95,45.44,44.71,1172051,36.6048,36.7274,37.1278,36.5313,1172051,-0.10999999999999943,-0.0024
2007-01-18,43.8,45.43,43.8,44.82,EXPD,1424072,0.0814814814814814,0.0814814814814814,44.82,43.8,45.43,43.8,1424072,36.6212,35.7878,37.1196,35.7878,1424072,-1.1500000000000057,-0.0256
2007-01-19,44.19,44.62,43.46,43.46,EXPD,1202910,0.09111111111111106,0.09111111111111106,43.46,44.19,44.62,43.46,1202910,35.51,36.1064,36.4578,35.51,1202910,0.39000000000000057,0.0089
2007-01-22,43.37,44.43,42.92,44.43,EXPD,1142545,0.07086419753086413,0.07086419753086413,44.43,43.37,44.43,42.92,1142545,36.3025,35.4364,36.3025,35.0687,1142545,-0.8200000000000003,-0.0186
2007-01-23,43.25,43.57,43.03,43.23,EXPD,955398,0.06790123456790123,0.06790123456790123,43.23,43.25,43.57,43.03,955398,35.322,35.3384,35.5998,35.1586,955398,-0.11999999999999744,-0.0028
2007-01-24,43.97,44.18,42.96,43.38,EXPD,968760,0.08567901234567898,0.08567901234567898,43.38,43.97,44.18,42.96,968760,35.4446,35.9267,36.0983,35.1014,968760,0.7199999999999989,0.0166
2007-01-25,42.06,43.67,41.75,43.56,EXPD,2320471,0.03851851851851858,0.03851851851851858,43.56,42.06,43.67,41.75,2320471,35.5917,34.3661,35.6815,34.1128,2320471,-1.9099999999999966,-0.0434
2007-01-26,41.33,42.18,41.0,41.85,EXPD,1834108,0.020493827160493784,0.020493827160493784,41.85,41.33,42.18,41.0,1834108,34.1945,33.7696,34.4641,33.5,1834108,-0.730000000000004,-0.0174
2007-01-29,41.45,41.78,40.96,41.22,EXPD,1554118,0.02345679012345686,0.02345679012345686,41.22,41.45,41.78,40.96,1554118,33.6797,33.8676,34.1373,33.4673,1554118,0.12000000000000455,0.0029
2007-01-30,40.91,41.53,40.75,41.53,EXPD,1416306,0.010123456790123372,0.010123456790123372,41.53,40.91,41.53,40.75,1416306,33.933,33.4264,33.933,33.2957,1416306,-0.5400000000000063,-0.013
