date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,28.8,29.055,28.765,29.025,GIS,1849600,0.0,0.0,58.05,57.6,58.11,57.53,924800,17.7699,17.6322,17.7883,17.6108,1849600,0.0,0.0
2007-01-03,28.71,28.99,28.57,28.7,GIS,1708000,-0.003124999999999995,-0.003124999999999995,57.39,57.43,57.98,57.13,1708000,16.41,16.42,16.58,16.33,1708000,-0.08999999999999986,-0.0031
2007-01-04,28.7,28.79,28.52,28.71,GIS,1399000,-0.0034722222222222715,-0.0034722222222222715,57.43,57.39,57.58,57.04,1399000,16.42,16.41,16.46,16.31,1399000,-0.010000000000001563,-0.0003
2007-01-05,28.48,28.68,28.45,28.65,GIS,1409600,-0.01111111111111112,-0.01111111111111112,57.3,56.97,57.36,56.91,1409600,16.38,16.29,16.4,16.27,1409600,-0.21999999999999886,-0.0077
2007-01-08,28.61,28.64,28.33,28.45,GIS,1484800,-0.0065972222222222664,-0.0065972222222222664,56.9,57.23,57.28,56.66,1484800,16.38,16.47,16.49,16.31,1484800,0.129999999999999,0.0046
2007-01-09,28.28,28.71,28.27,28.62,GIS,2300300,-0.01805555555555554,-0.01805555555555554,57.24,56.56,57.42,56.55,2300300,16.47,16.28,16.53,16.28,2300300,-0.3299999999999983,-0.0115
2007-01-10,28.38,28.45,28.11,28.23,GIS,1817700,-0.014583333333333393,-0.014583333333333393,56.46,56.76,56.9,56.21,1817700,16.25,16.34,16.38,16.18,1817700,0.09999999999999787,0.0035
2007-01-11,28.66,28.77,28.32,28.36,GIS,1833200,-0.004861111111111131,-0.004861111111111131,56.72,57.31,57.53,56.63,1833200,16.32,16.49,16.56,16.3,1833200,0.28000000000000114,0.0099
2007-01-12,28.45,28.73,28.41,28.68,GIS,1575600,-0.012152777777777827,-0.012152777777777827,57.36,56.9,57.45,56.83,1575600,16.51,16.38,16.53,16.36,1575600,-0.21000000000000085,-0.0073
2007-01-16,28.29,28.44,28.05,28.4,GIS,1606800,-0.01770833333333339,-0.01770833333333339,56.8,56.58,56.88,56.11,1606800,16.35,16.28,16.37,16.15,1606800,-0.16000000000000014,-0.0056
2007-01-17,28.3,28.44,28.2,28.44,GIS,1229900,-0.017361111111111112,-0.017361111111111112,56.88,56.6,56.88,56.4,1229900,16.37,16.29,16.37,16.23,1229900,0.010000000000001563,0.0004
2007-01-18,28.25,28.7,28.04,28.17,GIS,1751000,-0.019097222222222248,-0.019097222222222248,56.34,56.51,57.39,56.08,1751000,16.21,16.26,16.52,16.14,1751000,-0.05000000000000071,-0.0018
2007-01-19,28.32,28.36,28.16,28.25,GIS,1251400,-0.01666666666666668,-0.01666666666666668,56.5,56.65,56.73,56.32,1251400,16.26,16.3,16.33,16.21,1251400,0.07000000000000028,0.0025
2007-01-22,28.39,28.55,28.2,28.25,GIS,1619900,-0.014236111111111116,-0.014236111111111116,56.51,56.79,57.11,56.4,1619900,16.26,16.34,16.44,16.23,1619900,0.07000000000000028,0.0025
2007-01-23,28.3,28.39,28.14,28.32,GIS,1875200,-0.017361111111111112,-0.017361111111111112,56.63,56.61,56.79,56.27,1875200,16.3,16.29,16.34,16.19,1875200,-0.08999999999999986,-0.0032
2007-01-24,28.27,28.41,28.14,28.3,GIS,1674000,-0.018402777777777816,-0.018402777777777816,56.61,56.53,56.81,56.29,1674000,16.29,16.27,16.35,16.2,1674000,-0.030000000000001137,-0.0011
2007-01-25,28.39,28.52,28.35,28.48,GIS,1533600,-0.014236111111111116,-0.014236111111111116,56.95,56.78,57.03,56.7,1533600,16.39,16.34,16.41,16.32,1533600,0.120000000000001,0.0042
2007-01-26,28.27,28.48,28.18,28.38,GIS,885100,-0.018402777777777816,-0.018402777777777816,56.76,56.55,56.97,56.37,885100,16.34,16.28,16.4,16.22,885100,-0.120000000000001,-0.0042
2007-01-29,28.39,28.59,28.16,28.28,GIS,1500700,-0.014236111111111116,-0.014236111111111116,56.56,56.77,57.17,56.31,1500700,16.28,16.34,16.45,16.21,1500700,0.120000000000001,0.0042
2007-01-30,28.64,28.76,28.41,28.64,GIS,1607700,-0.00555555555555556,-0.00555555555555556,57.29,57.27,57.52,56.81,1607700,16.49,16.48,16.55,16.35,1607700,0.25,0.0088
2007-01-31,28.62,28.69,28.45,28.55,GIS,1194000,-0.00624999999999999,-0.00624999999999999,57.09,57.24,57.38,56.9,1194000,16.43,16.47,16.51,16.38,1194000,-0.019999999999999574,-0.0007
2007-02-01,28.73,28.73,28.45,28.61,GIS,1531200,-0.0024305555555555656,-0.0024305555555555656,57.22,57.45,57.45,56.9,1531200,16.47,16.53,16.53,16.38,1531200,0.10999999999999943,0.0038
2007-02-02,28.66,28.77,28.54,28.74,GIS,883100,-0.004861111111111131,-0.004861111111111131,57.48,57.31,57.53,57.07,883100,16.54,16.49,16.56,16.42,883100,-0.07000000000000028,-0.0024
2007-02-05,28.58,28.66,28.43,28.58,GIS,1067700,-0.007638888888888973,-0.007638888888888973,57.16,57.16,57.31,56.87,1067700,16.45,16.45,16.49,16.37,1067700,-0.08000000000000185,-0.0028
2007-02-06,28.6,28.66,28.48,28.57,GIS,1223900,-0.00694444444444442,-0.00694444444444442,57.14,57.2,57.32,56.97,1223900,16.44,16.46,16.5,16.4,1223900,0.020000000000003126,0.0007
2007-02-07,28.37,28.65,28.32,28.54,GIS,1803600,-0.014930555555555546,-0.014930555555555546,57.07,56.74,57.3,56.64,1803600,16.42,16.33,16.49,16.3,1803600,-0.23000000000000043,-0.008
2007-02-08,28.39,28.43,28.14,28.37,GIS,1856300,-0.014236111111111116,-0.014236111111111116,56.74,56.78,56.87,56.28,1856300,16.33,16.34,16.37,16.2,1856300,0.019999999999999574,0.0007
2007-02-09,28.52,28.52,28.32,28.39,GIS,1109600,-0.009722222222222262,-0.009722222222222262,56.79,57.03,57.05,56.63,1109600,16.34,16.41,16.42,16.3,1109600,0.129999999999999,0.0046
2007-02-12,28.46,28.73,28.41,28.52,GIS,906525,-0.01180555555555555,-0.01180555555555555,57.04,56.93,57.47,56.81,906525,16.42,16.38,16.54,16.35,906525,-0.05999999999999872,-0.0021
2007-02-13,28.62,28.79,28.44,28.44,GIS,995409,-0.00624999999999999,-0.00624999999999999,56.88,57.24,57.57,56.88,995409,16.37,16.47,16.57,16.37,995409,0.16000000000000014,0.0056
2007-02-14,28.66,28.75,28.59,28.67,GIS,1356494,-0.004861111111111131,-0.004861111111111131,57.34,57.32,57.51,57.18,1356494,16.5,16.5,16.55,16.46,1356494,0.03999999999999915,0.0014
2007-02-15,28.75,28.8,28.52,28.6,GIS,1035100,-0.0017361111111111357,-0.0017361111111111357,57.2,57.51,57.6,57.05,1035100,16.46,16.55,16.58,16.42,1035100,0.08999999999999986,0.0031
2007-02-16,29.05,29.05,28.71,28.75,GIS,1651500,0.008680555555555556,0.008680555555555556,57.51,58.09,58.1,57.43,1651500,16.55,16.72,16.72,16.53,1651500,0.3000000000000007,0.0104
2007-02-20,28.96,29.13,28.75,28.96,GIS,1527700,0.00555555555555556,0.00555555555555556,57.93,57.92,58.25,57.5,1527700,16.67,16.67,16.76,16.55,1527700,-0.08999999999999986,-0.0031
2007-02-21,28.75,29.02,28.73,28.89,GIS,1356700,-0.0017361111111111357,-0.0017361111111111357,57.79,57.5,58.04,57.45,1356700,16.63,16.55,16.7,16.53,1356700,-0.21000000000000085,-0.0073
2007-02-22,28.86,28.9,28.66,28.69,GIS,1922600,0.002083333333333289,0.002083333333333289,57.38,57.73,57.8,57.33,1922600,16.51,16.61,16.63,16.5,1922600,0.10999999999999943,0.0038
2007-02-23,28.59,28.86,28.43,28.81,GIS,1674800,-0.007291666666666696,-0.007291666666666696,57.62,57.18,57.73,56.85,1674800,16.58,16.46,16.61,16.36,1674800,-0.2699999999999996,-0.0094
2007-02-26,28.9,28.93,28.63,28.66,GIS,1105284,0.0034722222222221483,0.0034722222222221483,57.33,57.8,57.87,57.26,1105284,16.5,16.63,16.65,16.48,1105284,0.3099999999999987,0.0108
