date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,230.463,232.46,230.153,231.274,GOOGL,5114636.603015871,0.0,0.0,462.1,460.48,464.47,459.86,2559797,231.274,230.463,232.46,230.153,5114636.603015871,0.0,0.0
2007-01-03,234.022,238.561,230.779,233.226,GOOGL,15430721.666053398,0.015442825963386737,0.015442825963386737,466.0,467.59,476.66,461.11,7722839,233.226,234.022,238.561,230.779,15430721.666053398,3.5589999999999975,0.0154
2007-01-04,241.864,242.21,234.402,234.727,GOOGL,15817584.696379367,0.04946997999678912,0.04946997999678912,469.0,483.26,483.95,468.35,7916458,234.727,241.864,242.21,234.402,15817584.696379367,7.842000000000013,0.0335
2007-01-05,243.831,243.986,239.287,241.339,GOOGL,13737720.619054744,0.05800497259863837,0.05800497259863837,482.21,487.19,487.5,478.11,6875518,241.339,243.831,243.986,239.287,13737720.619054744,1.9669999999999845,0.0081
2007-01-08,242.024,245.172,241.334,244.407,GOOGL,9503276.88300073,0.050164234605988844,0.050164234605988844,488.34,483.58,489.87,482.2,4756244,244.407,242.024,245.172,241.334,9503276.88300073,-1.806999999999988,-0.0074
2007-01-09,242.985,244.362,240.833,242.96,GOOGL,10756160.51685314,0.05433410135249485,0.05433410135249485,485.45,485.5,488.25,481.2,5383293,242.96,242.985,244.362,240.833,10756160.51685314,0.9610000000000127,0.004
2007-01-10,244.967,247.014,241.254,242.45,GOOGL,11944988.237343635,0.06293418032395665,0.06293418032395665,484.43,489.46,493.55,482.04,5978283,242.45,244.967,247.014,241.254,11944988.237343635,1.9819999999999993,0.0082
2007-01-11,250.102,251.118,248.331,248.841,GOOGL,14440053.877674978,0.0852154141879608,0.0852154141879608,497.2,499.72,501.75,496.18,7227025,248.841,250.102,251.118,248.331,14440053.877674978,5.134999999999991,0.021
2007-01-12,252.745,252.745,250.242,251.238,GOOGL,8945951.074903827,0.09668363251367904,0.09668363251367904,501.99,505.0,505.0,500.0,4477311,251.238,252.745,252.745,250.242,8945951.074903827,2.6430000000000007,0.0106
2007-01-16,252.384,256.749,251.894,254.021,GOOGL,15143723.840685217,0.09511722055167204,0.09511722055167204,507.55,504.28,513.0,503.3,7579201,254.021,252.384,256.749,251.894,15143723.840685217,-0.3610000000000184,-0.0014
2007-01-17,248.881,254.131,247.43,251.942,GOOGL,13403886.190388998,0.07991738370150527,0.07991738370150527,503.395,497.28,507.77,494.38,6708439,251.942,248.881,254.131,247.43,13403886.190388998,-3.502999999999986,-0.0139
2007-01-18,244.151,248.481,243.951,246.098,GOOGL,11854298.139349816,0.05939348181703795,0.05939348181703795,491.72,487.83,496.48,487.43,5932894,246.098,244.151,248.481,243.951,11854298.139349816,-4.72999999999999,-0.019
2007-01-19,245.112,245.618,243.606,244.227,GOOGL,9951506.433401702,0.06356334856354383,0.06356334856354383,487.98,489.75,490.76,486.74,4980576,244.227,245.112,245.618,243.606,9951506.433401702,0.9609999999999843,0.0039
2007-01-22,240.653,246.564,239.482,246.489,GOOGL,10804146.006584564,0.04421534042340852,0.04421534042340852,492.5,480.84,492.65,478.5,5407309,246.489,240.653,246.564,239.482,10804146.006584564,-4.459000000000003,-0.0182
2007-01-23,239.757,242.61,238.876,240.628,GOOGL,9364681.217810014,0.04032751461189003,0.04032751461189003,480.79,479.05,484.75,477.29,4686879,240.628,239.757,242.61,238.876,9364681.217810014,-0.8959999999999866,-0.0037
2007-01-24,249.777,250.012,241.879,242.457,GOOGL,12136390.71916126,0.08380520951302375,0.08380520951302375,484.445,499.07,499.54,483.29,6074077,242.457,249.777,250.012,241.879,12136390.71916126,10.019999999999982,0.0418
2007-01-25,244.282,252.495,243.065,251.013,GOOGL,12877138.744003028,0.05996190277832024,0.05996190277832024,501.54,488.09,504.5,485.66,6444810,251.013,244.282,252.495,243.065,12877138.744003028,-5.494999999999976,-0.022
2007-01-26,248.16,249.191,243.751,245.703,GOOGL,10985280.440778527,0.07678889886879892,0.07678889886879892,490.93,495.84,497.9,487.03,5497964,245.703,248.16,249.191,243.751,10985280.440778527,3.877999999999986,0.0159
2007-01-29,246.474,249.617,245.488,249.241,GOOGL,9548734.822577665,0.06947319092435661,0.06947319092435661,498.0,492.47,498.75,490.5,4778995,249.241,246.474,249.617,245.488,9548734.822577665,-1.686000000000007,-0.0068
2007-01-30,247.4,249.241,245.848,247.239,GOOGL,8362664.429528428,0.07349118947510018,0.07349118947510018,494.0,494.32,498.0,491.22,4185385,247.239,247.4,249.241,245.848,8362664.429528428,0.9260000000000161,0.0038
