date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2014-08-11,28.34,28.47,28.24,28.44,GOOG,24368096,0.0,0.0,569.99,567.88,570.49,566.0,1215968,28.44,28.34,28.47,28.24,24368096,0.0,0.0
2014-08-13,28.68,28.69,28.23,28.31,GOOG,28816072,0.01199717713479181,0.01199717713479181,567.31,574.78,575.0,565.75,1437922,28.31,28.68,28.69,28.23,28816072,0.33999999999999986,0.012
2014-08-15,28.62,28.91,28.47,28.84,GOOG,30401924,0.009880028228652122,0.009880028228652122,577.86,573.48,579.38,570.52,1517056,28.84,28.62,28.91,28.47,30401924,-0.05999999999999872,-0.0021
2014-08-19,29.28,29.31,29.14,29.19,GOOG,19625210,0.033168666196189175,0.033168666196189175,585.0,586.86,587.34,584.0,979298,29.19,29.28,29.31,29.14,19625210,0.6600000000000001,0.0231
2014-08-21,29.11,29.17,29.0,29.13,GOOG,18293667,0.02717007762879321,0.02717007762879321,583.82,583.37,584.5,581.14,912854,29.13,29.11,29.17,29.0,18293667,-0.1700000000000017,-0.0058
2014-08-25,28.95,29.19,28.89,29.18,GOOG,27230661,0.021524347212420587,0.021524347212420587,584.72,580.2,585.0,579.0,1358810,29.18,28.95,29.19,28.89,27230661,-0.16000000000000014,-0.0055
2014-08-29,28.52,28.54,28.3,28.51,GOOG,21667956,0.006351446718419185,0.006351446718419185,571.33,571.6,572.04,567.07,1081231,28.51,28.52,28.54,28.3,21667956,-0.4299999999999997,-0.0149
2014-09-08,29.43,29.53,29.26,29.27,GOOG,28639299,0.03846153846153846,0.03846153846153846,586.6,589.72,591.77,586.3,1429101,29.27,29.43,29.53,29.26,28639299,0.9100000000000001,0.0319
2014-09-09,28.99,29.39,28.94,29.39,GOOG,25786012,0.02293577981651371,0.02293577981651371,588.9,581.01,589.0,580.0,1286722,29.39,28.99,29.39,28.94,25786012,-0.4400000000000013,-0.015
2014-09-10,29.1,29.12,28.79,29.02,GOOG,19541984,0.026817219477769993,0.026817219477769993,581.5,583.1,583.5,576.94,975145,29.02,29.1,29.12,28.79,19541984,0.11000000000000298,0.0038
2014-09-15,28.6,28.69,28.35,28.59,GOOG,31988457,0.00917431192660556,0.00917431192660556,572.94,573.1,574.95,568.21,1596224,28.59,28.6,28.69,28.35,31988457,-0.5,-0.0172
2014-09-16,28.94,29.02,28.58,28.58,GOOG,29625371,0.021171489061397368,0.021171489061397368,572.76,579.95,581.5,572.66,1478306,28.58,28.94,29.02,28.58,29625371,0.33999999999999986,0.0119
2014-09-23,29.0,29.28,28.99,29.28,GOOG,29412886,0.023288637967537055,0.023288637967537055,586.85,581.13,586.85,581.0,1467703,29.28,29.0,29.28,28.99,29412886,0.05999999999999872,0.0021
