date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,97.15,97.88,96.83,97.0,IBM,4455900,0.0,0.0,97.0,97.15,97.88,96.83,4455900,58.3979,58.4882,58.9277,58.2955,4455900,0.0,0.0
2007-01-03,93.37,94.45,92.4,92.73,IBM,9199500,-0.038908903757076695,-0.038908903757076695,96.6,97.27,98.4,96.26,9199500,52.88,53.25,53.86,52.69,9199500,-3.780000000000001,-0.0389
2007-01-04,94.37,94.83,93.0,93.35,IBM,10557200,-0.028615542974781277,-0.028615542974781277,97.25,98.31,98.79,96.88,10557200,53.23,53.81,54.08,53.03,10557200,1.0,0.0107
2007-01-05,93.51,94.02,93.02,93.69,IBM,7222900,-0.03746783324755533,-0.03746783324755533,97.6,97.42,97.95,96.91,7222900,53.43,53.33,53.62,53.05,7222900,-0.8599999999999994,-0.0091
2007-01-08,94.93,95.51,94.41,94.55,IBM,10340100,-0.02285126093669582,-0.02285126093669582,98.5,98.9,99.5,98.35,10340100,53.92,54.14,54.47,53.84,10340100,1.4200000000000017,0.0152
2007-01-09,96.06,96.31,95.1,95.11,IBM,11108900,-0.011219763252702042,-0.011219763252702042,99.08,100.07,100.33,99.07,11108900,54.24,54.78,54.92,54.23,11108900,1.1299999999999955,0.0119
2007-01-10,94.92,95.08,94.0,94.55,IBM,8744900,-0.022954194544518827,-0.022954194544518827,98.5,98.89,99.05,97.93,8744900,53.92,54.13,54.22,53.61,8744900,-1.1400000000000006,-0.0119
2007-01-11,94.69,95.89,94.55,95.03,IBM,8000800,-0.02532166752444681,-0.02532166752444681,99.0,98.65,99.9,98.5,8000800,54.19,54.0,54.69,53.92,8000800,-0.23000000000000398,-0.0024
2007-01-12,95.36,95.69,94.55,95.02,IBM,6636600,-0.018425115800308863,-0.018425115800308863,98.99,99.34,99.69,98.5,6636600,54.19,54.38,54.57,53.92,6636600,0.6700000000000017,0.0071
2007-01-16,96.78,96.8,95.32,95.46,IBM,9602200,-0.003808543489449352,-0.003808543489449352,99.45,100.82,100.84,99.3,9602200,54.44,55.19,55.2,54.36,9602200,1.4200000000000017,0.0149
2007-01-17,96.01,96.85,95.89,96.05,IBM,8202100,-0.011734431291816783,-0.011734431291816783,100.06,100.02,100.9,99.9,8202100,54.77,54.75,55.23,54.69,8202100,-0.769999999999996,-0.008
2007-01-18,95.46,95.94,94.94,95.06,IBM,14725000,-0.01739577972207938,-0.01739577972207938,99.03,99.45,99.95,98.91,14725000,54.21,54.44,54.71,54.14,14725000,-0.5500000000000114,-0.0057
2007-01-19,92.31,92.97,90.76,91.0,IBM,26036800,-0.04981986618630986,-0.04981986618630986,94.8,96.17,96.85,94.55,26036800,51.89,52.64,53.02,51.76,26036800,-3.1499999999999915,-0.033
2007-01-22,93.22,93.33,92.27,92.55,IBM,13540700,-0.04045290787442107,-0.04045290787442107,96.42,97.11,97.23,96.12,13540700,52.78,53.16,53.22,52.62,13540700,0.9099999999999966,0.0099
2007-01-23,93.19,93.48,92.34,93.02,IBM,10337400,-0.04076170869788994,-0.04076170869788994,96.91,97.08,97.38,96.2,10337400,53.05,53.14,53.31,52.66,10337400,-0.030000000000001137,-0.0003
2007-01-24,93.49,93.67,92.71,93.19,IBM,5700000,-0.03767370046320134,-0.03767370046320134,97.08,97.4,97.58,96.58,5700000,53.14,53.32,53.42,52.87,5700000,0.29999999999999716,0.0032
2007-01-25,93.6,93.99,93.32,93.32,IBM,6231300,-0.03654143077714885,-0.03654143077714885,97.22,97.51,97.92,97.22,6231300,53.22,53.38,53.6,53.22,6231300,0.10999999999999943,0.0012
2007-01-26,93.54,93.91,92.96,93.61,IBM,5771200,-0.037159032424086455,-0.037159032424086455,97.52,97.45,97.83,96.84,5771200,53.38,53.34,53.55,53.01,5771200,-0.05999999999998806,-0.0006
2007-01-29,94.59,94.7,93.54,93.55,IBM,7295000,-0.026351003602676296,-0.026351003602676296,97.46,98.54,98.66,97.45,7295000,53.35,53.94,54.01,53.34,7295000,1.0499999999999972,0.0112
2007-01-30,95.39,95.46,94.55,94.62,IBM,7178000,-0.01811631497683999,-0.01811631497683999,98.57,99.37,99.45,98.5,7178000,53.96,54.4,54.44,53.92,7178000,0.7999999999999972,0.0085
2007-01-31,95.17,95.49,94.41,94.84,IBM,6447300,-0.02038085434894497,-0.02038085434894497,98.8,99.15,99.48,98.35,6447300,54.08,54.27,54.46,53.84,6447300,-0.21999999999999886,-0.0023
2007-02-01,95.03,95.2,94.03,95.0,IBM,6612400,-0.021821924858466336,-0.021821924858466336,98.97,99.0,99.18,97.96,6612400,54.18,54.19,54.29,53.62,6612400,-0.14000000000000057,-0.0015
2007-02-02,95.19,95.73,94.91,95.13,IBM,6657000,-0.020174987133299103,-0.020174987133299103,99.1,99.17,99.73,98.88,6657000,54.25,54.29,54.59,54.13,6657000,0.1599999999999966,0.0017
2007-02-05,96.35,96.41,94.93,95.19,IBM,8309900,-0.008234688625836453,-0.008234688625836453,99.17,100.38,100.44,98.9,8309900,54.29,54.95,54.98,54.14,8309900,1.1599999999999966,0.0122
2007-02-06,95.85,96.37,95.55,95.99,IBM,6532800,-0.013381369016984161,-0.013381369016984161,100.0,99.85,100.4,99.54,6532800,54.74,54.66,54.96,54.49,6532800,-0.5,-0.0052
2007-02-07,95.55,96.34,95.15,95.8,IBM,7698200,-0.01646937725167276,-0.01646937725167276,99.8,99.54,100.36,99.12,7698200,54.8,54.66,55.11,54.43,7698200,-0.29999999999999716,-0.0031
2007-02-08,95.63,95.74,94.69,94.93,IBM,6152300,-0.015645908389089143,-0.015645908389089143,98.9,99.62,99.74,98.65,6152300,54.31,54.7,54.77,54.17,6152300,0.0799999999999983,0.0008
