date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,49.16,49.48,49.11,49.25,IFF,269200,0.0,0.0,49.25,49.16,49.48,49.11,269200,34.9391,34.8753,35.1023,34.8398,269200,0.0,0.0
2007-01-03,48.92,49.94,48.64,49.89,IFF,1292600,-0.004882017900732199,-0.004882017900732199,49.89,48.92,49.94,48.64,1292600,33.75,33.09,33.78,32.9,1292600,-0.23999999999999488,-0.0049
2007-01-04,48.39,48.94,48.12,48.85,IFF,665900,-0.01566314076484939,-0.01566314076484939,48.85,48.39,48.94,48.12,665900,33.05,32.74,33.11,32.55,665900,-0.5300000000000011,-0.0108
2007-01-05,48.78,48.94,48.19,48.39,IFF,718700,-0.007729861676159387,-0.007729861676159387,48.39,48.78,48.94,48.19,718700,32.74,33.0,33.11,32.6,718700,0.39000000000000057,0.0081
2007-01-08,48.74,48.91,48.58,48.75,IFF,513700,-0.00854353132628142,-0.00854353132628142,48.75,48.74,48.91,48.58,513700,32.98,32.97,33.09,32.86,513700,-0.03999999999999915,-0.0008
2007-01-09,49.27,49.36,48.6,48.73,IFF,476600,0.0022375915378357717,0.0022375915378357717,48.73,49.27,49.36,48.6,476600,32.97,33.33,33.39,32.88,476600,0.5300000000000011,0.0109
2007-01-10,49.59,49.64,48.93,49.08,IFF,361900,0.008746948738812182,0.008746948738812182,49.08,49.59,49.64,48.93,361900,33.2,33.55,33.58,33.1,361900,0.3200000000000003,0.0065
2007-01-11,49.8,50.27,49.65,49.75,IFF,512300,0.013018714401952819,0.013018714401952819,49.75,49.8,50.27,49.65,512300,33.66,33.69,34.01,33.59,512300,0.20999999999999375,0.0042
2007-01-12,49.94,50.15,49.65,49.67,IFF,344700,0.01586655817738001,0.01586655817738001,49.67,49.94,50.15,49.65,344700,33.6,33.78,33.93,33.59,344700,0.14000000000000057,0.0028
2007-01-16,50.04,50.39,49.85,49.99,IFF,238400,0.017900732302685164,0.017900732302685164,49.99,50.04,50.39,49.85,238400,33.82,33.85,34.09,33.72,238400,0.10000000000000142,0.002
